Generation	Smiles	Inchi
G1	C(C(C(CO)O)O)=O	YTBSYETUWUMLBZ
G2	C(C(C(C(CO)O)O)N)=O	RNZJRDIKDNXKIJ
G3	C(C(C=O)C(C(CO)N)O)=O	TYEPXMQCSLBUQN
G4	C1(C(C(C(C1O)O)O)O)=O	RPLBTYVHLJOBKZ
G1	C(C(C(CO)O)O)=O	YTBSYETUWUMLBZ
G2	C(C(C(C(CO)O)O)O)=O	PYMYPHUHKUWMLA
G3	C(C(C(C(CO)=O)O)O)=O	XIIKTJZKWRJKSI
G4	C1(C(C(C(C1O)O)O)O)=O	RPLBTYVHLJOBKZ
G5	C1(C(C2C(C1C(C2O)O)O)O)=O	ZRGFOMLLEPZMQI
G1	C(C(C(CO)O)O)=O	YTBSYETUWUMLBZ
G2	C1(C(C(C(C1CO)O)O)O)=O	LKUVPWZWJWOYKB
G3	C1(C(C(C(C1)O)O)O)=O	SLBWSONHNKBIMR
G4	C1(C(C(C(C1O)O)O)O)=O	RPLBTYVHLJOBKZ
G1	C(C(C(CO)O)O)=O	YTBSYETUWUMLBZ
G2	C1(C(C(C(C1CO)O)O)O)=O	LKUVPWZWJWOYKB
G3	C1(C(C(C(C1)O)O)O)=O	SLBWSONHNKBIMR
G4	C1(C(C(C(C1O)O)O)O)=O	RPLBTYVHLJOBKZ
G5	C1(C(C2(C(C1C(C2)O)O)O)O)=O	GILZLRYCLWVRBJ
G1	C(C(CO)O)(O)=O	RBNPOMFGQQGHHO
G2	C(C(CO)(C(C)O)O)(O)=O	WKRKESUWTIYINN
G3	C(C(C(CC(O)=O)O)C(C)O)=O	YTCZJXDURLPWNQ
G4	C1(C(C(C(C1O)O)C(C)O)O)=O	BZNNDJKSFMVVFY
G5	C1(C(C(C(C1O)O)O)O)=O	RPLBTYVHLJOBKZ
G6	C1(C(C2C(C1C(C2O)O)O)=O)=O	VRFYFSPZKLOXNT
