Generation	Test Smiles	Library Smiles	Canonical Code
G2	C(C(CO)O)O	C(C(CO)O[H])O	d488e3e9725e844f
G3	C(C(C=O)C(CO)(CO)O)=O	C(=O)C(C=O)C(CO)(CO)O[H]	faa39363540be971
G4	C(CO)(CC(CO)(CO)O)=O	C(=O)(CC(CO)(CO)O)CO[H]	3a11b76ffbb77d1b
G2	C(C(CO)O)O	C(C(CO)O[H])O	d488e3e9725e844f
G3	C(C(C=O)C(CO)(CO)O)=O	C(=O)C(C=O)C(CO)(CO)O[H]	faa39363540be971
G4	C(CO)(CC(CO)(CO)O)=O	C(=O)(CC(CO)(CO)O)CO[H]	3a11b76ffbb77d1b
G5	C(CC(CC(CO)(CO)O)=O)=O	C(=O)CC(=O)CC(CO)(CO)O[H]	2f4db9ae9f2d3f6
G3	C(C(CC(CO)(CO)O)=O)=O	C(=O)C(=O)CC(CO)(CO)O[H]	9b1cef6e29f94a84
G4	C(C(C=O)C(CO)(CO)O)=O	C(=O)C(C=O)C(CO)(CO)O[H]	faa39363540be971
G3	C(C(CC(CO)(CO)O)=O)=O	C(=O)C(=O)CC(CO)(CO)O[H]	9b1cef6e29f94a84
G4	C(C(C=O)C(CO)(CO)O)=O	C(=O)C(C=O)C(CO)(CO)O[H]	faa39363540be971
G5	C(CC(CO)(CO)O)(CCO)=O	C(=O)(CCO)CC(CO)(CO)O[H]	f8eee173432931ae
G3	C(C(CO)(CO)O)(O)=O	C(=O)(C(CO)(CO)O)O[H]	bea2ea46bdd9b304
G4	C(CC(CO)(CO)O)=O	C(=O)CC(CO)(CO)O[H]	82f4575d431795ec
G5	C(C(CC(CO)(CO)O)=O)=O	C(=O)C(=O)CC(CO)(CO)O[H]	9b1cef6e29f94a84
G6	C(CC(CCO)(CCO)O)=O	C(=O)CC(CCO)(CCO)O[H]	be9f82c739efb872

