Generation	Smiles
G0	N
G0	C=O
G0	C(CO)=O
G0	O
G1	C(C(CO)O)=O
G1	C(C(C(CO)O)O)=O
G1	C(CN)=O
G1	CO
G1	C(O)=O
G1	C(CO)O
G1	C(CO)(O)=O
G2	C(C(C(C(CO)O)O)N)=O
G2	C(C(C(C(C(CO)O)O)O)N)=O
G2	C(C(C(CN)O)N)=O
G2	C(C(CO)N)=O
G2	C(C(C(C(CO)O)O)O)=O
G2	C(C(C(C(C(CO)O)O)O)O)=O
G2	C(C(C(CN)O)O)=O
G2	C(C(C(CO)O)N)=O
G2	C(C=O)=O
G2	C(CO)(CO)=O
G2	C(CO)(C(CO)O)=O
G2	C(CNCC(CO)=O)=O
G2	C(CNCC=O)(C(CO)O)=O
G2	C(CO)(CN)=O
G2	C(CN)(C(CO)O)=O
G2	C(CNCC=O)=O
G2	C(C(CO)O)O
G2	C(C(C(CO)O)O)O
G2	C(CN)O
G2	C(C(CO)O)(O)=O
G2	C(C(C(CO)O)O)(O)=O
G2	C(CN)(O)=O
G2	C(C(CO)(C(C(CO)O)O)O)=O
G2	C(C(CO)(C(CN)O)O)=O
G2	C(C(C(CO)O)(C(CN)O)O)=O
G2	C(C(CO)(CO)O)=O
G2	C(C(CO)(C(CO)O)O)=O
G2	C(C(C(CO)O)(C(CO)O)O)=O
G2	C(C(C(C(CO)O)O)O)(O)=O
G2	C(C(C(C(C(CO)O)O)O)O)(O)=O
G2	C(C(C(CN)O)O)(O)=O
G2	C(CC=O)=O
G2	C(C(C)=O)=O
G2	C(C(CCO)=O)=O
G2	C(CC(C=O)O)=O
G2	C(CC(CO)=O)=O
G2	C(C(C(C)=O)O)=O
G2	C(C)=O
G2	C(C(CNCC=O)O)=O
G2	C(C(C(CO)NCC=O)O)=O
G2	C(C(CN)O)=O
G2	C(C(C(CO)N)O)=O
G2	C1C(C(C(O)O1)O)O
G3	C1(CNCC(C1O)O)=O
G3	C(C1C(C(CN1)O)O)=O
G3	C(C1C(C(C(CO)N1)O)O)=O
G3	C(CC(C(C(C(CO)O)O)N)O)=O
G3	C(C(C=O)C(C(C(CN)O)N)O)=O
G3	C(C(CC(C(C(CN)O)N)O)=O)=O
G3	C(CC(C(C(CN)O)N)O)=O
G3	C(CO)(C(C(C(CO)N)O)O)=O
G3	C(CN)(C(C(C(CO)N)O)O)=O
G3	C(CO)(C(C(C(CO)N)O)N)=O
G3	C(C(C(C(CO)N)O)NCC=O)=O
G3	C(C(C=O)C(C(CO)N)O)=O
G3	C(C(CC(C(CO)N)O)=O)=O
G3	C(C(C(CO)C(C(CO)N)O)=O)=O
G3	C(C(C(C(CO)N)O)C(C=O)O)=O
G3	C(C(C(CO)=O)C(C(CO)N)O)=O
G3	C(CC(C(C(C(CO)N)O)O)=O)=O
G3	C(C(C(CC(C(CO)N)O)=O)O)=O
G3	C(CC(C(CO)N)O)=O
