Generation	Smiles	Inchi
G1	C(C(CO)O)(O)=O	RBNPOMFGQQGHHO
G2	C(C(CO)(C(C)O)O)(O)=O	WKRKESUWTIYINN
G3	C(C(C(CC(O)=O)O)C(C)O)=O	YTCZJXDURLPWNQ
G3	C(C(C=O)C(CC(C)O)O)(O)=O	IHSFWOVWMRACIR
G3	C(C(C(C)O)C(C(CO)=O)O)=O	CPUSMWJJBISCJI
G3	C(C(C(C)O)C(C=O)(CO)O)=O	FDSHEHPBHWGLQY
G3	C(C(C(C(CC(C)O)O)O)=O)=O	RLPBKLOISADAAA
G3	C(C(C(CO)C(C)O)=O)(O)=O	OTZRLOUETUNNPF
G3	C(C(CO)C(C(O)=O)(C)O)=O	BFZNNUQWZSQLIJ
G3	C(C(CC(C)O)(CC=O)O)(O)=O	VWVQXOPQCDMBFD
G3	C(C(C(C(C)O)C(C)O)=O)(O)=O	DKTZGQOJHCXEEP
G3	C(C(C)(CC(CC=O)O)O)(O)=O	DMMYGKQJPXLURW
G3	C(C(C(C)O)C(C(O)=O)(C)O)=O	MGQBJYDCWJLMCR
G3	C(C(CC(CC(C)O)O)=O)(O)=O	CLJFVEVVBOUFBJ
G3	C(C(C)(CCO)O)(O)=O	WPTOKOVIJAZOHE
G3	C(C(C)(CC(O)=O)O)(O)=O	XFTRTWQBIOMVPK
G3	C(C(CO)(CO)O)(O)=O	OJSKBWPAXWEHAA
G3	C(C(C(CC(C)O)O)O)(O)=O	RADXXSNGCSTPSV
G3	C(C(C(C)O)O)(O)=O	LOUGYXZSURQALL
G3	C(C(C=C)(CO)O)(O)=O	SLQLBHNBWFDOTA
G3	CC(C(CO)O)O	YAXKTBLXMTYWDQ
G3	C(C(C(C(C)O)O)O)(O)=O	CHUMGDDVFASTDV
G3	C(C(C)(C(CO)O)O)(O)=O	UXJDESUVPBNUTB
