Generation	Smiles
G0	C=O
G0	C(CO)=O
G0	O
G1	C(C(CO)O)=O
G1	C(C(C(CO)O)O)=O
G1	CO
G1	C(O)=O
G1	C(CO)O
G1	C(CO)(O)=O
G2	C(C(C(C(CO)O)O)O)=O
G2	C(C(C(C(C(CO)O)O)O)O)=O
G2	C(C=O)=O
G2	C(CO)(CO)=O
G2	C(CO)(C(CO)O)=O
G2	C(C(CO)O)O
G2	C(C(C(CO)O)O)O
G2	C(C(CO)O)(O)=O
G2	C(C(C(CO)O)O)(O)=O
G2	C(C(CO)(C(C(CO)O)O)O)=O
G2	C(C(CO)(CO)O)=O
G2	C(C(CO)(C(CO)O)O)=O
G2	C(C(C(CO)O)(C(CO)O)O)=O
G2	C(C(C(C(CO)O)O)O)(O)=O
G2	C(C(C(C(C(CO)O)O)O)O)(O)=O
G2	C(CC=O)=O
G2	C(C(C)=O)=O
G2	C(C(CCO)=O)=O
G2	C(CC(C=O)O)=O
G2	C(CC(CO)=O)=O
G2	C(C(C(C)=O)O)=O
G2	C(C)=O
G2	C1C(C(C(O)O1)O)O
G3	C(CC(C(C(C(CO)O)O)O)O)=O
G3	C(C(C(C(CO)=O)O)O)=O
G3	C(C(C(C=O)O)O)(C(CO)O)=O
G3	C(C(C=O)C(C=O)O)=O
G3	C(C(CC(C=O)=O)O)=O
G3	C(C(C(C(C=O)=O)CO)O)=O
G3	C(C(C(C=O)C(C=O)O)O)=O
G3	C(C(C(CO)=O)C(C=O)O)=O
G3	C(CC(C(C(C=O)O)O)=O)=O
G3	C(C(C(CC(C=O)O)=O)O)=O
G3	C(CO)(C(C(CO)(CO)O)O)=O
G3	C(CC(C(C(CO)=O)O)O)=O
G3	C(C(C=O)C(CO)(CO)O)=O
G3	C(C(C)(C(C(CO)=O)O)O)=O
G3	C(C)(C(C(C(CO)=O)O)O)=O
G3	C(C(CC(CO)(CO)O)=O)=O
G3	C(C(CCO)(C(C(CO)=O)O)O)=O
G3	C(C(C(C(CCO)=O)O)O)(CO)=O
G3	C(C(C(CO)C(CO)(CO)O)=O)=O
G3	C(CC(C(C(C(CO)=O)O)O)O)=O
G3	C(C(CC(C(C(CO)=O)O)O)O)=O
G3	C(C(C(CO)(CO)O)C(C=O)O)=O
G3	C(CO)(CC(C(C(CO)=O)O)O)=O
G3	C(CC(CO)(C(C(CO)=O)O)O)=O
G3	C(C(C(CO)=O)C(CO)(CO)O)=O
G3	C(CC(C(C(CO)(CO)O)O)=O)=O
G3	C(C)(C(C(C(C(CO)=O)O)O)O)=O
G3	C(C(C(C)(C(C(CO)=O)O)O)O)=O
G3	C(C(C(CC(CO)(CO)O)=O)O)=O
G3	C(CO)(C(C(C)O)O)=O
G3	C(CC(CO)(CO)O)=O
G3	C(CC(C(C(C(CO)O)=O)O)O)=O
G3	C(C(C=O)C(CO)(C(CO)O)O)=O
G3	C(C(C)(C(C(C(CO)O)=O)O)O)=O
G3	C(C(C(C(C(CO)O)=O)O)O)(C)=O
G3	C(C(CC(CO)(C(CO)O)O)=O)=O
G3	C(C(C(C)O)O)(C(CO)O)=O
G3	C(CC(CO)(C(CO)O)O)=O
G3	C(C(C=O)C(C(CO)(CO)O)O)=O
G3	C(C(CC(C(CO)(CO)O)O)=O)=O
G3	C(CC(C(CO)(CO)O)O)=O
G3	C(CC(C(CO)(C(CO)O)O)O)=O
G3	C(C(C=O)C(CC=O)O)=O
G3	C(C(C=O)C(C=O)(C)O)=O
G3	C(C(C=O)C(C(C)=O)O)=O
G3	C(CC(CC(C=O)=O)O)=O
G3	C(C(C=O)C(C=O)(CCO)O)=O
G3	C(C(C=O)C(C(CCO)=O)O)=O
G3	C(CC(C(C(C=O)=O)CO)O)=O
G3	C(C(C=O)C(C(CC=O)O)O)=O
G3	C(C(C=O)C(CC(C=O)O)O)=O
G3	C(CC(C(C=O)C(C=O)O)O)=O
G3	C(C(C=O)C(CC(CO)=O)O)=O
G3	C(C(C=O)C(CO)(CC=O)O)=O
G3	C(CC(C(C=O)C(CO)=O)O)=O
G3	C(CC(C(C(CC=O)=O)O)O)=O
G3	C(C(C=O)C(C(C(C)=O)O)O)=O
G3	C(C(C=O)C(C)(C(C=O)O)O)=O
G3	C(C(C(CC(CC=O)O)=O)O)=O
G3	C(C(C=O)C(C)O)=O
G3	C(CC(CC=O)O)=O
G3	C(C(C)(CC(C=O)=O)O)=O
G3	C(C)(C(CC(C=O)=O)O)=O
G3	C(C(CCO)(CC(C=O)=O)O)=O
G3	C(C(CC(C=O)=O)O)(CCO)=O
G3	C(C(C)(C(C(C=O)=O)CO)O)=O
G3	C(C(C(C(C=O)=O)CO)O)(C)=O
G3	C(CC(C(CC(C=O)=O)O)O)=O
G3	C(C(CC(CC(C=O)=O)O)O)=O
G3	C(C(C(C=O)C(C=O)(C)O)O)=O
G3	C(C(C(C=O)C(C(C)=O)O)O)=O
G3	C(CO)(CC(CC(C=O)=O)O)=O
G3	C(CC(CO)(CC(C=O)=O)O)=O
G3	C(C(C)(C(C=O)C(CO)=O)O)=O
G3	C(C(C(CO)=O)C(C(C)=O)O)=O
G3	C(C(C)(C(C(CC=O)=O)O)O)=O
G3	C(CC(C(C(C(C)=O)O)O)=O)=O
G3	C(C)(C(C(CC(C=O)=O)O)O)=O
G3	C(C(C(C)(CC(C=O)=O)O)O)=O
G3	C(C(C)(CC(C(C=O)O)=O)O)=O
G3	C(C(C(CC(C(C)=O)O)=O)O)=O
G3	C(C(CC(C)O)=O)=O
