Generation	Smiles	Inchi	Energy Change	Reaction IDs
G1	C(C(C(CO)O)O)=O	YTBSYETUWUMLBZ	[-16.39]	[['7_0']]
G2	C(C(C(C(CO)O)O)N)=O	RNZJRDIKDNXKIJ	[-30.029999999999998]	[['19_0', '5_0', '10_0']]
G2	C(C(C(C(C(CO)O)O)O)N)=O	FZHXIRIBWMQPQF	[-13.8]	[['21_0', '7_0', '10_0']]
G2	C(C(C(CN)O)N)=O	QSBOQJCOHPCHRB	[-18.77]	[['23_0', '10_0', '10_0']]
G2	C(C(C(C(CO)O)O)O)=O	PYMYPHUHKUWMLA	[-45.989999999999995]	[['27_0', '5_0']]
G2	C(C(C(CN)O)O)=O	JIDVIMQFVJVPPX	[-34.73]	[['31_0', '10_0']]
G2	C(C(C(CO)O)N)=O	UQNPMNUVBRVOCQ	[-28.0]	[['33_0', '10_0']]
G2	C(CO)(C(CO)O)=O	UQPHVQVXLPRNCX	[-18.39]	[['41_0', '7_0']]
G2	C(CNCC=O)(C(CO)O)=O	UAOKRFJFLAUQNR	[-30.67]	[['45_0', '7_0', '10_0']]
G2	C(CN)(C(CO)O)=O	WZDHWMRAASHPBX	[-36.730000000000004]	[['49_0', '7_0']]
G2	C(C(CO)O)O	PEDCQBHIVMGVHV	[-63.01]	[['53_0', '5_0']]
G2	C(C(C(CO)O)O)O	UNXHWFMMPAWVPI	[-41.34]	[['55_0', '7_0']]
G2	C(C(CO)O)(O)=O	RBNPOMFGQQGHHO	[-62.79]	[['59_0', '5_0']]
G2	C(C(C(CO)O)O)(O)=O	JPIJQSOTBSSVTP	[-46.56]	[['61_0', '7_0']]
G2	C(C(CO)(C(CN)O)O)=O	MMZWUQKSIXGQLM	[-61.68]	[['67_0', '5_0', '10_0']]
G2	C(C(C(CO)O)(C(CN)O)O)=O	MGKXNCNVFOFGIA	[-45.45]	[['69_0', '7_0', '10_0']]
G2	C(C(CO)(CO)O)=O	OUEKYUKJSLEOIU	[-59.56999999999999]	[['71_0', '5_0']]
G2	C(C(CO)(C(CO)O)O)=O	XUSNIIKGKKSRDZ	[-43.34]	[['73_0', '7_0']]
G2	C(C(C(CN)O)O)(O)=O	WITVYMTUWTVRND	[-64.9]	[['82_0', '10_0', '17_0']]
G2	C(C(C(CO)NCC=O)O)=O	GECVMGDGBBOZSR	[-21.939999999999998]	[['102_0', '7_0', '10_0']]
G2	C(C(C(CO)N)O)=O	KXMAOQJMLAAVJY	[-28.0]	[['106_0', '7_0']]
G2	C1C(C(C(O)O1)O)O	FMAORJIQYMIRHF	[-17.990000000000002]	[['108_0', '7_0']]
G3	C1(CNCC(C1O)O)=O	PSUSVGBSODGBTL	[-111.33]	[['110_0', '43_0', '5_0', '10_0']]
G3	C(C1C(C(CN1)O)O)=O	OGYDNRAJWUFKAN	[-139.12]	[['112_0', '100_0', '5_0', '10_0']]
G3	C(C1C(C(C(CO)N1)O)O)=O	JOIYHICQTODJOT	[-122.73]	[['114_0', '102_0', '7_0', '10_0']]
G3	C(CC(C(C(CN)O)N)O)=O	KWDCSBRDQCQHKH	[-123.67]	[['122_0', '23_0', '98_0', '10_0', '10_0', '15_0']]
G3	C(CO)(C(C(C(CO)N)O)O)=O	BKWXDOXHLINVQC	[-89.19999999999999]	[['124_0', '25_0', '39_0', '10_0', '5_0']]
G3	C(CN)(C(C(C(CO)N)O)O)=O	IYXIHIRGJNTXQT	[-107.53999999999999]	[['126_0', '25_0', '47_0', '10_0', '5_0']]
G3	C(CO)(C(C(C(CO)N)O)N)=O	NGRFFJHDPIXBCS	[-73.24000000000001]	[['128_0', '25_0', '47_0', '10_0', '5_0']]
G3	C(C(C=O)C(C(CO)N)O)=O	TYEPXMQCSLBUQN	[-119.47999999999999]	[['132_0', '25_0', '86_0', '10_0', '5_0']]
