Generation	Smiles	Inchi	Energy Change	Reaction IDs
G1	C(C(C(CO)O)O)=O	YTBSYETUWUMLBZ	[13.37]	[['5_0']]
G1	C(CN)(C(C(C(CO)O)O)O)=O	XBBIACPUMILHFE	[-20.34]	[['9_0']]
G1	C(C(CC(C(CO)O)O)=O)=O	ZGCHLOWZNKRZSN	[-41.01]	[['14_0']]
G1	C(CC(C(C(CO)O)O)=O)=O	RXVDSZVTHMJWNV	[-53.84]	[['16_0']]
G1	C(C(C(CC(CO)O)=O)O)=O	QBHBJCPWTMMDIG	[-97.97]	[['18_0']]
G1	C(CC(C=O)O)(C(CO)O)=O	LVYQXQPAYHNLQF	[-41.01]	[['20_0']]
G1	C(C(C(C=O)O)O)(CCO)=O	KTQQRSZBGCOSES	[-41.01]	[['22_0']]
G1	C(C(C(CC(CO)=O)O)O)=O	ZNSXGNZNZVWMBM	[-41.01]	[['24_0']]
G1	C(C(C(C(C(C)=O)O)O)O)=O	MKKWPESNDMZCAX	[-45.4]	[['26_0']]
G1	C(CC(C(C(C=O)O)O)O)=O	DRFVLWXFACEMHK	[-39.01]	[['28_0']]
G1	C(C(C(C(C(CO)O)O)N)O)=O	FOEXHEVNPRRHDY	[-11.61]	[['30_0']]
G2	C1(C(C(C(C1CO)O)O)O)=O	LKUVPWZWJWOYKB	[-129.28]	[['38_0', '22_0']]
G2	C1(C(C(C(C(C1)O)O)O)O)=O	GZYCZKBRQBKGJW	[-132.13]	[['40_0', '24_0']]
G2	C(C1C(C(C(C1O)O)O)O)=O	FWWLBYLLLIZJAL	[-107.52000000000001]	[['43_0', '28_0']]
G2	C(CO)(C(CO)O)=O	UQPHVQVXLPRNCX	[11.37]	[['87_0', '5_0']]
G2	C(C(C(CO)O)O)(C(CN)O)=O	BPJVQNJYFQFSLO	[-20.34]	[['92_0', '9_0']]
G2	C(CC(C(C(CO)O)=O)O)=O	ZJCIIXYSVSASQO	[-41.010000000000005]	[['94_0', '16_0']]
G2	C(C(CO)=O)(CC(CO)O)=O	OKVIFNQBEGMUGM	[-43.019999999999996]	[['96_0', '18_0']]
G2	C(C(C(CC(CO)O)O)=O)=O	LZWSFTUENIWOJY	[-41.019999999999996]	[['98_0', '18_0']]
G2	C(C(CO)O)(CC(CO)=O)=O	JVFNKFJEKRIBEO	[-43.01]	[['100_0', '20_0']]
G2	C(C(CC(C(CO)=O)O)O)=O	IIVQAABKLUTFMY	[-41.01]	[['102_0', '20_0']]
G2	C(CCO)(C(C(CO)=O)O)=O	RWEGJCQFZKJRNT	[-43.01]	[['104_0', '22_0']]
G2	C(C(C(C(CCO)O)=O)O)=O	KQLFTMYZWPHWPS	[-41.01]	[['106_0', '22_0']]
G2	C(CO)(C(CC(CO)=O)O)=O	QORDBZPIKABGJM	[-43.01]	[['108_0', '24_0']]
G2	C(C(C(CC(C=O)O)O)O)=O	ZAZMXMODCOTURY	[-39.01]	[['110_0', '24_0']]
G2	C(C)(C(C(C(CO)=O)O)O)=O	KFHNTUHHTDAEOF	[-47.4]	[['112_0', '26_0']]
