Canonical Code	Generation	Library Smiles	Test Smiles
d488e3e9725e844f	G2	C(C(CO)O[H])O	C(C(CO)O)O
c044c9445e22124e	G2	C(=O)C(CO)(CO)O[H]	C(C(CO)(CO)O)=O
faa39363540be971	G3	C(=O)C(C=O)C(CO)(CO)O[H]	C(C(C=O)C(CO)(CO)O)=O
9b1cef6e29f94a84	G3	C(=O)C(=O)CC(CO)(CO)O[H]	C(C(CC(CO)(CO)O)=O)=O
82f4575d431795ec	G3	C(=O)CC(CO)(CO)O[H]	C(CC(CO)(CO)O)=O
3fb577b857cc0830	G3	C(C(CO)N([H])[H])O	C(C(CO)N)O
39f048caeb3f8ee7	G3	C(C(CO)(CO)O)O[H]	C(C(CO)(CO)O)O
bea2ea46bdd9b304	G3	C(=O)(C(CO)(CO)O)O[H]	C(C(CO)(CO)O)(O)=O
45ee45b47d11879	G3	C(=O)C(CO)(CO)N([H])[H]	C(C(CO)(CO)N)=O
cb96adb78c20f25d	G3	C(=O)(CO)C(CO)(CO)O[H]	C(CO)(C(CO)(CO)O)=O
7996bac4feaaf65b	G3	C(=O)(CN([H])[H])C(CO)(CO)O	C(CN)(C(CO)(CO)O)=O
8f105d853b99c3ed	G3	C(C(CO)(CO)O)N([H])[H]	C(C(CO)(CN)O)O
c908917571a8e8c1	G3	C(=O)(CN([H])[H])CNCC(=O)CO	C(CNCC(CN)=O)(CO)=O
18cfbd955ff12aad	G3	C(=O)(CN([H])[H])CNCCO	C(CNCCO)(CN)=O
69863c9f803632c6	G3	C(=O)(CN([H])[H])CNCC(=O)O	C(CNCC(CN)=O)(O)=O
6664d6afe5949688	G3	C(=O)(CO[H])CNCC(=O)CO	C(CO)(CNCC(CO)=O)=O
2877d9f7b06778e4	G3	C(=O)(CO[H])CNCCO	C(CO)(CNCCO)=O
c5c36e003d5345b	G3	C(=O)(CNCC(=O)O[H])CO	C(CNCC(CO)=O)(O)=O
3fb577b857cc0830	G3	C([C@@H](CO)N)O[H]	C(C(CO)N)O
45ee45b47d11879	G3	C(=O)[C@@](CO[H])(CO)N	C(C(CO)(CO)N)=O
7996bac4feaaf65b	G3	C(=O)(CN)[C@@](CO[H])(CO)O	C(CN)(C(CO)(CO)O)=O
cbeb5bc807d51e0a	G3	C(=O)(CO[H])CNCCN	C(CO)(CNCCN)=O
8f105d853b99c3ed	G3	C([C@](CN)(CO)O)O[H]	C(C(CO)(CN)O)O
62608c108e0f0cb7	G3	C([C@@H](CN)O)N([H])[H]	C(C(CN)O)N
3a11b76ffbb77d1b	G4	C(=O)(CC(CO)(CO)O)CO[H]	C(CO)(CC(CO)(CO)O)=O
d93daa61acacfe90	G4	C(=O)(CC(CO)(CO)O)CN([H])[H]	C(CN)(CC(CO)(CO)O)=O
d960d85d8a2b9811	G4	C(=O)(CC(CC(=O)CO)O[H])CO	C(CO)(CC(CC(CO)=O)O)=O
7d62f4ffe1f3e368	G4	C(=O)(CO)[C@@H](CO[H])CO	C(CO)(C(CO)CO)=O
d854ed1903e8bd05	G4	C(=O)(C(=O)O)[C@@H](CO[H])CO	C(C(C(CO)CO)=O)(O)=O
16d69721b96bddd	G4	C(=O)(CN([H])[H])C(CO)CO	C(CN)(C(CO)CO)=O
806095c1c69ccd8b	G4	C(=O)C(=O)C(CO)(CO)O[H]	C(C(C(CO)(CO)O)=O)=O
d72f4b4c54ceba5f	G4	C(=O)(CO)C(C(=O)CO)O[H]	C(CO)(C(C(CO)=O)O)=O
80d6eb93dcd08fe7	G4	C(=O)(CO)C(C(=O)CO)N([H])[H]	C(CO)(C(C(CO)=O)N)=O
8da7fd6fc34f3b72	G4	C(CO)C(CO)(CO)O[H]	C(C(CO)(CCO)O)O
9a25adbb1fd3b237	G4	C(=O)C(CCO)(CCO)O[H]	C(C(CCO)(CCO)O)=O
ec8d2de5359a4962	G4	C(C(CO)(CO)N([H])[H])O	C(C(CO)(CO)N)O
a277d2fab2bcab9e	G4	C(=O)(C)C(CO)(CO)O[H]	C(C)(C(CO)(CO)O)=O
8bf0f390e0a9abbc	G4	C(=O)(CCO)C(CO)(CO)O[H]	C(CCO)(C(CO)(CO)O)=O
2686b44269ce03d4	G4	C(=O)(CC(CO)(CO)O)O[H]	C(CC(CO)(CO)O)(O)=O
58f08a7bc05d903c	G4	C(=O)(C(CO)(CO)N([H])[H])O	C(C(CO)(CO)N)(O)=O
74ca4bbd265b9879	G4	C(=O)(CO)C(CO)(CO)N([H])[H]	C(CO)(C(CO)(CO)N)=O
3e9363a18a1247c2	G4	C(=O)C(=O)C(CO[H])(CO)CO	C(C(C(CO)(CO)CO)=O)=O
94da854518848188	G4	C(=O)C(C(=O)CO[H])(CO)CO	C(C(C(CO)=O)(CO)CO)=O
ec8544f67559de23	G4	C(=O)CC(=O)C(CO)(CO)O[H]	C(CC(C(CO)(CO)O)=O)=O
ab6170869b684e45	G4	C(=O)C(C(=O)CN([H])[H])(CO)CO	C(C(C(CN)=O)(CO)CO)=O
c61a8224f7a3298b	G4	C(=O)(C(C(=O)O)(C)O[H])O	C(C(C(O)=O)(C)O)(O)=O
38483f9dcce7aa80	G4	C(=O)(C(=O)C(CO)CO)CO[H]	C(C(CO)=O)(C(CO)CO)=O
869ad179455e5dc4	G4	C(=O)(C(=O)C(CO)CO)CN([H])[H]	C(C(CN)=O)(C(CO)CO)=O
841a2a4f3346ba8a	G4	C(=O)(CO)C(C(=O)CO)CO[H]	C(CO)(C(C(CO)=O)CO)=O
9d3a02a001700e46	G4	C(=C(CO)CO)(C(=O)CO)N([H])[H]	C(CO)(CO)=C(C(CO)=O)N
c81f10fb5c718b23	G4	C(=O)C(=O)/C(=C(/CO[H])\CO)/CO	C(CO)(CO)=C(C(C=O)=O)CO
8617a821f4b7338f	G4	C=C(C(=O)C=O)C(CO)(CO)O[H]	C=C(C(C=O)=O)C(CO)(CO)O
a5d56eeee70be1ad	G4	C(=O)/C(=C(/CO[H])\CO)/C(=O)CO	C(CO)(CO)=C(C=O)C(CO)=O
f49ebff9cb5e93ad	G4	C(=C(C=O)C=O)C(CO)(CO)O[H]	C(C(CO)(CO)O)=C(C=O)C=O
1a145e67f5dc01e0	G4	C(=O)C(=C(CO)CO)N([H])[H]	C(CO)(CO)=C(C=O)N
8788766b86f3e1c5	G4	C(=C(CO)CO)(C(=O)O)N([H])[H]	C(CO)(CO)=C(C(O)=O)N
2ce8b97efc1a7647	G4	C(=C(CO)CO)N([H])[H]	C(N)=C(CO)CO
1c6cde206fb85313	G4	C(CN([H])[H])C(CO)(CO)O	C(C(CO)(CCN)O)O
2b6f2bbaedfd125	G4	C(=O)C(=O)CCC(CO)(CO)N([H])[H]	C(C(CCC(CO)(CO)N)=O)=O
f4d67411d2e5c610	G4	C(=O)CC(CO)(CO)N([H])[H]	C(CC(CO)(CO)N)=O
23fb030e5b986995	G4	C(=O)C(=O)CCC(CO)(CO)O[H]	C(C(CCC(CO)(CO)O)=O)=O
f8f14c4b07fa596f	G4	C(=O)(C[C@@](CN([H])[H])(CN)O)CO	C(CO)(CC(CN)(CN)O)=O
6886cd6bb1076a55	G4	C(=O)(C(=O)O)C[C@](CN([H])[H])(CN)O	C(C(CC(CN)(CN)O)=O)(O)=O
914cebd4b0ce287f	G4	C(=O)(C[C@@](CN([H])[H])(CN)O)CN	C(CN)(CC(CN)(CN)O)=O
b2d2834eddd05dc8	G4	C(=O)(CN)[C@H](C(=O)O[H])C(=O)O	C(C(C(O)=O)C(CN)=O)(O)=O
d93daa61acacfe90	G4	C(=O)(C[C@@](CO[H])(CO)O)CN	C(CN)(CC(CO)(CO)O)=O
49ec96ee13d211fe	G4	C(=O)C(C=O)[C@@](CN([H])[H])(CN)O	C(C(C=O)C(CN)(CN)O)=O
5d30a1b78b8faf58	G4	C(=O)C(=O)C[C@](CN([H])[H])(CN)O	C(C(CC(CN)(CN)O)=O)=O
5ed2be0e256a35fc	G4	C(=O)C[C@@](CN([H])[H])(CN)O	C(CC(CN)(CN)O)=O
16d69721b96bddd	G4	C(=O)(CN)[C@H](CO[H])CO	C(CN)(C(CO)CO)=O
80d6eb93dcd08fe7	G4	C(=O)(CO[H])[C@H](C(=O)CO)N	C(CO)(C(C(CO)=O)N)=O
5577ec4996b108d6	G4	C1(=O)CNCC(=O)C1(CO)O[H]	C1(CNCC(C1(CO)O)=O)=O
1732c5cf4fe73b23	G4	C(=O)(CNC)[C@@](CO[H])(CO)O	C(CNC)(C(CO)(CO)O)=O
b5f6ea30ec02304b	G4	C(=O)C(C=O)N[C@@H](CO[H])CO	C(C(C=O)NC(CO)CO)=O
1d411b74d5ca6830	G4	C(=O)(CCO)CNCCN([H])[H]	C(CNCCN)(CCO)=O
9002a55fbfacc14	G4	C(=O)(CNC)CNCCO[H]	C(CNCCO)(CNC)=O
307e3a0c02e01168	G4	C(=O)(CC(=O)O[H])CNCCN	C(CNCCN)(CC(O)=O)=O
ffb36ce975f8ba6b	G4	C(=O)(CNC)CNCC(=O)O[H]	C(CNC)(CNCC(O)=O)=O
efec20557594f5fe	G4	C(=O)(CNC)CNCCN([H])[H]	C(CNCCN)(CNC)=O
67a855c0e13bcd84	G4	C=C(C(=O)CNCCN)N([H])[H]	C=C(C(CNCCN)=O)N
dc82e939e868e468	G4	C(=O)(CCN)CNCCN([H])[H]	C(CNCCN)(CCN)=O
37f633f434ecce4f	G4	C(=O)(CN([H])[H])[C@@H](C(=O)CN)O	C(CN)(C(C(CN)=O)O)=O
c5b5d25931fbd5bd	G4	C(=O)(CN([H])[H])CNCC(=O)CN	C(CNCC(CN)=O)(CN)=O
a81bf191cb8a3562	G4	C(=O)(CN([H])[H])[C@](C(=O)CN)(CO)O	C(CN)(C(C(CN)=O)(CO)O)=O
c3305428b701db5f	G4	C(=O)(CN([H])[H])CNCCN	C(CNCCN)(CN)=O
95380c85e1bf239c	G4	C(=O)(CN[C@@H](CO[H])CO)CO	C(CO)(CNC(CO)CO)=O
f88fe11c89c4a2ba	G4	C(=O)(CCO)CNCCO[H]	C(CNCCO)(CCO)=O
de6ed7ab43618e5b	G4	C(=O)(CC(=O)O[H])CNCCO	C(CC(CNCCO)=O)(O)=O
4e35e871b92b47ae	G4	C=C(C(=O)CNCCO)N([H])[H]	C=C(C(CNCCO)=O)N
684c31de39de880a	G4	C(=O)(CCN([H])[H])CNCCO	C(CNCCO)(CCN)=O
a43c18c2ade463c1	G4	C(=O)(CCO)CNCC(=O)O[H]	C(CNCC(O)=O)(CCO)=O
b0f2b0f7ea96b6fc	G4	C(=O)(CC(=O)O[H])CNCC(=O)O	C(CC(CNCC(O)=O)=O)(O)=O
14f0fd0450db6e84	G4	C=C(C(=O)CNCC(=O)O)N([H])[H]	C(CNCC(C(N)=C)=O)(O)=O
d0878f3890a9d3c7	G4	C(=O)(CCN)CNCC(=O)O[H]	C(CNCC(O)=O)(CCN)=O
1d8550ab3c83c1c1	G4	C(=O)(CN)CN[C@@H](CO[H])CO	C(CNC(CO)CO)(CN)=O
561aec0a8dff84d7	G4	C(=O)CN[C@@H](CO[H])CO	C(CNC(CO)CO)=O
bb80da90d046d7e7	G4	C(=O)CN[C@@](C=O)(CO[H])CO	C(C(CO)(CO)NCC=O)=O
ec0fe0e79691c229	G4	C(=O)CNC[C@@](CO[H])(CO)O	C(CNCC(CO)(CO)O)=O
feea6bfb77f47e92	G4	C([C@@H](CO)NCCO)O[H]	C(CNC(CO)CO)O
f02c82d4a7207562	G4	C(=O)(CN[C@@H](CO[H])CO)O	C(CNC(CO)CO)(O)=O
9622b685961b3fe6	G4	C(CNCCO)O[H]	C(CNCCO)O
5b15fa5d0dd5ddd3	G4	C(=O)(CNCCO[H])O	C(CNCCO)(O)=O
7c586643c0ccf8ef	G4	C([C@@](CO)(C(CO)(CO)O)N)O[H]	C(C(CO)(C(CO)(CO)O)N)O
ec8d2de5359a4962	G4	C(C(CO)(CO)N)O[H]	C(C(CO)(CO)N)O
ada2dd1fa0e8266b	G4	C(=O)(CCNCCO)CO[H]	C(CO)(CCNCCO)=O
54f76d7ec440a57a	G4	C(=O)(CCNCC(=O)O[H])CO	C(CNCCC(CO)=O)(O)=O
7050badde68abb3f	G4	C(CNCCO)N([H])[H]	C(CO)NCCN
c7fa962b2691c7de	G4	C(=O)(CNCC(=O)O)O[H]	C(CNCC(O)=O)(O)=O
58f08a7bc05d903c	G4	C(=O)(C(CO)(CO)N)O[H]	C(C(CO)(CO)N)(O)=O
280813ab515fd592	G4	C(=O)(C(=O)O[H])CCNCCO	C(C(CCNCCO)=O)(O)=O
d3928551f012a646	G4	C(=O)(C(=O)O[H])CCNCC(=O)O	C(CNCCC(C(O)=O)=O)(O)=O
c52c39041aa6f448	G4	C(=O)(CNCCN([H])[H])O	C(CNCCN)(O)=O
c63e1199b4cec327	G4	C(=O)([C@@](C(=O)O)(CO)N)O[H]	C(C(C(O)=O)(CO)N)(O)=O
8975939a27749d09	G4	C(=O)([C@](C(=O)O)(CN)O)O[H]	C(C(C(O)=O)(CN)O)(O)=O
74ca4bbd265b9879	G4	C(=O)(CO)[C@@](CO[H])(CO)N	C(CO)(C(CO)(CO)N)=O
4399cff52480ad7b	G4	C(=O)[C@](CO[H])(CO)NCCO	C(C(CO)(CO)NCCO)=O
d1e04702faf27a5a	G4	C(=O)[C@](CO[H])(CO)NCC(=O)O	C(C(CO)(CO)NCC(O)=O)=O
e78f7608cd60653b	G4	C(=O)(CN)C(CO)(CO)N([H])[H]	C(CN)(C(CO)(CO)N)=O
ab6170869b684e45	G4	C(=O)[C@](C(=O)CN)(CO[H])CO	C(C(C(CN)=O)(CO)CO)=O
dc9fbedda7270d03	G4	C(=O)(CN)CN[C@H](C(=O)O[H])C(=O)O	C(C(C(O)=O)NCC(CN)=O)(O)=O
486bc525aebdd906	G4	C(=O)CN[C@H](C(=O)O[H])C(=O)O	C(C(C(O)=O)NCC=O)(O)=O
a11887337424b8e2	G4	C([C@](CN)(CO)O)N([H])[H]	C(C(CN)(CN)O)O
2883a41ea373c1e7	G4	C(=O)(CCNCCO)CN([H])[H]	C(CN)(CCNCCO)=O
519a90cf5ff51281	G4	C(=O)(CCNCC(=O)O[H])CN	C(CN)(CCNCC(O)=O)=O
869ad179455e5dc4	G4	C(=O)(C(=O)[C@H](CO[H])CO)CN	C(C(CN)=O)(C(CO)CO)=O
967a65c5e84a9bad	G4	C(=O)(CN([H])[H])[C@@H](C(=O)CN)CO	C(CN)(C(C(CN)=O)CO)=O
c839ac6ff9cbf784	G4	C([C@H](CO)NCCN)O[H]	C(CN)NC(CO)CO
157974e3c58c8ccc	G4	C(=O)[C@](CO[H])(CO)NCCN	C(C(CO)(CO)NCCN)=O
26bf963543fd5e3e	G4	C(=O)(C(=O)O[H])CCNCCN	C(C(O)=O)(CCNCCN)=O
764bad653a402346	G4	C(=O)CNCCNCCN([H])[H]	C(CNCCNCCN)=O
73e56fb7b9abbdee	G4	C([C@](CNCCN)(CO)O)O[H]	C(CN)NCC(CO)(CO)O
8e3af4e93478c663	G4	C(=O)(CCNCCN([H])[H])CO	C(CO)(CCNCCN)=O
3302186d1b3680d5	G4	C(CNCCN)N([H])[H]	C(CN)NCCN
ff9846096ffa318f	G4	C(=O)CCN[C@@H](CO[H])CO	C(CCNC(CO)CO)=O
2afd37de0f6a67dd	G4	C(=O)(CCNCCN)CN([H])[H]	C(CN)(CCNCCN)=O
45f83184d1a4afac	G4	C(=O)(C(=O)CNCCO)CO[H]	C(C(CO)=O)(CNCCO)=O
45a0e84c5321754a	G4	C(=O)(C(=O)CO)CNCC(=O)O[H]	C(CNCC(C(CO)=O)=O)(O)=O
1c6cde206fb85313	G4	C(CN)[C@@](CO[H])(CO)O	C(C(CO)(CCN)O)O
4e905f58aaa0b076	G4	C(=O)(CN[C@@H](CN([H])[H])CN)CO	C(CO)(CNC(CN)CN)=O
701f07116c67409f	G4	C([C@H](CN)NCCO)N([H])[H]	C(CO)NC(CN)CN
933bc45f2b948d07	G4	C(=O)(CN[C@H](CN([H])[H])CN)O	C(CNC(CN)CN)(O)=O
1f0ac6423cee0b2c	G4	C(C(CN)N([H])[H])N	C(C(CN)N)N
775cfb3c9a8822af	G4	C(=O)CN[C@H](CN([H])[H])CN	C(CNC(CN)CN)=O
8cd13c3a4508ecc1	G4	C([C@@](CO)(C(CN)(CN)O)O)O[H]	C(C(CO)(C(CN)(CN)O)O)O
4892a1f744d106aa	G4	C(C(CO)(CO)N)N([H])[H]	C(C(CO)(CN)N)O
f4d67411d2e5c610	G4	C(=O)C[C@@](CO[H])(CO)N	C(CC(CO)(CO)N)=O
ed403e1482e543bf	G4	C(=O)(CN)CNCCCO[H]	C(CNCCCO)(CN)=O
4500269f72a4cc	G4	C(=O)(CNCCCO[H])CO	C(CO)(CNCCCO)=O
d420506efb719bd8	G4	C(=O)(CN([H])[H])CNCCC(=O)O	C(CNCCC(O)=O)(CN)=O
75bb699034f26e2d	G4	C=C(CNCC(=O)CN)N([H])[H]	C(CNCC(N)=C)(CN)=O
9eabc77919dff715	G4	C(=O)(CN)CNCCCN([H])[H]	C(CNCCCN)(CN)=O
bf1b890d8fa52b73	G4	C(=O)(CO[H])CNCCC(=O)O	C(CCNCC(CO)=O)(O)=O
e133ad3b1ca4faca	G4	C=C(CNCC(=O)CO)N([H])[H]	C(CO)(CNCC(N)=C)=O
6708a0adcbdc89e4	G4	C(=O)(CNCCCN([H])[H])CO	C(CO)(CNCCCN)=O
5d052f217df5d49c	G4	C(=O)CNCCNCCO[H]	C(CNCCNCCO)=O
6b3269cc6e759c76	G4	C(=O)CNCCNCC(=O)O[H]	C(CNCCNCC(O)=O)=O
9309cd8e6de246db	G4	C(=O)CNC[C@](CO[H])(CO)N	C(CNCC(CO)(CO)N)=O
