Generation	Inchi	Smiles
G1	YTBSYETUWUMLBZ	C(C(C(CO)O)O)=O
G2	RNZJRDIKDNXKIJ	C(C(C(C(CO)O)O)N)=O
G2	PYMYPHUHKUWMLA	C(C(C(C(CO)O)O)O)=O
G2	JIDVIMQFVJVPPX	C(C(C(CN)O)O)=O
G2	UQNPMNUVBRVOCQ	C(C(C(CO)O)N)=O
G2	UQPHVQVXLPRNCX	C(CO)(C(CO)O)=O
G2	WZDHWMRAASHPBX	C(CN)(C(CO)O)=O
G2	PEDCQBHIVMGVHV	C(C(CO)O)O
G2	UNXHWFMMPAWVPI	C(C(C(CO)O)O)O
G2	RBNPOMFGQQGHHO	C(C(CO)O)(O)=O
G2	JPIJQSOTBSSVTP	C(C(C(CO)O)O)(O)=O
G2	MMZWUQKSIXGQLM	C(C(CO)(C(CN)O)O)=O
G2	OUEKYUKJSLEOIU	C(C(CO)(CO)O)=O
G2	XUSNIIKGKKSRDZ	C(C(CO)(C(CO)O)O)=O
G2	WITVYMTUWTVRND	C(C(C(CN)O)O)(O)=O
G2	KXMAOQJMLAAVJY	C(C(C(CO)N)O)=O
G2	FMAORJIQYMIRHF	C1C(C(C(O)O1)O)O
G2	RNZJRDIKDNXKIJ	C(C(C(C(CO)O)O)N)=O
G2	FZHXIRIBWMQPQF	C(C(C(C(C(CO)O)O)O)N)=O
G2	QSBOQJCOHPCHRB	C(C(C(CN)O)N)=O
G2	JIDVIMQFVJVPPX	C(C(C(CN)O)O)=O
G2	UQNPMNUVBRVOCQ	C(C(C(CO)O)N)=O
G2	UAOKRFJFLAUQNR	C(CNCC=O)(C(CO)O)=O
G2	WZDHWMRAASHPBX	C(CN)(C(CO)O)=O
G2	MMZWUQKSIXGQLM	C(C(CO)(C(CN)O)O)=O
G2	MGKXNCNVFOFGIA	C(C(C(CO)O)(C(CN)O)O)=O
G2	WITVYMTUWTVRND	C(C(C(CN)O)O)(O)=O
G2	GECVMGDGBBOZSR	C(C(C(CO)NCC=O)O)=O
G2	KXMAOQJMLAAVJY	C(C(C(CO)N)O)=O
G3	TYEPXMQCSLBUQN	C(C(C=O)C(C(CO)N)O)=O
G3	XGYVTXGBKAEKSN	C(C(CC(C(CO)N)O)=O)=O
G3	REQIOPDLGNSWSP	C(CC(C(CO)N)O)=O
G3	SKHQXBWWPZVTBL	C(CC(C(C(CN)O)O)O)=O
G3	WCLOIEVAMMWGKD	C(CC(C(C(CO)O)N)O)=O
G3	XIIKTJZKWRJKSI	C(C(C(C(CO)=O)O)O)=O
G3	YRBZBJHRIGQRSX	C(C(C(C(CN)=O)O)O)=O
G3	QWVSJAOISGILAV	C(C(C(C(CO)=O)N)O)=O
G3	DPJVCISCLBZLDP	C(CC(C(C(CO)=O)O)O)=O
G3	HWDQZMAZCTUFGO	C(C(C=O)C(CO)(CO)O)=O
G3	HCDKHGUYCIRFGC	C(C(C)(C(C(CO)=O)O)O)=O
G3	KFHNTUHHTDAEOF	C(C)(C(C(C(CO)=O)O)O)=O
G3	GBYNVYGBOCCFCK	C(C(CC(CO)(CO)O)=O)=O
G3	MRKRITSFTIHTAQ	C(CO)(C(C(C)O)O)=O
G3	RLJYTLNHFAJLAE	C(CC(CO)(CO)O)=O
G3	IWASYLACXSGJPG	C(C(C(C)O)O)(C(CO)O)=O
G3	IDBTYBMNHBMAOU	C(CC(CO)(C(CO)O)O)=O
G3	RWAJAMVSHPQTTE	C(CC(C(C(CN)=O)O)O)=O
G3	OEVVJWOUJIUREO	C(CC(C(C(CO)=O)N)O)=O
G3	ZFLFRQNBEVKBDV	C(C(C=O)C(CO)(CN)O)=O
G3	FHYSZSPWXQFGGH	C(C(C)(C(C(CN)=O)O)O)=O
G3	MSKONFCVYLNJPN	C(C(C)(C(C(CO)=O)N)O)=O
G3	SQOIZOFSPPKOGH	C(C)(C(C(C(CN)=O)O)O)=O
G3	QZRMXSVZXCRGAO	C(CO)(C(C(C(C)=O)O)N)=O
G3	OMPVMQXVAIVXEY	C(C(CC(CO)(CN)O)=O)=O
G3	PPFTYFJBDQDNLS	C(CN)(C(C(C)O)O)=O
