Generation	Inchi	Smiles	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness	No. Heteroatoms	ESOL	Heteroatoms/Carbons
G1	YTBSYETUWUMLBZ	C(C(C(CO)O)O)=O	120.042258736	C4H8O4	4	8	4.0	-2.2233	0.073	4	3	77.76	-3.2748	4	1.035171585482697	1.0
G1	ZGCHLOWZNKRZSN	C(C(CC(C(CO)O)O)=O)=O	162.05282342	C6H10O5	6	10	5.0	-2.3675	-0.119	5	3	94.83	-2.6094	5	0.7943070996310865	0.8333333333333334
G1	RXVDSZVTHMJWNV	C(CC(C(C(CO)O)O)=O)=O	162.05282342	C6H10O5	6	10	5.0	-2.3675	-0.119	5	3	94.83	-1.8329	5	0.7943070996310865	0.8333333333333334
G1	QBHBJCPWTMMDIG	C(C(C(CC(CO)O)=O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.3675	-0.119	5	3	94.83	-5.4242	5	0.7943070996310867	0.8333333333333334
G1	LVYQXQPAYHNLQF	C(CC(C=O)O)(C(CO)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.3675	-0.119	5	3	94.83	-1.9676	5	0.7943070996310865	0.8333333333333334
G1	KTQQRSZBGCOSES	C(C(C(C=O)O)O)(CCO)=O	162.05282342	C6H10O5	6	10	5.0	-2.3675	-0.119	5	3	94.83	-3.6515	5	0.7943070996310865	0.8333333333333334
G1	ZNSXGNZNZVWMBM	C(C(C(CC(CO)=O)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.3675	-0.119	5	3	94.83	-3.8216	5	0.7943070996310865	0.8333333333333334
G1	MKKWPESNDMZCAX	C(C(C(C(C(C)=O)O)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.4626	-0.227	5	3	94.83	-1.4318	5	0.7920422323888738	0.8333333333333334
G1	DRFVLWXFACEMHK	C(CC(C(C(C=O)O)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.5486	-0.283	5	3	94.83	-2.4079	5	0.7954937779548318	0.8333333333333334
G1	XBBIACPUMILHFE	C(CN)(C(C(C(CO)O)O)O)=O	179.079372516	C6H13NO5	6	13	5.0	-3.5748	0.419	6	5	124.01	0.65397	6	1.623146943148899	1.0
G1	FOEXHEVNPRRHDY	C(C(C(C(C(CO)O)O)N)O)=O	179.079372516	C6H13NO5	6	13	5.0	-3.7559	0.255	6	5	124.01	-2.0669	6	1.6243336214726452	1.0
G2	LKUVPWZWJWOYKB	C1(C(C(C(C1CO)O)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.2121	0.012	5	4	97.99	0.4365	5	1.2242444430528143	0.8333333333333334
G2	GZYCZKBRQBKGJW	C1(C(C(C(C(C1)O)O)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.0648	-0.206	5	4	97.99	1.6461	5	1.1151043592782783	0.8333333333333334
G2	FWWLBYLLLIZJAL	C(C1C(C(C(C1O)O)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.5681	-0.152	5	4	97.99	-2.9812	5	1.2254311213765596	0.8333333333333334
G2	UQPHVQVXLPRNCX	C(CO)(C(CO)O)=O	120.042258736	C4H8O4	4	8	4.0	-2.0422	0.237	4	3	77.76	1.2188	4	1.0339849071589513	1.0
G2	ZJCIIXYSVSASQO	C(CC(C(C(CO)O)=O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.3675	-0.119	5	3	94.83	-1.2863	5	0.7943070996310865	0.8333333333333334
G2	OKVIFNQBEGMUGM	C(C(CO)=O)(CC(CO)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.1864	0.045	5	3	94.83	-7.9949	5	0.7931204213073412	0.8333333333333334
G2	LZWSFTUENIWOJY	C(C(C(CC(CO)O)O)=O)=O	162.05282342	C6H10O5	6	10	5.0	-2.3675	-0.119	5	3	94.83	-5.906	5	0.7943070996310865	0.8333333333333334
G2	JVFNKFJEKRIBEO	C(C(CO)O)(CC(CO)=O)=O	162.05282342	C6H10O5	6	10	5.0	-2.1864	0.045	5	3	94.83	-7.1275	5	0.7931204213073412	0.8333333333333334
G2	IIVQAABKLUTFMY	C(C(CC(C(CO)=O)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.3675	-0.119	5	3	94.83	-1.503	5	0.7943070996310865	0.8333333333333334
G2	RWEGJCQFZKJRNT	C(CCO)(C(C(CO)=O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.1864	0.045	5	3	94.83	-0.24532	5	0.7931204213073412	0.8333333333333334
