Generation	Test Smiles	Library Smiles	Canonical Code
G3	C(CO)(CNCC(CO)=O)=O	C(=O)(CO[H])CNCC(=O)CO	6664d6afe5949688
G3	C(CN)(C(CO)(CO)O)=O	C(=O)(CN)[C@@](CO[H])(CO)O	7996bac4feaaf65b
G4	C(C(C=O)C(CN)(CN)O)=O	C(=O)C(C=O)[C@@](CN([H])[H])(CN)O	49ec96ee13d211fe
G4	C(C(CC(CN)(CN)O)=O)(O)=O	C(=O)(C(=O)O)C[C@](CN([H])[H])(CN)O	6886cd6bb1076a55
G4	C(CN)(CC(CN)(CN)O)=O	C(=O)(C[C@@](CN([H])[H])(CN)O)CN	914cebd4b0ce287f
G4	C(CN)(CC(CO)(CO)O)=O	C(=O)(C[C@@](CO[H])(CO)O)CN	d93daa61acacfe90
G4	C(C(CC(CN)(CN)O)=O)=O	C(=O)C(=O)C[C@](CN([H])[H])(CN)O	5d30a1b78b8faf58
G4	C(CN)(C(CO)CO)=O	C(=O)(CN)[C@H](CO[H])CO	16d69721b96bddd
G4	C(CO)(CC(CN)(CN)O)=O	C(=O)(C[C@@](CN([H])[H])(CN)O)CO	f8f14c4b07fa596f
G4	C(CC(CN)(CN)O)=O	C(=O)C[C@@](CN([H])[H])(CN)O	5ed2be0e256a35fc
G4	C(CO)(C(C(CO)=O)N)=O	C(=O)(CO[H])[C@H](C(=O)CO)N	80d6eb93dcd08fe7
G4	C(CNCC(CN)=O)(CO)=O	C(=O)(CN([H])[H])CNCC(=O)CO	c908917571a8e8c1
G4	C(C)(C(CO)(CO)N)=O	C(=O)(C)[C@](CO[H])(CO)N	bb87d784a2090912
G4	C1(CNCC(C1(CO)O)=O)=O	C1(=O)CNCC(=O)C1(CO)O[H]	5577ec4996b108d6
G4	C(C(CO)=O)(CNCCO)=O	C(=O)(C(=O)CNCCO)CO[H]	45f83184d1a4afac
G4	C(CNCC(C(CO)=O)=O)(O)=O	C(=O)(C(=O)CO)CNCC(=O)O[H]	45a0e84c5321754a
G4	C(C(CNCCO)=O)(CN)=O	C(=O)(C(=O)CNCCO)CN([H])[H]	6da3804c0493f0f8
G4	C(CNCC(C(CN)=O)=O)(O)=O	C(=O)(C(=O)CNCC(=O)O[H])CN	2ef5870fd7fc0b0d
