Generation	Smiles	Inchi
G1	C(C(C(CO)O)O)=O	YTBSYETUWUMLBZ
G1	C(C(CC(C(CO)O)O)=O)=O	ZGCHLOWZNKRZSN
G1	C(CC(C(C(CO)O)O)=O)=O	RXVDSZVTHMJWNV
G1	C(C(C(CC(CO)O)=O)O)=O	QBHBJCPWTMMDIG
G1	C(CC(C=O)O)(C(CO)O)=O	LVYQXQPAYHNLQF
G1	C(C(C(C=O)O)O)(CCO)=O	KTQQRSZBGCOSES
G1	C(C(C(CC(CO)=O)O)O)=O	ZNSXGNZNZVWMBM
G1	C(C(C(C(C(C)=O)O)O)O)=O	MKKWPESNDMZCAX
G1	C(CC(C(C(C=O)O)O)O)=O	DRFVLWXFACEMHK
G2	C1(C(C(C(C1CO)O)O)O)=O	LKUVPWZWJWOYKB
G2	C1(C(C(C(C(C1)O)O)O)O)=O	GZYCZKBRQBKGJW
G2	C(C1C(C(C(C1O)O)O)O)=O	FWWLBYLLLIZJAL
G2	C(CO)(C(CO)O)=O	UQPHVQVXLPRNCX
G2	C(CC(C(C(CO)O)=O)O)=O	ZJCIIXYSVSASQO
G2	C(C(CO)=O)(CC(CO)O)=O	OKVIFNQBEGMUGM
G2	C(C(C(CC(CO)O)O)=O)=O	LZWSFTUENIWOJY
G2	C(C(CO)O)(CC(CO)=O)=O	JVFNKFJEKRIBEO
G2	C(C(CC(C(CO)=O)O)O)=O	IIVQAABKLUTFMY
G2	C(CCO)(C(C(CO)=O)O)=O	RWEGJCQFZKJRNT
G2	C(C(C(C(CCO)O)=O)O)=O	KQLFTMYZWPHWPS
G2	C(CO)(C(CC(CO)=O)O)=O	QORDBZPIKABGJM
G2	C(C(C(CC(C=O)O)O)O)=O	ZAZMXMODCOTURY
G2	C(C)(C(C(C(CO)=O)O)O)=O	KFHNTUHHTDAEOF
G2	C(C(C(C=O)O)O)(C(C)O)=O	LLJOTQMGGPLNOO
G2	C(CC(C(C(CO)=O)O)O)=O	DPJVCISCLBZLDP
G2	C(C(C(CO)O)O)O	UNXHWFMMPAWVPI
G2	C(CO)(CC(C(CO)O)O)=O	OXFWZSUJNURRMW
G2	C(C(C(CO)O)O)(CCO)=O	MSERTCQRMJDWLM
G2	C(C(CO)O)(CC(CO)O)=O	ZFKOVTBOKTVFNN
G2	C(C)(C(C(C(CO)O)O)O)=O	IXDZFGATLNCIOI
G2	C(CC(C(C(CO)O)O)O)=O	VRYALKFFQXWPIH
G2	C(C(C(C(CCO)O)O)O)=O	QITFYRWXWLBOON
G2	C(C(C(CO)O)O)(O)=O	JPIJQSOTBSSVTP
G2	C1(CC(C(C1(CO)O)O)O)=O	OOMLFVGHKQXLAI
G2	C(C1(C(C(CC1O)O)O)O)=O	KTMZJGYSSGDOQI
G2	C1(CC(C(C(CO)O)O1)O)=O	WIKTYYPIOVPRBF
G2	C1(COC(C(CO)O)C1O)=O	QMKUJGYJIQIANY
G2	C1(C(O)OC(C(CO)O)C1)=O	CTMYXQCRPPOKCU
G2	C1(C(C(CO)O)OC(C1)O)=O	GONGZWHRWCYDTA
G2	C(C)(C1C(C(C(O1)O)O)O)=O	VTYZWSTWPSLGHX
G2	C(CC1C(C(C(O)O1)O)O)=O	FSEGFALCGGGEPO
G2	C1(CC(C(C(CO)O1)O)O)=O	DBXNZGWNBVNDSO
G2	C1(COC(CO)C(C1O)O)=O	OCLOLUFOLJIQDC
G2	C1(C(O)OC(CO)C(C1)O)=O	UHPMJDGOAZMIID
G2	C1(C(C(CO)OC(C1)O)O)=O	PVKLTCFYNBLGMN
G2	C1(C(C(O)OC(CO)C1)O)=O	IOFQXNNENHCUQL
G2	C1(C(CO)OC(C(C1)O)O)=O	NWAQREDMTHFVFF
G2	C1(CC(C(C(CO1)O)O)O)=O	HOHFQGCXQDHZJL
G2	C1(COCC(C(C1O)O)O)=O	DBLLDNNAYQFXMT
G2	C1(C(O)OCC(C(C1)O)O)=O	FDUCWCLOCIPWJT
G2	C1(C(C(COC(C1)O)O)O)=O	PATGLOACTPYBAI
G2	C1(C(C(O)OCC(C1)O)O)=O	KGUNYMYUWFWAAR
G2	C1(C(COC(C(C1)O)O)O)=O	YYOBYHDYKCPMFE
G2	C1(C(C(C(O)OCC1)O)O)=O	KRKZFVZQYDKETD
G2	C1(COC(C(C(C1)O)O)O)=O	QQYKOAFGQUCGEA
G2	C1C(C(C(O)O1)O)O	FMAORJIQYMIRHF
G2	C(C1(CC(C(CO)O1)O)O)=O	XCOLHFJYVWHMEU
G2	C(CC1(C(C(CO1)O)O)O)=O	OJFNRRYMUBSATR
G2	C(C(C1(CC(CO1)O)O)O)=O	XSOCZPWENAPSDW
G2	C(C1C(CC(CO)(O1)O)O)=O	DNFROWGDJNTHSQ
G2	C(C1C(C(C(C)(O1)O)O)O)=O	DUPMVEXRXRIHES
G2	C(C(C1C(CC(O)O1)O)O)=O	DLPYFNDTPUTRMF
G2	C(C1(CC(C(CO1)O)O)O)=O	LBJWYRASHSNTEP
G2	C(C1C(C(CC(O1)O)O)O)=O	MRAMFUAQJIBLST
G3	C1(C(C(C(C1)O)O)O)=O	SLBWSONHNKBIMR
G3	C1(C(C(C(CC1O)O)O)O)=O	DDAFIEJZOHGAHJ
G3	C1(C(C(C(C1)O)(CO)O)O)=O	PMAODVYIDXXALG
G3	C1(C(CC(CO)(C1O)O)O)=O	ZMGSZYMAJOOYKF
G3	C1(C(C(C(CO)(C1)O)O)O)=O	UHQNRQMTZAQCBL
G3	C1(C(C(C(C)(C1O)O)O)O)=O	QCSROUGOTJEQJK
G3	C1(C(C(CC(C1O)O)O)O)=O	DNWNZFQXCIWUSQ
G3	C1C(C(C(C(C=1)=O)O)O)O	UDGPTYYVDNKAPG
G3	C(C(C)(C(C(CO)=O)O)O)=O	HCDKHGUYCIRFGC
G3	C(C(CC(CO)(CO)O)=O)=O	GBYNVYGBOCCFCK
G3	C(C(C(C(CO)=O)O)O)=O	XIIKTJZKWRJKSI
G3	C(CO)(C(C(CO)(C)O)O)=O	HFVQLJMYXMMRQM
G3	C(CO)(CC(CO)(CO)O)=O	SUYWWIOIVQEMNS
G3	C(C)(C(C(CO)(CO)O)O)=O	RBBKOZMUCUHIQM
G3	C(CO)(C(C(C)O)O)=O	MRKRITSFTIHTAQ
G3	C(CC(CO)(CO)O)=O	RLJYTLNHFAJLAE
G3	C(CC(C(CO)O)O)=O	ASJSAQIRZKANQN
G3	C(C(CC(C)(C(CO)O)O)=O)=O	BPDJZQNMULGAOC
G3	C(CC(C(C)=O)O)(C(CO)O)=O	PWSOHNXEIARPMG
G3	C(C(C)(CC(C(CO)O)=O)O)=O	GUIKSEWQILZROY
G3	C(C(CC(CO)(CCO)O)=O)=O	LWYMQNJMGMCCFO
G3	C(C(C(C(CCO)=O)O)O)(C)=O	CQANLFJYHMBDIH
G3	C(C(C)(C(C(CCO)=O)O)O)=O	JTSJCBSBAPKSHV
G3	C(CO)(C(CO)C(C(C)=O)O)=O	KNGCZEMXKNYSEB
G3	C(C(C)(C(C(CO)=O)CO)O)=O	VPYMORJLJXJQFS
G3	C(C(C(CO)=O)C(CO)(C)O)=O	LMMRWYGKCKPPMA
G3	C(CC(C(C(CO)(C)O)O)=O)=O	JSXSXEUMAGNLEY
