Generation	Smiles	Inchi	Energy	Molecular Formula	Monoisotopic Mass	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G1	C(C(CO)O)(O)=O	RBNPOMFGQQGHHO	26.2205	C3H6O4	106.02661	-1.7932	0.177	4	3	77.76	-0.2455
G2	C(C(CO)(C(C)O)O)(O)=O	WKRKESUWTIYINN	58.2522	C5H10O5	150.052825	-1.98	0.197	5	4	97.99	0.77366
G3	C(C(C(CC(O)=O)O)C(C)O)=O	YTCZJXDURLPWNQ	-14.8095	C7H12O5	176.068475	-1.4458	-0.609	5	3	94.83	-2.1314
G3	C(C(C=O)C(CC(C)O)O)(O)=O	IHSFWOVWMRACIR	-27.1468	C7H12O5	176.068475	-1.4458	-0.609	5	3	94.83	-5.0935
G3	C(C(C(C)O)C(C(CO)=O)O)=O	CPUSMWJJBISCJI	38.0979	C7H12O5	176.068475	-2.1492	-0.279	5	3	94.83	-2.0815
G3	C(C(C(C)O)C(C=O)(CO)O)=O	FDSHEHPBHWGLQY	38.2913	C7H12O5	176.068475	-2.309	-0.174	5	3	94.83	-3.6203
G3	C(C(C(C(CC(C)O)O)O)=O)=O	RLPBKLOISADAAA	75.5071	C7H12O5	176.068475	-2.0082	-0.497	5	3	94.83	-4.7044
G3	C(C(C(CO)C(C)O)=O)(O)=O	OTZRLOUETUNNPF	22.3209	C6H10O5	162.052825	-1.7191	-0.175	5	3	94.83	-8.0314
G3	C(C(CO)C(C(O)=O)(C)O)=O	BFZNNUQWZSQLIJ	7.12795	C6H10O5	162.052825	-1.8789	-0.07	5	3	94.83	-0.59762
G3	C(C(CC(C)O)(CC=O)O)(O)=O	VWVQXOPQCDMBFD	14.8823	C7H12O5	176.068475	-1.2835	-0.558	5	3	94.83	-5.1439
G3	C(C(C(C(C)O)C(C)O)=O)(O)=O	DKTZGQOJHCXEEP	355.98	C7H12O5	176.068475	-1.3598	-0.553	5	3	94.83	-8.0884
G3	C(C(C)(CC(CC=O)O)O)(O)=O	DMMYGKQJPXLURW	30.1277	C7H12O5	176.068475	-1.2835	-0.558	5	3	94.83	-0.6894
G3	C(C(C(C)O)C(C(O)=O)(C)O)=O	MGQBJYDCWJLMCR	14.2987	C7H12O5	176.068475	-1.5196	-0.448	5	3	94.83	-1.6703
G3	C(C(CC(CC(C)O)O)=O)(O)=O	CLJFVEVVBOUFBJ	22.6194	C7H12O5	176.068475	-1.1237	-0.663	5	3	94.83	-11.846
G3	C(C(C)(CCO)O)(O)=O	WPTOKOVIJAZOHE	15.9172	C5H10O4	134.05791	-0.9582	-0.202	4	3	77.76	-2.7942
G3	C(C(C)(CC(O)=O)O)(O)=O	XFTRTWQBIOMVPK	-9.57094	C5H8O5	148.037175	-1.3078	-0.184	5	3	94.83	1.0303
G3	C(C(CO)(CO)O)(O)=O	OJSKBWPAXWEHAA	57.205	C4H8O5	136.037175	-2.3393	0.575	5	4	97.99	-0.8415
G3	C(C(C(CC(C)O)O)O)(O)=O	RADXXSNGCSTPSV	43.7851	C6H12O5	164.068475	-1.5469	-0.342	5	4	97.99	-1.6633
G3	C(C(C(C)O)O)(O)=O	LOUGYXZSURQALL	33.8389	C4H8O4	120.04226	-1.4339	-0.201	4	3	77.76	0.18323
G3	C(C(C=C)(CO)O)(O)=O	SLQLBHNBWFDOTA	76.4361	C5H8O4	132.04226	-1.1437	-0.141	4	3	77.76	-3.7615
G3	CC(C(CO)O)O	YAXKTBLXMTYWDQ	44.459	C4H10O3	106.062995	-1.0843	-0.219	3	3	60.69	-1.7055
G3	C(C(C(C(C)O)O)O)(O)=O	CHUMGDDVFASTDV	50.4187	C5H10O5	150.052825	-2.0013	-0.072	5	4	97.99	1.04
G3	C(C(C)(C(CO)O)O)(O)=O	UXJDESUVPBNUTB	53.1278	C5H10O5	150.052825	-1.98	0.197	5	4	97.99	2.2564
