Generation	Smiles	Inchi	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness	No. Heteroatoms	ESOL	Heteroatoms/Carbons	VDW Volume	H/C	O/C
G1	C(C(CO)O)(O)=O	RBNPOMFGQQGHHO	106.026608672	C3H6O4	3	6	4	-1.7932	0.177	4	3	77.76	-0.2455	4	0.7352625114512632	1.3333333333333333	94.012	2.0	1.3333333333333333
G2	C(C(CO)(C(C)O)O)(O)=O	WKRKESUWTIYINN	150.05282342	C5H10O5	5	10	5	-1.98	0.197	5	4	97.99	0.77366	5	0.6320294052069546	1.0	133.94	2.0	1.0
G3	C(C(C(CC(O)=O)O)C(C)O)=O	YTCZJXDURLPWNQ	176.068473484	C7H12O5	7	12	5	-1.4458	-0.609	5	3	94.83	-2.1314	5	-0.1582884750407467	0.7142857142857143	164.8	1.7142857142857142	0.7142857142857143
G3	C(C(C=O)C(CC(C)O)O)(O)=O	IHSFWOVWMRACIR	176.068473484	C7H12O5	7	12	5	-1.4458	-0.609	5	3	94.83	-5.0935	5	-0.1582884750407463	0.7142857142857143	164.97	1.7142857142857142	0.7142857142857143
G3	C(C(C(C)O)C(C(CO)=O)O)=O	CPUSMWJJBISCJI	176.068473484	C7H12O5	7	12	5	-2.1492	-0.279	5	3	94.83	-2.0815	5	0.519082345632197	0.7142857142857143	167.71	1.7142857142857142	0.7142857142857143
G3	C(C(C(C)O)C(C=O)(CO)O)=O	FDSHEHPBHWGLQY	176.068473484	C7H12O5	7	12	5	-2.309	-0.174	5	3	94.83	-3.6203	5	0.519082345632197	0.7142857142857143	162.01	1.7142857142857142	0.7142857142857143
G3	C(C(C(C(CC(C)O)O)O)=O)=O	RLPBKLOISADAAA	176.068473484	C7H12O5	7	12	5	-2.0082	-0.497	5	3	94.83	-4.7044	5	0.4133938074236188	0.7142857142857143	166.14	1.7142857142857142	0.7142857142857143
G3	C(C(C(CO)C(C)O)=O)(O)=O	OTZRLOUETUNNPF	162.05282342	C6H10O5	6	10	5	-1.7191	-0.175	5	3	94.83	-8.0314	5	0.219173271600763	0.8333333333333334	146.01	1.6666666666666667	0.8333333333333334
G3	C(C(CO)C(C(O)=O)(C)O)=O	BFZNNUQWZSQLIJ	162.05282342	C6H10O5	6	10	5	-1.8789	-0.07	5	3	94.83	-0.59762	5	0.2191732716007634	0.8333333333333334	145.67	1.6666666666666667	0.8333333333333334
G3	C(C(CC(C)O)(CC=O)O)(O)=O	VWVQXOPQCDMBFD	176.068473484	C7H12O5	7	12	5	-1.2835	-0.558	5	3	94.83	-5.1439	5	-0.2651636915730704	0.7142857142857143	165.45	1.7142857142857142	0.7142857142857143
G3	C(C(C(C(C)O)C(C)O)=O)(O)=O	DKTZGQOJHCXEEP	176.068473484	C7H12O5	7	12	5	-1.3598	-0.553	5	3	94.83	-8.0884	5	-0.1617400206067043	0.7142857142857143	163.86	1.7142857142857142	0.7142857142857143
G3	C(C(C)(CC(CC=O)O)O)(O)=O	DMMYGKQJPXLURW	176.068473484	C7H12O5	7	12	5	-1.2835	-0.558	5	3	94.83	-0.6894	5	-0.2651636915730698	0.7142857142857143	165.12	1.7142857142857142	0.7142857142857143
G3	C(C(C(C)O)C(C(O)=O)(C)O)=O	MGQBJYDCWJLMCR	176.068473484	C7H12O5	7	12	5	-1.5196	-0.448	5	3	94.83	-1.6703	5	-0.1617400206067043	0.7142857142857143	161.78	1.7142857142857142	0.7142857142857143
G3	C(C(CC(CC(C)O)O)=O)(O)=O	CLJFVEVVBOUFBJ	176.068473484	C7H12O5	7	12	5	-1.1237	-0.663	5	3	94.83	-11.846	5	-0.2651636915730702	0.7142857142857143	165.19	1.7142857142857142	0.7142857142857143
G3	C(C(C)(CCO)O)(O)=O	WPTOKOVIJAZOHE	134.0579088	C5H10O4	5	10	4	-0.9582	-0.202	4	3	77.76	-2.7942	4	-0.0254858840452052	0.8	133.27	2.0	0.8
G3	C(C(C)(CC(O)=O)O)(O)=O	XFTRTWQBIOMVPK	148.037173356	C5H8O5	5	8	5	-1.3078	-0.184	5	3	94.83	1.0303	5	-0.1864243406392487	1.0	134.67	1.6	1.0
G3	C(C(CO)(CO)O)(O)=O	OJSKBWPAXWEHAA	136.037173356	C4H8O5	4	8	5	-2.3393	0.575	5	4	97.99	-0.8415	5	1.0129426974144224	1.25	117.66	2.0	1.25
G3	C(C(C(CC(C)O)O)O)(O)=O	RADXXSNGCSTPSV	164.068473484	C6H12O5	6	12	5	-1.5469	-0.342	5	4	97.99	-1.6633	5	0.2545676585654453	0.8333333333333334	151.4	2.0	0.8333333333333334
G3	C(C(C(C)O)O)(O)=O	LOUGYXZSURQALL	120.042258736	C4H8O4	4	8	4	-1.4339	-0.201	4	3	77.76	0.18323	4	0.3543492192437957	1.0	108.36	2.0	1.0
G3	C(C(C=C)(CO)O)(O)=O	SLQLBHNBWFDOTA	132.042258736	C5H8O4	5	8	4	-1.1437	-0.141	4	3	77.76	-3.7615	4	0.1539826729832718	0.8	126.12	1.6	0.8
G3	CC(C(CO)O)O	YAXKTBLXMTYWDQ	106.06299418	C4H10O3	4	10	3	-1.0843	-0.219	3	3	60.69	-1.7055	3	0.5152876758378387	0.75	104.93	2.5	0.75
G3	C(C(C(C(C)O)O)O)(O)=O	CHUMGDDVFASTDV	150.05282342	C5H10O5	5	10	5	-2.0013	-0.072	5	4	97.99	1.04	5	0.6332160835307001	1.0	133.72	2.0	1.0
G3	C(C(C)(C(CO)O)O)(O)=O	UXJDESUVPBNUTB	150.05282342	C5H10O5	5	10	5	-1.98	0.197	5	4	97.99	2.2564	5	0.6320294052069546	1.0	133.44	2.0	1.0
G4	C1(C(C(C(C1O)O)C(C)O)O)=O	BZNNDJKSFMVVFY	176.068473484	C7H12O5	7	12	5	-1.8528	-0.366	5	4	97.99	-0.76782	5	0.8433311508453468	0.7142857142857143	157.32	1.7142857142857142	0.7142857142857143
