Generation	Inchi	Smiles	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens
G1	YTBSYETUWUMLBZ	C(C(C(CO)O)O)=O	120.04225873600001	C4H8O4	4	8	4
G2	RNZJRDIKDNXKIJ	C(C(C(C(CO)O)O)N)=O	149.068807832	C5H11NO4	5	11	4
G2	PYMYPHUHKUWMLA	C(C(C(C(CO)O)O)O)=O	150.05282342	C5H10O5	5	10	5
G2	JIDVIMQFVJVPPX	C(C(C(CN)O)O)=O	119.058243148	C4H9NO3	4	9	3
G2	UQNPMNUVBRVOCQ	C(C(C(CO)O)N)=O	119.058243148	C4H9NO3	4	9	3
G2	UQPHVQVXLPRNCX	C(CO)(C(CO)O)=O	120.04225873600001	C4H8O4	4	8	4
G2	WZDHWMRAASHPBX	C(CN)(C(CO)O)=O	119.058243148	C4H9NO3	4	9	3
G2	PEDCQBHIVMGVHV	C(C(CO)O)O	92.047344116	C3H8O3	3	8	3
G2	UNXHWFMMPAWVPI	C(C(C(CO)O)O)O	122.0579088	C4H10O4	4	10	4
G2	RBNPOMFGQQGHHO	C(C(CO)O)(O)=O	106.02660867200001	C3H6O4	3	6	4
G2	JPIJQSOTBSSVTP	C(C(C(CO)O)O)(O)=O	136.037173356	C4H8O5	4	8	5
G2	MMZWUQKSIXGQLM	C(C(CO)(C(CN)O)O)=O	149.068807832	C5H11NO4	5	11	4
G2	OUEKYUKJSLEOIU	C(C(CO)(CO)O)=O	120.04225873600001	C4H8O4	4	8	4
G2	XUSNIIKGKKSRDZ	C(C(CO)(C(CO)O)O)=O	150.05282342	C5H10O5	5	10	5
G2	WITVYMTUWTVRND	C(C(C(CN)O)O)(O)=O	135.053157768	C4H9NO4	4	9	4
G2	KXMAOQJMLAAVJY	C(C(C(CO)N)O)=O	119.058243148	C4H9NO3	4	9	3
G2	FMAORJIQYMIRHF	C1C(C(C(O)O1)O)O	120.04225873600001	C4H8O4	4	8	4
G2	RNZJRDIKDNXKIJ	C(C(C(C(CO)O)O)N)=O	149.068807832	C5H11NO4	5	11	4
G2	FZHXIRIBWMQPQF	C(C(C(C(C(CO)O)O)O)N)=O	179.079372516	C6H13NO5	6	13	5
G2	QSBOQJCOHPCHRB	C(C(C(CN)O)N)=O	118.07422756	C4H10N2O2	4	10	2
G2	JIDVIMQFVJVPPX	C(C(C(CN)O)O)=O	119.058243148	C4H9NO3	4	9	3
G2	UQNPMNUVBRVOCQ	C(C(C(CO)O)N)=O	119.058243148	C4H9NO3	4	9	3
G2	UAOKRFJFLAUQNR	C(CNCC=O)(C(CO)O)=O	161.068807832	C6H11NO4	6	11	4
G2	WZDHWMRAASHPBX	C(CN)(C(CO)O)=O	119.058243148	C4H9NO3	4	9	3
G2	MMZWUQKSIXGQLM	C(C(CO)(C(CN)O)O)=O	149.068807832	C5H11NO4	5	11	4
G2	MGKXNCNVFOFGIA	C(C(C(CO)O)(C(CN)O)O)=O	179.079372516	C6H13NO5	6	13	5
G2	WITVYMTUWTVRND	C(C(C(CN)O)O)(O)=O	135.053157768	C4H9NO4	4	9	4
G2	GECVMGDGBBOZSR	C(C(C(CO)NCC=O)O)=O	161.068807832	C6H11NO4	6	11	4
G2	KXMAOQJMLAAVJY	C(C(C(CO)N)O)=O	119.058243148	C4H9NO3	4	9	3
G3	TYEPXMQCSLBUQN	C(C(C=O)C(C(CO)N)O)=O	161.068807832	C6H11NO4	6	11	4
G3	XGYVTXGBKAEKSN	C(C(CC(C(CO)N)O)=O)=O	161.068807832	C6H11NO4	6	11	4
G3	REQIOPDLGNSWSP	C(CC(C(CO)N)O)=O	133.073893212	C5H11NO3	5	11	3
G3	SKHQXBWWPZVTBL	C(CC(C(C(CN)O)O)O)=O	163.084457896	C6H13NO4	6	13	4
G3	WCLOIEVAMMWGKD	C(CC(C(C(CO)O)N)O)=O	163.084457896	C6H13NO4	6	13	4
G3	XIIKTJZKWRJKSI	C(C(C(C(CO)=O)O)O)=O	148.037173356	C5H8O5	5	8	5
G3	YRBZBJHRIGQRSX	C(C(C(C(CN)=O)O)O)=O	147.053157768	C5H9NO4	5	9	4
G3	QWVSJAOISGILAV	C(C(C(C(CO)=O)N)O)=O	147.053157768	C5H9NO4	5	9	4
G3	DPJVCISCLBZLDP	C(CC(C(C(CO)=O)O)O)=O	162.05282342	C6H10O5	6	10	5
G3	HWDQZMAZCTUFGO	C(C(C=O)C(CO)(CO)O)=O	162.05282342	C6H10O5	6	10	5
G3	HCDKHGUYCIRFGC	C(C(C)(C(C(CO)=O)O)O)=O	162.05282342	C6H10O5	6	10	5
G3	KFHNTUHHTDAEOF	C(C)(C(C(C(CO)=O)O)O)=O	162.05282342	C6H10O5	6	10	5
G3	GBYNVYGBOCCFCK	C(C(CC(CO)(CO)O)=O)=O	162.05282342	C6H10O5	6	10	5
G3	MRKRITSFTIHTAQ	C(CO)(C(C(C)O)O)=O	134.0579088	C5H10O4	5	10	4
G3	RLJYTLNHFAJLAE	C(CC(CO)(CO)O)=O	134.0579088	C5H10O4	5	10	4
G3	IWASYLACXSGJPG	C(C(C(C)O)O)(C(CO)O)=O	164.068473484	C6H12O5	6	12	5
G3	IDBTYBMNHBMAOU	C(CC(CO)(C(CO)O)O)=O	164.068473484	C6H12O5	6	12	5
G3	RWAJAMVSHPQTTE	C(CC(C(C(CN)=O)O)O)=O	161.068807832	C6H11NO4	6	11	4
G3	OEVVJWOUJIUREO	C(CC(C(C(CO)=O)N)O)=O	161.068807832	C6H11NO4	6	11	4
G3	ZFLFRQNBEVKBDV	C(C(C=O)C(CO)(CN)O)=O	161.068807832	C6H11NO4	6	11	4
G3	FHYSZSPWXQFGGH	C(C(C)(C(C(CN)=O)O)O)=O	161.068807832	C6H11NO4	6	11	4
G3	MSKONFCVYLNJPN	C(C(C)(C(C(CO)=O)N)O)=O	161.068807832	C6H11NO4	6	11	4
G3	SQOIZOFSPPKOGH	C(C)(C(C(C(CN)=O)O)O)=O	161.068807832	C6H11NO4	6	11	4
G3	QZRMXSVZXCRGAO	C(CO)(C(C(C(C)=O)O)N)=O	161.068807832	C6H11NO4	6	11	4
G3	OMPVMQXVAIVXEY	C(C(CC(CO)(CN)O)=O)=O	161.068807832	C6H11NO4	6	11	4
G3	PPFTYFJBDQDNLS	C(CN)(C(C(C)O)O)=O	133.073893212	C5H11NO3	5	11	3
G3	CXFDMCGOFSDJFK	C(CO)(C(C(C)O)N)=O	133.073893212	C5H11NO3	5	11	3
G3	BCDIGRSIKYETOL	C(CC(CO)(CN)O)=O	133.073893212	C5H11NO3	5	11	3
G3	VHAPTBUJKSFOAY	C(C(CO)O)(C(C(C)O)N)=O	163.084457896	C6H13NO4	6	13	4
G3	LBTUWKWHCNBHBP	C(CC(CN)(C(CO)O)O)=O	163.084457896	C6H13NO4	6	13	4
G3	HQMRFNOKWQUHQC	C(CC(C(CO)(CO)O)O)=O	164.068473484	C6H12O5	6	12	5
G3	VPCLNTDBLHAJNA	C(C(C=O)C(C(CN)O)O)=O	161.068807832	C6H11NO4	6	11	4
G3	KEZKOUJRKCLMLA	C(C(CC(C(CN)O)O)=O)=O	161.068807832	C6H11NO4	6	11	4
G3	GRAYIZYZTZDMHO	C(CC(C(CN)O)O)=O	133.073893212	C5H11NO3	5	11	3
G3	MYNDUSHUEWHKOA	C(CC(C(C(CO)N)O)O)=O	163.084457896	C6H13NO4	6	13	4
G3	AKTMIDGTSNJTSP	C(C(C=O)C(C(CO)O)O)=O	162.05282342	C6H10O5	6	10	5
G3	ZGCHLOWZNKRZSN	C(C(CC(C(CO)O)O)=O)=O	162.05282342	C6H10O5	6	10	5
G3	ASJSAQIRZKANQN	C(CC(C(CO)O)O)=O	134.0579088	C5H10O4	5	10	4
G3	VRYALKFFQXWPIH	C(CC(C(C(CO)O)O)O)=O	164.068473484	C6H12O5	6	12	5
G3	ZSXYDPAMQLXZSJ	C(C(C(CO)(CO)O)N)=O	149.068807832	C5H11NO4	5	11	4
G3	NSKJHRGIUMZEHF	C(CO)(C(C(CN)O)O)=O	149.068807832	C5H11NO4	5	11	4
G3	ODILWJGXAOWKPR	C(C(CCO)(C(C=O)N)O)=O	161.068807832	C6H11NO4	6	11	4
G3	RBDNNFSBBBQPHT	C(C(C(C(CCO)=O)O)N)=O	161.068807832	C6H11NO4	6	11	4
G3	KAYFMIAIBMIIQD	C(C(C(CO)C(CN)O)=O)=O	161.068807832	C6H11NO4	6	11	4
