Generation	Smiles	Inchi	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G1	C(C(C(CO)O)O)=O	YTBSYETUWUMLBZ	120.042258736	C4H8O4	4	8	4	-2.2233	0.073	4	3	77.76	-3.2748
G2	C(C(C(C(CO)O)O)O)=O	PYMYPHUHKUWMLA	150.05282342	C5H10O5	5	10	5	-2.7907	0.202	5	4	97.99	-2.8744
G2	C(CO)(C(CO)O)=O	UQPHVQVXLPRNCX	120.042258736	C4H8O4	4	8	4	-2.0422	0.237	4	3	77.76	1.2188
G2	C(C(CO)O)O	PEDCQBHIVMGVHV	92.047344116	C3H8O3	3	8	3	-1.4436	0.159	3	3	60.69	-3.0756
G2	C(C(C(CO)O)O)O	UNXHWFMMPAWVPI	122.0579088	C4H10O4	4	10	4	-2.011	0.288	4	4	80.92	-1.1346
G2	C(C(CO)O)(O)=O	RBNPOMFGQQGHHO	106.026608672	C3H6O4	3	6	4	-1.7932	0.177	4	3	77.76	-0.2455
G2	C(C(C(CO)O)O)(O)=O	JPIJQSOTBSSVTP	136.037173356	C4H8O5	4	8	5	-2.3606	0.306	5	4	97.99	0.99073
G2	C(C(CO)(CO)O)=O	OUEKYUKJSLEOIU	120.042258736	C4H8O4	4	8	4	-2.202	0.342	4	3	77.76	-4.7871
G2	C(C(CO)(C(CO)O)O)=O	XUSNIIKGKKSRDZ	150.05282342	C5H10O5	5	10	5	-2.7694	0.471	5	4	97.99	-2.7515
G2	C1C(C(C(O)O1)O)O	FMAORJIQYMIRHF	120.042258736	C4H8O4	4	8	4	-1.5087	-0.007	4	3	69.92	-3.7555
G3	C(C(C(C(CO)=O)O)O)=O	XIIKTJZKWRJKSI	148.037173356	C5H8O5	5	8	5	-2.8219	0.151	5	3	94.83	-1.1285
G3	C(CC(C(C(CO)=O)O)O)=O	DPJVCISCLBZLDP	162.05282342	C6H10O5	6	10	5	-2.3675	-0.119	5	3	94.83	-0.51952
G3	C(C(C=O)C(CO)(CO)O)=O	HWDQZMAZCTUFGO	162.05282342	C6H10O5	6	10	5	-2.6683	0.204	5	3	94.83	-4.2201
G3	C(C(C)(C(C(CO)=O)O)O)=O	HCDKHGUYCIRFGC	162.05282342	C6H10O5	6	10	5	-2.4413	0.042	5	3	94.83	-0.52167
G3	C(C)(C(C(C(CO)=O)O)O)=O	KFHNTUHHTDAEOF	162.05282342	C6H10O5	6	10	5	-2.2815	-0.063	5	3	94.83	1.7739
G3	C(C(CC(CO)(CO)O)=O)=O	GBYNVYGBOCCFCK	162.05282342	C6H10O5	6	10	5	-2.3462	0.15	5	3	94.83	-7.593
G3	C(CO)(C(C(C)O)O)=O	MRKRITSFTIHTAQ	134.0579088	C5H10O4	5	10	4	-1.6829	-0.141	4	3	77.76	0.76382
G3	C(CC(CO)(CO)O)=O	RLJYTLNHFAJLAE	134.0579088	C5H10O4	5	10	4	-1.7476	0.072	4	3	77.76	-7.1366
G3	C(C(C(C)O)O)(C(CO)O)=O	IWASYLACXSGJPG	164.068473484	C6H12O5	6	12	5	-2.2503	-0.012	5	4	97.99	-0.13089
G3	C(CC(CO)(C(CO)O)O)=O	IDBTYBMNHBMAOU	164.068473484	C6H12O5	6	12	5	-2.315	0.201	5	4	97.99	-5.2062
G3	C(CC(C(CO)(CO)O)O)=O	HQMRFNOKWQUHQC	164.068473484	C6H12O5	6	12	5	-2.315	0.201	5	4	97.99	-3.4615
G3	C(C(C=O)C(C(CO)O)O)=O	AKTMIDGTSNJTSP	162.05282342	C6H10O5	6	10	5	-2.6896	-0.065	5	3	94.83	-3.2748
G3	C(C(CC(C(CO)O)O)=O)=O	ZGCHLOWZNKRZSN	162.05282342	C6H10O5	6	10	5	-2.3675	-0.119	5	3	94.83	-2.6094
G3	C(CC(C(CO)O)O)=O	ASJSAQIRZKANQN	134.0579088	C5H10O4	5	10	4	-1.7689	-0.197	4	3	77.76	-2.4886
G3	C(CC(C(C(CO)O)O)O)=O	VRYALKFFQXWPIH	164.068473484	C6H12O5	6	12	5	-2.3363	-0.068	5	4	97.99	-2.1384
G3	C(C(CO)O)(C(CO)O)=O	WXYXERHRDKEISL	150.05282342	C5H10O5	5	10	5	-2.6096	0.366	5	4	97.99	0.075465
G3	C(C(C(CO)(CO)O)O)=O	AVGPOAXYRRIZMM	150.05282342	C5H10O5	5	10	5	-2.7694	0.471	5	4	97.99	-4.2059
G3	C(CO)(C(C(CO)O)O)=O	ZAQJHHRNXZUBTE	150.05282342	C5H10O5	5	10	5	-2.6096	0.366	5	4	97.99	1.085
G3	C(C(CCO)(C(C=O)O)O)=O	FAGPJBHKKUOQAR	162.05282342	C6H10O5	6	10	5	-2.5273	-0.014	5	3	94.83	-4.9991
G3	C(C(C(C=O)O)O)(CCO)=O	KTQQRSZBGCOSES	162.05282342	C6H10O5	6	10	5	-2.3675	-0.119	5	3	94.83	-3.6515
G3	C(C(C(CO)C(CO)O)=O)=O	JOEMRRCMXVASPX	162.05282342	C6H10O5	6	10	5	-2.5085	0.099	5	3	94.83	-2.373
G3	C(CC(C(C(C=O)O)O)O)=O	DRFVLWXFACEMHK	162.05282342	C6H10O5	6	10	5	-2.5486	-0.283	5	3	94.83	-2.4079
G3	C(C(C(CC(C=O)O)O)O)=O	ZAZMXMODCOTURY	162.05282342	C6H10O5	6	10	5	-2.5486	-0.283	5	3	94.83	-3.4916
G3	C(C(C(CO)O)C(C=O)O)=O	HIPAGLNATSXMFT	162.05282342	C6H10O5	6	10	5	-2.6896	-0.065	5	3	94.83	-3.2038
G3	C(C(C(CC(CO)=O)O)O)=O	ZNSXGNZNZVWMBM	162.05282342	C6H10O5	6	10	5	-2.3675	-0.119	5	3	94.83	-3.8216
G3	C(CC(CO)(C(C=O)O)O)=O	IEHDXMKHICIRFU	162.05282342	C6H10O5	6	10	5	-2.5273	-0.014	5	3	94.83	-5.3043
