Generation	Inchi	Smiles	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens
G1	YTBSYETUWUMLBZ	C(C(C(CO)O)O)=O	120.04225873600001	C4H8O4	4	8	4
G1	ZGCHLOWZNKRZSN	C(C(CC(C(CO)O)O)=O)=O	162.05282342	C6H10O5	6	10	5
G1	RXVDSZVTHMJWNV	C(CC(C(C(CO)O)O)=O)=O	162.05282342	C6H10O5	6	10	5
G1	QBHBJCPWTMMDIG	C(C(C(CC(CO)O)=O)O)=O	162.05282342	C6H10O5	6	10	5
G1	LVYQXQPAYHNLQF	C(CC(C=O)O)(C(CO)O)=O	162.05282342	C6H10O5	6	10	5
G1	KTQQRSZBGCOSES	C(C(C(C=O)O)O)(CCO)=O	162.05282342	C6H10O5	6	10	5
G1	ZNSXGNZNZVWMBM	C(C(C(CC(CO)=O)O)O)=O	162.05282342	C6H10O5	6	10	5
G1	MKKWPESNDMZCAX	C(C(C(C(C(C)=O)O)O)O)=O	162.05282342	C6H10O5	6	10	5
G1	DRFVLWXFACEMHK	C(CC(C(C(C=O)O)O)O)=O	162.05282342	C6H10O5	6	10	5
G1	XBBIACPUMILHFE	C(CN)(C(C(C(CO)O)O)O)=O	179.079372516	C6H13NO5	6	13	5
G1	FOEXHEVNPRRHDY	C(C(C(C(C(CO)O)O)N)O)=O	179.079372516	C6H13NO5	6	13	5
G2	LKUVPWZWJWOYKB	C1(C(C(C(C1CO)O)O)O)=O	162.05282342	C6H10O5	6	10	5
G2	GZYCZKBRQBKGJW	C1(C(C(C(C(C1)O)O)O)O)=O	162.05282342	C6H10O5	6	10	5
G2	FWWLBYLLLIZJAL	C(C1C(C(C(C1O)O)O)O)=O	162.05282342	C6H10O5	6	10	5
G2	UQPHVQVXLPRNCX	C(CO)(C(CO)O)=O	120.04225873600001	C4H8O4	4	8	4
G2	ZJCIIXYSVSASQO	C(CC(C(C(CO)O)=O)O)=O	162.05282342	C6H10O5	6	10	5
G2	OKVIFNQBEGMUGM	C(C(CO)=O)(CC(CO)O)=O	162.05282342	C6H10O5	6	10	5
G2	LZWSFTUENIWOJY	C(C(C(CC(CO)O)O)=O)=O	162.05282342	C6H10O5	6	10	5
G2	JVFNKFJEKRIBEO	C(C(CO)O)(CC(CO)=O)=O	162.05282342	C6H10O5	6	10	5
G2	IIVQAABKLUTFMY	C(C(CC(C(CO)=O)O)O)=O	162.05282342	C6H10O5	6	10	5
G2	RWEGJCQFZKJRNT	C(CCO)(C(C(CO)=O)O)=O	162.05282342	C6H10O5	6	10	5
G2	KQLFTMYZWPHWPS	C(C(C(C(CCO)O)=O)O)=O	162.05282342	C6H10O5	6	10	5
G2	QORDBZPIKABGJM	C(CO)(C(CC(CO)=O)O)=O	162.05282342	C6H10O5	6	10	5
G2	ZAZMXMODCOTURY	C(C(C(CC(C=O)O)O)O)=O	162.05282342	C6H10O5	6	10	5
G2	KFHNTUHHTDAEOF	C(C)(C(C(C(CO)=O)O)O)=O	162.05282342	C6H10O5	6	10	5
G2	LLJOTQMGGPLNOO	C(C(C(C=O)O)O)(C(C)O)=O	162.05282342	C6H10O5	6	10	5
G2	DPJVCISCLBZLDP	C(CC(C(C(CO)=O)O)O)=O	162.05282342	C6H10O5	6	10	5
G2	WZDHWMRAASHPBX	C(CN)(C(CO)O)=O	119.058243148	C4H9NO3	4	9	3
G2	QQXFGEUJKYXWND	C(CC(C(C(CO)O)=O)N)=O	161.068807832	C6H11NO4	6	11	4
G2	QXITZEVATLWTSU	C(C(CN)=O)(CC(CO)O)=O	161.068807832	C6H11NO4	6	11	4
G2	AKPTYEPQBXADSU	C(C(C(CC(CO)O)N)=O)=O	161.068807832	C6H11NO4	6	11	4
G2	NYUCQZKJTPTIPO	C(C(CO)O)(CC(CN)=O)=O	161.068807832	C6H11NO4	6	11	4
G2	KKYLFHXPUXAHIL	C(C(CC(C(CO)=O)N)O)=O	161.068807832	C6H11NO4	6	11	4
G2	TWFHIZFWGIYXLI	C(CCO)(C(C(CN)=O)O)=O	161.068807832	C6H11NO4	6	11	4
G2	CWMKSPUMOZECES	C(C(C(C(CCO)N)=O)O)=O	161.068807832	C6H11NO4	6	11	4
G2	FQEIXDZDGYVPNN	C(CN)(C(CC(CO)=O)O)=O	161.068807832	C6H11NO4	6	11	4
G2	VPDIKTZDHYWIDA	C(C(CC(C(C=O)O)O)N)=O	161.068807832	C6H11NO4	6	11	4
G2	SQOIZOFSPPKOGH	C(C)(C(C(C(CN)=O)O)O)=O	161.068807832	C6H11NO4	6	11	4
G2	OXDBNSYDHCFGAE	C(C(C(C=O)O)O)(C(C)N)=O	161.068807832	C6H11NO4	6	11	4
G2	RWAJAMVSHPQTTE	C(CC(C(C(CN)=O)O)O)=O	161.068807832	C6H11NO4	6	11	4
G2	UNXHWFMMPAWVPI	C(C(C(CO)O)O)O	122.0579088	C4H10O4	4	10	4
G2	OXFWZSUJNURRMW	C(CO)(CC(C(CO)O)O)=O	164.068473484	C6H12O5	6	12	5
