Generation	Inchi	Smiles
G1	YTBSYETUWUMLBZ	C(C(C(CO)O)O)=O
G1	ZGCHLOWZNKRZSN	C(C(CC(C(CO)O)O)=O)=O
G1	RXVDSZVTHMJWNV	C(CC(C(C(CO)O)O)=O)=O
G1	QBHBJCPWTMMDIG	C(C(C(CC(CO)O)=O)O)=O
G1	LVYQXQPAYHNLQF	C(CC(C=O)O)(C(CO)O)=O
G1	KTQQRSZBGCOSES	C(C(C(C=O)O)O)(CCO)=O
G1	ZNSXGNZNZVWMBM	C(C(C(CC(CO)=O)O)O)=O
G1	MKKWPESNDMZCAX	C(C(C(C(C(C)=O)O)O)O)=O
G1	DRFVLWXFACEMHK	C(CC(C(C(C=O)O)O)O)=O
G1	XBBIACPUMILHFE	C(CN)(C(C(C(CO)O)O)O)=O
G1	FOEXHEVNPRRHDY	C(C(C(C(C(CO)O)O)N)O)=O
G2	LKUVPWZWJWOYKB	C1(C(C(C(C1CO)O)O)O)=O
G2	GZYCZKBRQBKGJW	C1(C(C(C(C(C1)O)O)O)O)=O
G2	FWWLBYLLLIZJAL	C(C1C(C(C(C1O)O)O)O)=O
G2	UQPHVQVXLPRNCX	C(CO)(C(CO)O)=O
G2	ZJCIIXYSVSASQO	C(CC(C(C(CO)O)=O)O)=O
G2	OKVIFNQBEGMUGM	C(C(CO)=O)(CC(CO)O)=O
G2	LZWSFTUENIWOJY	C(C(C(CC(CO)O)O)=O)=O
G2	JVFNKFJEKRIBEO	C(C(CO)O)(CC(CO)=O)=O
G2	IIVQAABKLUTFMY	C(C(CC(C(CO)=O)O)O)=O
G2	RWEGJCQFZKJRNT	C(CCO)(C(C(CO)=O)O)=O
G2	KQLFTMYZWPHWPS	C(C(C(C(CCO)O)=O)O)=O
G2	QORDBZPIKABGJM	C(CO)(C(CC(CO)=O)O)=O
G2	ZAZMXMODCOTURY	C(C(C(CC(C=O)O)O)O)=O
G2	KFHNTUHHTDAEOF	C(C)(C(C(C(CO)=O)O)O)=O
G2	LLJOTQMGGPLNOO	C(C(C(C=O)O)O)(C(C)O)=O
