Generation	Smiles	Inchi
G1	C(CN)(C(C(C(CO)O)O)O)=O	XBBIACPUMILHFE
G1	C(C(C(C(C(CO)O)O)N)O)=O	FOEXHEVNPRRHDY
G2	C(C(C(CO)O)O)(C(CN)O)=O	BPJVQNJYFQFSLO
G2	C(CO)(C(C(C(CO)O)O)N)=O	WENKHRNUXJHGLX
G2	C(CN)(C(CO)O)=O	WZDHWMRAASHPBX
G2	C(C(C(C(C(CO)O)O)O)N)=O	FZHXIRIBWMQPQF
G2	C(C(C(CO)O)O)(C(CO)N)=O	GVVRLZJIZJWSMN
G2	C(C(C(CO)O)O)(C(CN)N)=O	QXIZHCOANVTGFW
G2	C(CC(C(C(CO)O)=O)N)=O	QQXFGEUJKYXWND
G2	C(C(CN)=O)(CC(CO)O)=O	QXITZEVATLWTSU
G2	C(C(C(CC(CO)O)N)=O)=O	AKPTYEPQBXADSU
G2	C(C(CO)O)(CC(CN)=O)=O	NYUCQZKJTPTIPO
G2	C(C(CC(C(CO)=O)N)O)=O	KKYLFHXPUXAHIL
G2	C(CCO)(C(C(CN)=O)O)=O	TWFHIZFWGIYXLI
G2	C(C(C(C(CCO)N)=O)O)=O	CWMKSPUMOZECES
G2	C(CN)(C(CC(CO)=O)O)=O	FQEIXDZDGYVPNN
G2	C(C(CC(C(C=O)O)O)N)=O	VPDIKTZDHYWIDA
G2	C(C)(C(C(C(CN)=O)O)O)=O	SQOIZOFSPPKOGH
G2	C(CC(C(C(CN)=O)O)O)=O	RWAJAMVSHPQTTE
G2	C(CN)(C(C(C(CO)O)O)N)=O	YHSJBTWEGHPLNL
G2	C(C(C(C(C(CO)O)N)O)O)O	UFVAKBOWVFHGBO
G2	C(CC(C(C(CO)O)N)=O)=O	LNCPBFQXTAGTEN
G2	C(C(C(CC(CO)O)=O)N)=O	AEIDOSPMECBBFD
G2	C(CC(C=O)O)(C(CO)N)=O	AHIYIUNMGXQPLE
G2	C(C(C(C=O)O)N)(CCO)=O	QWEHPYRKIXUATR
G2	C(C(C(C(C(C)=O)N)O)O)=O	IQUYTNXYQLFGFJ
G2	C(C(C(CC(CO)=O)N)O)=O	CCNHXUOYTNIIJI
G2	C(C(C(C(C(C)=O)O)N)O)=O	MEFFHISDEHXYIV
G2	C(CC(C(C(C=O)O)N)O)=O	XEBRCGAKPBATGG
G2	C(C(C(CO)N)O)=O	KXMAOQJMLAAVJY
G2	C(CO)(C(C(C(CO)O)N)O)=O	ISGLIVNHDPLUFG
G2	C(CN)(C(C(C(CO)O)N)O)=O	KTLZNQVCIYBNIW
G2	C(C(CC(C(CO)O)N)=O)=O	CFIPTNRUUCHLRU
G2	C(CC(C(C(CO)N)O)=O)=O	OGOOLELVTMLOGV
G2	C(C(C(CC(CO)N)=O)O)=O	CWKBVHWILPQTCU
G2	C(CC(C=O)N)(C(CO)O)=O	NFNWRWYCUZAEON
G2	C(CC(C=O)O)(C(CN)O)=O	FDTPCSIZIQTINL
G2	C(C(C(C(CCO)=O)O)N)=O	RBDNNFSBBBQPHT
G2	C(C(C(C=O)O)O)(CCN)=O	YFKHBAKJIYEAQE
G2	C(CC(C(C(C=O)O)O)N)=O	ZROWQRUORDMNAS
G2	C(C1C(C(C(CN)(O)O1)O)O)O	BCFSSHCZTMDDSA
G2	C(C(C1C(C(C(O)O1)O)N)O)O	KKEUNLQCVNSTTP
G2	C1C(C(C(C(CN)(O)O1)O)O)O	IXZISFNWUWKBOM
G2	C(C1C(C(C(C(O)O1)O)N)O)O	BQCCAEOLPYCBAE
G2	C1C(C(C(C(C(O)O1)O)N)O)O	PIXGAXWTOCUWQG
G3	C1(C(C(C(CC1N)O)O)O)=O	QNCJVABCUQWVEA
G3	C1(C(C(C(C1)O)(CN)O)O)=O	IVFIKRYAKGDUCF
G3	C1(C(CC(CO)(C1N)O)O)=O	RWTXOXXIKYSSBT
G3	C1(C(C(C(CN)(C1)O)O)O)=O	XOHJPJMWGWTVTN
G3	C1(C(C(C(C)(C1N)O)O)O)=O	HNNHXMONWFMOCV
G3	C1(C(C(CC(C1N)O)O)O)=O	WWIBEYKNDORSPC
G3	C1(C(C(C(C1CO)O)O)N)=O	BJSQKFGBCNITIV
G3	C1(C(C(C(C(C1)O)O)O)N)=O	WAKARUXQIXQJOH
G3	C1(C(C(C(C(C1)N)O)O)O)=O	FSUGCKMUTGKWIE
G3	C1(C(C(C(C(C1)O)O)N)O)=O	CLCXFWFNEQXJJE
G3	C(C1C(C(C(C1O)O)N)O)=O	LDPWTVIHCCDZGC
G3	C1(C(C(C(C1CO)O)N)O)=O	XVMNUQMYEWNJFV
G3	C1(C(C(C(C1CN)O)O)O)=O	OUBOXMCKEXJYDL
G3	C(C1C(C(C(C1N)O)O)O)=O	GMVRUGGDQSSAAL
G3	C(CO)(C(C(CO)(CN)O)O)=O	YJJIGISOUUDFAW
G3	C(CO)(C(C(CO)(CO)O)N)=O	RKOMMPNHRBOXSS
G3	C(CN)(C(C(CO)(CO)O)O)=O	CRISNEGXHCJDRX
G3	C(CO)(C(C(CN)O)O)=O	NSKJHRGIUMZEHF
G3	C(C(C(CO)(CO)O)N)=O	ZSXYDPAMQLXZSJ
G3	C(C(C(C(CO)O)O)N)=O	RNZJRDIKDNXKIJ
G3	C(CO)(C(C(CO)(CN)O)N)=O	SIQKLYFCQUAREL
G3	C(CN)(C(C(CO)(CN)O)O)=O	AGNNHWCBEUMHDN
G3	C(CO)(C(C(C(C)=O)O)N)=O	QZRMXSVZXCRGAO
G3	C(C(C)(C(C(CO)=O)N)O)=O	MSKONFCVYLNJPN
G3	C(C(C)(C(C(CN)=O)O)O)=O	FHYSZSPWXQFGGH
G3	C(C(CC(CO)(CN)O)=O)=O	OMPVMQXVAIVXEY
G3	C(C(C(C(CO)=O)N)O)=O	QWVSJAOISGILAV
G3	C(C(C(C(CN)=O)O)O)=O	YRBZBJHRIGQRSX
G3	C(CO)(C(CO)N)=O	MTPLMYSUTMBRKU
G3	C(C(C(C(C(CO)=O)N)O)O)=O	KNOUFBKOXYAYMR
G3	C(C(C(C(C(CN)=O)O)O)O)=O	MUKWJBJGFIVKQV
G3	C(CO)(C(C(CO)(C)O)N)=O	TXOGIXKACKDTHB
G3	C(CN)(C(C(CO)(C)O)O)=O	BLKWVMZNQNLKQR
G3	C(CO)(CC(CO)(CN)O)=O	WQWXZYUDASUZDR
G3	C(C)(C(C(CO)(CN)O)O)=O	VFWDSQGCHJHDQE
G3	C(CO)(C(C(C)O)N)=O	CXFDMCGOFSDJFK
G3	C(CN)(C(C(C)O)O)=O	PPFTYFJBDQDNLS
G3	C(CC(CO)(CN)O)=O	BCDIGRSIKYETOL
G3	C(CO)(C(C(CN)O)N)=O	UBYNXIGHTJSTMH
G3	C(CN)(C(C(CN)O)O)=O	VZZJVRSIHGEVPT
G3	C(C(C(CN)(CO)O)N)=O	ASMJPAWXLLYEGB
G3	C(C(C(CO)=O)C(CN)O)=O	DCWPTWSYZMWKIL
G3	C(CC(C(C(CN)O)O)=O)=O	VMCCARNNUOIRPT
G3	C(C(C(CC(CO)=O)O)N)=O	VNBYXOQOCGWZFJ
G3	C(CC(CO)(C(C=O)N)O)=O	WKIWQZKYQRMNFP
G3	C(C(C(CC(CN)O)=O)O)=O	ZMEILYOCLSHQDN
G3	C(C(C(C(C(C)=O)O)O)N)=O	URYGCMBOMHUVKQ
G3	C(C(C(C)(C(C=O)O)O)N)=O	RFTGWPCIEOLYOI
G3	C(C(C(C=O)O)N)(C(CO)O)=O	AJMCRODHPLSBIB
G3	C(C(CO)O)(CC(CN)O)=O	RYMHXKSOFRDMFW
G3	C(C(C(C)(C(CO)O)O)N)=O	PVZYWQDSXQSODU
G3	C(C(CO)O)(C(CO)N)=O	YHKGTFSEJPIKDQ
G3	C(C(C(CO)C(CN)O)=O)=O	KAYFMIAIBMIIQD
G3	C(C(CCO)(C(C=O)N)O)=O	ODILWJGXAOWKPR
G3	C(C(C(CN)O)O)(CCO)=O	PYOXBEQQVCJAJJ
G3	C(CO)(C(CO)C(CN)O)=O	LTEAIUVIGMVYOD
G3	C(C(C(CO)(CCO)O)N)=O	DNSFELWSFUFGJN
G3	C(C(C(C(C=O)O)O)N)=O	MZSCOGUTKINKMW
G3	C(CO)(CC(CN)O)=O	KPNBAUVGDQYIAI
G3	C(C)(C(C(CN)O)O)=O	PYGHGNLPRNLEKD
