Generation	Smiles	Inchi	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness	No. Heteroatoms	ESOL
G1	C(C(C(CO)O)O)=O	YTBSYETUWUMLBZ	120.042258736	C4H8O4	4	8	4	-2.2233	0.073	4	3	77.76	-3.2748	4	1.035171585482697
G1	C(C(CC(C(CO)O)O)=O)=O	ZGCHLOWZNKRZSN	162.05282342	C6H10O5	6	10	5	-2.3675	-0.119	5	3	94.83	-2.6094	5	0.7943070996310865
G1	C(CC(C(C(CO)O)O)=O)=O	RXVDSZVTHMJWNV	162.05282342	C6H10O5	6	10	5	-2.3675	-0.119	5	3	94.83	-1.8329	5	0.7943070996310865
G1	C(C(C(CC(CO)O)=O)O)=O	QBHBJCPWTMMDIG	162.05282342	C6H10O5	6	10	5	-2.3675	-0.119	5	3	94.83	-5.4242	5	0.7943070996310867
G1	C(CC(C=O)O)(C(CO)O)=O	LVYQXQPAYHNLQF	162.05282342	C6H10O5	6	10	5	-2.3675	-0.119	5	3	94.83	-1.9676	5	0.7943070996310865
G1	C(C(C(C=O)O)O)(CCO)=O	KTQQRSZBGCOSES	162.05282342	C6H10O5	6	10	5	-2.3675	-0.119	5	3	94.83	-3.6515	5	0.7943070996310865
G1	C(C(C(CC(CO)=O)O)O)=O	ZNSXGNZNZVWMBM	162.05282342	C6H10O5	6	10	5	-2.3675	-0.119	5	3	94.83	-3.8216	5	0.7943070996310865
G1	C(C(C(C(C(C)=O)O)O)O)=O	MKKWPESNDMZCAX	162.05282342	C6H10O5	6	10	5	-2.4626	-0.227	5	3	94.83	-1.4318	5	0.7920422323888738
G1	C(CC(C(C(C=O)O)O)O)=O	DRFVLWXFACEMHK	162.05282342	C6H10O5	6	10	5	-2.5486	-0.283	5	3	94.83	-2.4079	5	0.7954937779548318
G2	C1(C(C(C(C1CO)O)O)O)=O	LKUVPWZWJWOYKB	162.05282342	C6H10O5	6	10	5	-2.2121	0.012	5	4	97.99	0.4365	5	1.2242444430528143
G2	C1(C(C(C(C(C1)O)O)O)O)=O	GZYCZKBRQBKGJW	162.05282342	C6H10O5	6	10	5	-2.0648	-0.206	5	4	97.99	1.6461	5	1.1151043592782783
