Generation	Smiles	Inchi
G1	C(C(CO)O)(O)=O	RBNPOMFGQQGHHO
G2	C(C(CO)(C(C)O)O)(O)=O	WKRKESUWTIYINN
G3	C(C(C(CC(O)=O)O)C(C)O)=O	YTCZJXDURLPWNQ
G3	C(C(C=O)C(CC(C)O)O)(O)=O	IHSFWOVWMRACIR
G3	C(C(C(C)O)C(C(CO)=O)O)=O	CPUSMWJJBISCJI
G3	C(C(C(C)O)C(C=O)(CO)O)=O	FDSHEHPBHWGLQY
G3	C(C(C(C(CC(C)O)O)O)=O)=O	RLPBKLOISADAAA
G3	C(C(C(CO)C(C)O)=O)(O)=O	OTZRLOUETUNNPF
G3	C(C(CO)C(C(O)=O)(C)O)=O	BFZNNUQWZSQLIJ
G3	C(C(CC(C)O)(CC=O)O)(O)=O	VWVQXOPQCDMBFD
G3	C(C(C(C(C)O)C(C)O)=O)(O)=O	DKTZGQOJHCXEEP
G3	C(C(C)(CC(CC=O)O)O)(O)=O	DMMYGKQJPXLURW
G3	C(C(C(C)O)C(C(O)=O)(C)O)=O	MGQBJYDCWJLMCR
G3	C(C(CC(CC(C)O)O)=O)(O)=O	CLJFVEVVBOUFBJ
G3	C(C(C)(CCO)O)(O)=O	WPTOKOVIJAZOHE
G3	C(C(C)(CC(O)=O)O)(O)=O	XFTRTWQBIOMVPK
G3	C(C(CO)(CO)O)(O)=O	OJSKBWPAXWEHAA
G3	C(C(C(CC(C)O)O)O)(O)=O	RADXXSNGCSTPSV
G3	C(C(C(C)O)O)(O)=O	LOUGYXZSURQALL
G3	C(C(C=C)(CO)O)(O)=O	SLQLBHNBWFDOTA
G3	CC(C(CO)O)O	YAXKTBLXMTYWDQ
G3	C(C(C(C(C)O)O)O)(O)=O	CHUMGDDVFASTDV
G3	C(C(C)(C(CO)O)O)(O)=O	UXJDESUVPBNUTB
G4	C1(C(C(C(C1O)O)C(C)O)O)=O	BZNNDJKSFMVVFY
G4	C1(C(C(CC1O)O)O)=O	UYXNQXGILWQCMO
G4	C(C(CO)C(CCO)O)=O	LPRRSVCCPPMUTK
G4	C(C(CO)C(C(C=O)O)O)=O	LSXJNSZWMLDYSX
G4	C(C(CO)C(CO)(CO)O)=O	PQESEVRWNSLGOR
G4	C(CO)(C(C(CCO)O)O)=O	XHRNJZRZXZGBMY
G4	C(C(C(C(CO)=O)O)O)=O	XIIKTJZKWRJKSI
G4	C(CO)(C(C(C=CC)O)O)=O	RYCHFSRHCLUTFG
G4	C(CO)(C(C(CC=C)O)O)=O	JQKKLRZBJKKYKA
G4	C(C(C=C)C(CO)(CO)O)=O	HGCVVBPIYXZFHU
G4	C(C(C(C(C(O)=O)=O)O)O)=CC	SPTSHTNHKIYNET
G4	C(CC(C(C(C(O)=O)=O)O)O)=C	CGSUUBFQEYBUHN
G4	C(C(C=C)C(C(O)=O)(CO)O)=O	AWDGWTFUKQQJCS
G4	C(C(C=C)C(C(C(O)=O)O)O)=O	SJZRASXLILFQKA
G4	C(CC(C(CO)C(C)O)O)=O	IJELXDASVZBMMQ
G4	C(C(CO)C(CC=O)O)(O)=O	BYFVAUICPMKDDJ
G4	C(CC(C(C(CO)O)=O)O)=O	ZJCIIXYSVSASQO
G4	C(C(C(CO)O)(CC=O)O)=O	TXIVWMLJMZFCNJ
G4	C(CC(CC(CC=O)O)O)(O)=O	ZRWVYMYNRQBSNY
G4	C(C(C(CC=O)O)C(C)O)(O)=O	LYOZQSQTEXUSOK
G4	C(CC(CC(C(CO)=O)O)O)=O	SOGAVCGXUDYGJE
G4	C(CC(C(CO)(CC=O)O)O)=O	AKPFQQOYLJSYAD
G4	C(CC(C(C(C(C)O)O)=O)O)=O	CERFZCXKHSEBOU
G4	C(C(CO)(CC(CC=O)O)O)=O	JOSOCCWADUOCPZ
G4	C(C(C(C(C)O)O)(CC=O)O)=O	ZJCWVTVBEZYDBK
G4	C(C(CCO)(CC=O)O)(O)=O	FWTFAZWTXINKAL
G4	C(CO)(C(C(C)O)(CC=O)O)=O	QSDQDRYSJZZGFY
G4	C(C(CO)(CC=O)O)(C(C)O)=O	PUEUNWOFGBGIIR
G4	C(C(C(C)O)=O)(C(C(C)O)O)=O	MHXSFDSQMMPVDI
G4	C(CC(CO)(CO)O)=O	RLJYTLNHFAJLAE
G4	C(CO)(C(C(C)O)O)=O	MRKRITSFTIHTAQ
G4	C(C(CO)(CC=O)O)(O)=O	HJUVFMUQYBJUTI
G4	C(C(C(C(C)O)O)=O)(O)=O	AQECHFBKXAXPCW
G4	C(C(C)(C(CC=O)O)O)(O)=O	LNKOAMWTAGISQQ
G4	C(CC(C(C(O)=O)O)O)=O	WNQQMTOQQGYXCH
G4	C(C(CO)C(C)(CC=O)O)(O)=O	WXIPGANFELPGDO
G4	C(C(C(CC(C)O)=O)CO)(O)=O	VGWFDCYHAOVYIA
G4	C(C(C(CO)=O)O)(O)=O	SCSGVVIUUUPOOJ
G4	C(C(C(C)O)C(CCO)O)=O	PYSZIFWAJDKTNW
G4	C(C(CO)C(CC(C)O)O)=O	RVQGVBCPLPOHQI
G4	C(C(C(C(C=O)O)O)C(C)O)=O	NMHUEPOFCSNPNG
G4	C(C(C(C)O)C(CO)(CO)O)=O	RCAWASAKGJMHCF
G4	C(CO)(C(C(CC(C)O)O)O)=O	XMJUZRXXVAEMRE
G4	C(C(C=O)C(CCO)O)(O)=O	VAOSYMFYNXRHKS
G4	C(C(CO)C(CC(O)=O)O)=O	LTMWOWKRNHRFBI
G4	C(C(C(C(CCO)O)O)=O)=O	OUJNZICMUOLQGP
G4	C(C(CO)C(C(CO)=O)O)=O	LSXQZYBPAFVQAM
G4	C(C(CO)C(C=O)(CO)O)=O	SAWCGBGWLXQUGF
G4	C(C(C(CO)CO)=O)(O)=O	PLNCEPSXQNLXFQ
G4	C(C(C(C)O)=O)(C(CO)O)=O	YMBCRDCIWCIATR
G4	C(CO)(C(CO)O)=O	UQPHVQVXLPRNCX
G4	C(C(C(CO)O)=O)(O)=O	CODPBKJMVNZFKR
G4	C(C(C(CCO)=O)CO)(O)=O	APRMPJHSNOERBX
G4	C(C(CC(CCO)O)=O)(O)=O	GTELMBZFQBCNMT
G4	C(C(C(CO)O)O)(O)=O	JPIJQSOTBSSVTP
G4	C(C(CO)=O)(C(CC(C)O)O)=O	GFRDAUQJADCPRM
G4	C(C(C(C=O)O)O)(O)=O	JYPFTOPPKDHQEW
G4	C(C(C(C(CO)O)=O)C(C)O)=O	SWPTYYGQWIDUPR
G4	C(C(C(C(CC(C)O)O)=O)O)=O	DJLPCUJNBDDOFL
G4	C(CC(C(CO)C(C)O)O)(O)=O	GMMBVCPJEUEKSH
G4	C(C(CO)C(CC(C)O)O)(O)=O	LNDJCZGRHQMXIW
G4	C(CO)(C(C(CO)C(C)O)O)=O	NMRSASSMZGKUGF
G4	C(C(CO)(C(CO)C(C)O)O)=O	XLLXHLIMPQJKBO
G4	CC(C(CO)CO)O	BTAREPMBYAAWOX
G4	C(C(CO)CO)(O)=O	ULMZOZMSDIOZAF
G4	C(C(C)(C(CO)CO)O)(O)=O	WJVPGTCUOBMTRW
G4	CC(CC(CCO)O)O	WJSATVJYSKVUGV
G4	CC(C(CO)C(C)O)O	WPTUDAOQIXOMIQ
G4	C(CC(CCO)O)(O)=O	RGPXHQLKXPEHMD
G4	C(C(CO)C(C)O)(O)=O	YPKVFKMXWGCTPK
