Generation	Smiles	Inchi	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens
G1	C(C(CO)O)(O)=O	RBNPOMFGQQGHHO	106.02660867200001	C3H6O4	3	6	4
G2	C(C(CO)(C(C)O)O)(O)=O	WKRKESUWTIYINN	150.05282342	C5H10O5	5	10	5
G3	C(C(C(CC(O)=O)O)C(C)O)=O	YTCZJXDURLPWNQ	176.068473484	C7H12O5	7	12	5
G3	C(C(C=O)C(CC(C)O)O)(O)=O	IHSFWOVWMRACIR	176.068473484	C7H12O5	7	12	5
G3	C(C(C(C)O)C(C(CO)=O)O)=O	CPUSMWJJBISCJI	176.068473484	C7H12O5	7	12	5
G3	C(C(C(C)O)C(C=O)(CO)O)=O	FDSHEHPBHWGLQY	176.068473484	C7H12O5	7	12	5
G3	C(C(C(C(CC(C)O)O)O)=O)=O	RLPBKLOISADAAA	176.068473484	C7H12O5	7	12	5
G3	C(C(C(CO)C(C)O)=O)(O)=O	OTZRLOUETUNNPF	162.05282342	C6H10O5	6	10	5
G3	C(C(CO)C(C(O)=O)(C)O)=O	BFZNNUQWZSQLIJ	162.05282342	C6H10O5	6	10	5
G3	C(C(CC(C)O)(CC=O)O)(O)=O	VWVQXOPQCDMBFD	176.068473484	C7H12O5	7	12	5
G3	C(C(C(C(C)O)C(C)O)=O)(O)=O	DKTZGQOJHCXEEP	176.068473484	C7H12O5	7	12	5
G3	C(C(C)(CC(CC=O)O)O)(O)=O	DMMYGKQJPXLURW	176.068473484	C7H12O5	7	12	5
G3	C(C(C(C)O)C(C(O)=O)(C)O)=O	MGQBJYDCWJLMCR	176.068473484	C7H12O5	7	12	5
G3	C(C(CC(CC(C)O)O)=O)(O)=O	CLJFVEVVBOUFBJ	176.068473484	C7H12O5	7	12	5
G3	C(C(C)(CCO)O)(O)=O	WPTOKOVIJAZOHE	134.0579088	C5H10O4	5	10	4
G3	C(C(C)(CC(O)=O)O)(O)=O	XFTRTWQBIOMVPK	148.037173356	C5H8O5	5	8	5
G3	C(C(CO)(CO)O)(O)=O	OJSKBWPAXWEHAA	136.037173356	C4H8O5	4	8	5
G3	C(C(C(CC(C)O)O)O)(O)=O	RADXXSNGCSTPSV	164.068473484	C6H12O5	6	12	5
G3	C(C(C(C)O)O)(O)=O	LOUGYXZSURQALL	120.04225873600001	C4H8O4	4	8	4
G3	C(C(C=C)(CO)O)(O)=O	SLQLBHNBWFDOTA	132.042258736	C5H8O4	5	8	4
G3	CC(C(CO)O)O	YAXKTBLXMTYWDQ	106.06299418	C4H10O3	4	10	3
G3	C(C(C(C(C)O)O)O)(O)=O	CHUMGDDVFASTDV	150.05282342	C5H10O5	5	10	5
G3	C(C(C)(C(CO)O)O)(O)=O	UXJDESUVPBNUTB	150.05282342	C5H10O5	5	10	5
G4	C1(C(C(C(C1O)O)C(C)O)O)=O	BZNNDJKSFMVVFY	176.068473484	C7H12O5	7	12	5
G4	C1(C(C(CC1O)O)O)=O	UYXNQXGILWQCMO	132.042258736	C5H8O4	5	8	4
G4	C(C(CO)C(CCO)O)=O	LPRRSVCCPPMUTK	148.073558864	C6H12O4	6	12	4
G4	C(C(CO)C(C(C=O)O)O)=O	LSXJNSZWMLDYSX	162.05282342	C6H10O5	6	10	5
G4	C(C(CO)C(CO)(CO)O)=O	PQESEVRWNSLGOR	164.068473484	C6H12O5	6	12	5
G4	C(CO)(C(C(CCO)O)O)=O	XHRNJZRZXZGBMY	164.068473484	C6H12O5	6	12	5
G4	C(C(C(C(CO)=O)O)O)=O	XIIKTJZKWRJKSI	148.037173356	C5H8O5	5	8	5
G4	C(CO)(C(C(C=CC)O)O)=O	RYCHFSRHCLUTFG	160.073558864	C7H12O4	7	12	4
G4	C(CO)(C(C(CC=C)O)O)=O	JQKKLRZBJKKYKA	160.073558864	C7H12O4	7	12	4
G4	C(C(C=C)C(CO)(CO)O)=O	HGCVVBPIYXZFHU	160.073558864	C7H12O4	7	12	4
G4	C(C(C(C(C(O)=O)=O)O)O)=CC	SPTSHTNHKIYNET	174.05282342	C7H10O5	7	10	5
G4	C(CC(C(C(C(O)=O)=O)O)O)=C	CGSUUBFQEYBUHN	174.05282342	C7H10O5	7	10	5
G4	C(C(C=C)C(C(O)=O)(CO)O)=O	AWDGWTFUKQQJCS	174.05282342	C7H10O5	7	10	5
G4	C(C(C=C)C(C(C(O)=O)O)O)=O	SJZRASXLILFQKA	174.05282342	C7H10O5	7	10	5
G4	C(CC(C(CO)C(C)O)O)=O	IJELXDASVZBMMQ	162.089208928	C7H14O4	7	14	4
G4	C(C(CO)C(CC=O)O)(O)=O	BYFVAUICPMKDDJ	162.05282342	C6H10O5	6	10	5
G4	C(CC(C(C(CO)O)=O)O)=O	ZJCIIXYSVSASQO	162.05282342	C6H10O5	6	10	5
G4	C(C(C(CO)O)(CC=O)O)=O	TXIVWMLJMZFCNJ	162.05282342	C6H10O5	6	10	5
G4	C(CC(CC(CC=O)O)O)(O)=O	ZRWVYMYNRQBSNY	176.068473484	C7H12O5	7	12	5
G4	C(C(C(CC=O)O)C(C)O)(O)=O	LYOZQSQTEXUSOK	176.068473484	C7H12O5	7	12	5
G4	C(CC(CC(C(CO)=O)O)O)=O	SOGAVCGXUDYGJE	176.068473484	C7H12O5	7	12	5
G4	C(CC(C(CO)(CC=O)O)O)=O	AKPFQQOYLJSYAD	176.068473484	C7H12O5	7	12	5
G4	C(CC(C(C(C(C)O)O)=O)O)=O	CERFZCXKHSEBOU	176.068473484	C7H12O5	7	12	5
G4	C(C(CO)(CC(CC=O)O)O)=O	JOSOCCWADUOCPZ	176.068473484	C7H12O5	7	12	5
G4	C(C(C(C(C)O)O)(CC=O)O)=O	ZJCWVTVBEZYDBK	176.068473484	C7H12O5	7	12	5
G4	C(C(CCO)(CC=O)O)(O)=O	FWTFAZWTXINKAL	162.05282342	C6H10O5	6	10	5
G4	C(CO)(C(C(C)O)(CC=O)O)=O	QSDQDRYSJZZGFY	176.068473484	C7H12O5	7	12	5
