Generation	Test Smiles	Library Smiles	Canonical Code
G3	C(CNCC(CN)=O)(CO)=O	C(=O)(CN([H])[H])CNCC(=O)CO	c908917571a8e8c1
G3	C(CNCCO)(CN)=O	C(=O)(CN([H])[H])CNCCO	18cfbd955ff12aad
G3	C(CNCC(CN)=O)(O)=O	C(=O)(CN([H])[H])CNCC(=O)O	69863c9f803632c6
G3	C(CO)(CNCC(CO)=O)=O	C(=O)(CO[H])CNCC(=O)CO	6664d6afe5949688
G3	C(CO)(CNCCO)=O	C(=O)(CO[H])CNCCO	2877d9f7b06778e4
G3	C(CNCC(CO)=O)(O)=O	C(=O)(CNCC(=O)O[H])CO	c5c36e003d5345b
G3	C(C(CO)N)O	C([C@@H](CO)N)O[H]	3fb577b857cc0830
G3	C(C(CO)(CO)N)=O	C(=O)[C@@](CO[H])(CO)N	45ee45b47d11879
G3	C(CN)(C(CO)(CO)O)=O	C(=O)(CN)[C@@](CO[H])(CO)O	7996bac4feaaf65b
G3	C(CO)(CNCCN)=O	C(=O)(CO[H])CNCCN	cbeb5bc807d51e0a
G3	C(C(CO)(CN)O)O	C([C@](CN)(CO)O)O[H]	8f105d853b99c3ed
G3	C(C(CN)O)N	C([C@@H](CN)O)N([H])[H]	62608c108e0f0cb7
G4	C(CO)(CC(CN)(CN)O)=O	C(=O)(C[C@@](CN([H])[H])(CN)O)CO	f8f14c4b07fa596f
G4	C(C(CC(CN)(CN)O)=O)(O)=O	C(=O)(C(=O)O)C[C@](CN([H])[H])(CN)O	6886cd6bb1076a55
G4	C(CN)(CC(CN)(CN)O)=O	C(=O)(C[C@@](CN([H])[H])(CN)O)CN	914cebd4b0ce287f
G4	C(C(C(O)=O)C(CN)=O)(O)=O	C(=O)(CN)[C@H](C(=O)O[H])C(=O)O	b2d2834eddd05dc8
G4	C(CN)(CC(CO)(CO)O)=O	C(=O)(C[C@@](CO[H])(CO)O)CN	d93daa61acacfe90
G4	C(C(C=O)C(CN)(CN)O)=O	C(=O)C(C=O)[C@@](CN([H])[H])(CN)O	49ec96ee13d211fe
G4	C(C(CC(CN)(CN)O)=O)=O	C(=O)C(=O)C[C@](CN([H])[H])(CN)O	5d30a1b78b8faf58
G4	C(CC(CN)(CN)O)=O	C(=O)C[C@@](CN([H])[H])(CN)O	5ed2be0e256a35fc
G4	C(CN)(C(CO)CO)=O	C(=O)(CN)[C@H](CO[H])CO	16d69721b96bddd
