Generation	Test Smiles	Library Smiles	Canonical Code
G3	C(C(CO)(CO)O)(O)=O	C(=O)(C(CO)(CO)O)O[H]	bea2ea46bdd9b304
G4	C(CC(CO)(CO)O)=O	C(=O)CC(CO)(CO)O[H]	82f4575d431795ec
G4	C(C(C(CO)CO)=O)(O)=O	C(=O)(C(=O)O)[C@@H](CO[H])CO	d854ed1903e8bd05
G4	C(C(CO)CO)(O)=O	C(=O)(C(CO)CO)O[H]	f46b27cd445be132
G4	C(C(C(O)=O)CO)(O)=O	C(=O)(C(C(=O)O)CO[H])O	e58f1bdd2c7feea9
G4	C(CC(CC(O)=O)O)(O)=O	C(=O)(CC(CC(=O)O)O[H])O	2fded14cb9eca8c
G4	C(C(C(O)=O)(C)O)(O)=O	C(=O)(C(C(=O)O)(C)O[H])O	c61a8224f7a3298b
G4	C(C(C=O)(CO)CO)(O)=O	C(=O)C(C(=O)O[H])(CO)CO	f7d3daf1af3001c2
G4	C(C(C(CO)(CO)O)=O)=O	C(=O)C(=O)C(CO)(CO)O[H]	806095c1c69ccd8b
G4	C(C(C(C)=O)(CO)CO)(O)=O	C(=O)(C)C(C(=O)O[H])(CO)CO	ac5a80a3cfbc54e6
G4	C(C(CO)O)O	C(C(CO)O[H])O	d488e3e9725e844f
G5	C(C(CC(CO)(CO)O)=O)=O	C(=O)C(=O)CC(CO)(CO)O[H]	9b1cef6e29f94a84
G5	C(CC(CO)(CO)O)(CCO)=O	C(=O)(CCO)CC(CO)(CO)O[H]	f8eee173432931ae
G5	C(CO)(CC(CO)(CO)O)=O	C(=O)(CC(CO)(CO)O)CO[H]	3a11b76ffbb77d1b
G5	C(C(C)=O)(C(CO)(CO)O)=O	C(=O)(C(=O)C(CO)(CO)O[H])C	3840ec14e0ab7cdc
G5	C(C(CO)(CO)O)=O	C(=O)C(CO)(CO)O[H]	c044c9445e22124e
G5	C(CO)(C(C(CO)=O)O)=O	C(=O)(CO)C(C(=O)CO)O[H]	d72f4b4c54ceba5f
G5	C(C(CO)(C(CO)CO)O)O	C(C(CO)C(CO)(CO)O[H])O	cca7401b82841aef
G5	C(CC(CCO)O)O	C(CO)C(CCO)O[H]	3a52887a3b01c845
G5	C(C(CCO)(CCO)O)(O)=O	C(=O)(C(CCO)(CCO)O)O[H]	968974bc28f1dff9
G5	C(C(CO)(CCO)O)O	C(CO)C(CO)(CO)O[H]	8da7fd6fc34f3b72
G5	C(C(CO)CO)O	C(C(CO)CO)O[H]	dfc40dd8294398d1
G5	C=C(C(O)=O)C(CO)CO	C=C(C(=O)O)[C@@H](CO[H])CO	754e0ba08497bc23
G5	C(CC(CO)(CO)O)(O)=O	C(=O)(CC(CO)(CO)O)O[H]	2686b44269ce03d4
G5	C(C(CO)(CO)CO)(O)=O	C(=O)(C(CO)(CO)CO)O[H]	68df5937389cb5fe
G5	C(CO)(C(CO)(CO)O)=O	C(=O)(CO)C(CO)(CO)O[H]	cb96adb78c20f25d
G5	C(CO)(CO)=C(C(O)=O)C=O	C(=O)/C(=C(/CO[H])\CO)/C(=O)O	61df5e2da37e3d44
G5	C(CO)(CO)=C(C(O)=O)C	C(=C(CO)CO)(C(=O)O[H])C	71e269a5811f91cf
G5	C(CO)(CO)=CC(C(O)=O)=O	C(=C(CO)CO)C(=O)C(=O)O[H]	822407dab8809d23
G5	C(C(CCO)CCO)(O)=O	C(=O)(C(CCO)CCO)O[H]	c33b0749a5178955
G5	C(C(C)(CCO)CCO)(O)=O	C(=O)(C(C)(CCO)CCO)O[H]	b8665104ee8a0146
G5	C(C(CO)(CO)CO)=O	C(=O)C(CO[H])(CO)CO	a64d50a5bbb4fd81
G5	C=CC(C(C(O)=O)=O)(CO)CO	C=CC(C(=O)C(=O)O[H])(CO)CO	bb7d8eb61fd835c4
G5	C(C(C(C(O)=O)=C)(CO)CO)=O	C=C(C(=O)O)[C@@](C=O)(CO[H])CO	7db9e56f2a2c91da
G5	C(CC(C(CO)(CO)O)=O)=O	C(=O)CC(=O)C(CO)(CO)O[H]	ec8544f67559de23
G5	C(C(CO)(CO)CC=O)(O)=O	C(=O)CC(C(=O)O[H])(CO)CO	9da8fd42cccc8dba
G5	C(C(C(O)=O)(C=C)O)(O)=O	C=CC(C(=O)O)(C(=O)O)O[H]	3787c60f94c8e861
G5	C(C(CO)=O)(C(CO)CO)=O	C(=O)(C(=O)C(CO)CO)CO[H]	38483f9dcce7aa80
G5	C=C(C=O)C(CO)(CO)O	C=C(C=O)C(CO)(CO)O[H]	b1cb8b0a2d0ae0cc
G5	C(CO)(CO)=C(C=O)CO	C(=O)/C(=C(/CO[H])\CO)/CO	46f9ad99414d406c
G5	C(CCO)=C(C(O)=O)C(O)=O	C(=C(C(=O)O)C(=O)O)CCO[H]	da75cf8f7f9bc330
G5	C=C(C(O)=O)C(CO)(CO)O	C=C(C(=O)O)C(CO)(CO)O[H]	10041e9568ec53da
G5	C(CO)(CO)=C(C(O)=O)CO	C(=C(CO)CO)(C(=O)O)CO[H]	edffbe1613d7d497
G5	C=CC(CO)(CO)O	C=CC(CO)(CO)O[H]	23ea14c7d6be7135
G5	C(C(CO)(CO)O)O	C(C(CO)(CO)O)O[H]	39f048caeb3f8ee7
G5	C(C(CCC(O)=O)(CO)CO)=O	C(=O)C(CCC(=O)O[H])(CO)CO	81573c422af89a38
G5	C(C(CCC=O)(CO)CO)(O)=O	C(=O)CCC(C(=O)O[H])(CO)CO	4732665a26fb5af2
G5	C(C(CCC(CO)CO)=O)(O)=O	C(=O)(C(=O)O)CC[C@@H](CO[H])CO	a4eab1d4d7609f64
G5	C(CCC(CO)CO)(O)=O	C(=O)(CCC(CO)CO)O[H]	e38e2b6eeed5fe0d
G5	C(CCC(CO)(CO)O)=O	C(=O)CCC(CO)(CO)O[H]	587bc2e21e4c17ea
G5	C(CCC(CO)(CO)O)(O)=O	C(=O)(CCC(CO)(CO)O)O[H]	8d2842e282a47d3c
G6	C(CC(CCO)(CCO)O)=O	C(=O)CC(CCO)(CCO)O[H]	be9f82c739efb872
