Generation	Inchi	Smiles
G2	PEDCQBHIVMGVHV-UHFFFAOYSA-N	C(C(CO)O)O
G2	OUEKYUKJSLEOIU-UHFFFAOYSA-N	C(C(CO)(CO)O)=O
G3	HWDQZMAZCTUFGO-UHFFFAOYSA-N	C(C(C=O)C(CO)(CO)O)=O
G3	GBYNVYGBOCCFCK-UHFFFAOYSA-N	C(C(CC(CO)(CO)O)=O)=O
G3	RLJYTLNHFAJLAE-UHFFFAOYSA-N	C(CC(CO)(CO)O)=O
G3	KJJPLEZQSCZCKE-UHFFFAOYSA-N	C(C(CO)N)O
G3	HXYJZJOQRLOUPP-UHFFFAOYSA-N	C(C(CO)(CO)O)O
G3	OJSKBWPAXWEHAA-UHFFFAOYSA-N	C(C(CO)(CO)O)(O)=O
G3	YFWJYQZZYOHJPS-UHFFFAOYSA-N	C(C(CO)(CO)N)=O
G3	KNWXMEXZFWGIPP-UHFFFAOYSA-N	C(CO)(C(CO)(CO)O)=O
G3	SOHAKCGLYBHNOI-UHFFFAOYSA-N	C(CN)(C(CO)(CO)O)=O
G3	RGYJIMPXWMLBNK-UHFFFAOYSA-N	C(C(CO)(CN)O)O
G3	OATHWGIETBGFOU-UHFFFAOYSA-N	C(CNCC(CN)=O)(CO)=O
G3	IXPGLJQOFOUUJH-UHFFFAOYSA-N	C(CNCCO)(CN)=O
G3	FFFDQOZJOWKGJX-UHFFFAOYSA-N	C(CNCC(CN)=O)(O)=O
G3	BUFAGBTWFUCFMU-UHFFFAOYSA-N	C(CO)(CNCC(CO)=O)=O
G3	WMAWUYGJPNBUQG-UHFFFAOYSA-N	C(CO)(CNCCO)=O
G3	WKMZZYMHPNDCQD-UHFFFAOYSA-N	C(CNCC(CO)=O)(O)=O
G3	KJJPLEZQSCZCKE-UHFFFAOYSA-N	C(C(CO)N)O
G3	YFWJYQZZYOHJPS-UHFFFAOYSA-N	C(C(CO)(CO)N)=O
G3	SOHAKCGLYBHNOI-UHFFFAOYSA-N	C(CN)(C(CO)(CO)O)=O
G3	ZXVHJBKDZQNQNW-UHFFFAOYSA-N	C(CO)(CNCCN)=O
G3	RGYJIMPXWMLBNK-UHFFFAOYSA-N	C(C(CO)(CN)O)O
G3	UYBWIEGTWASWSR-UHFFFAOYSA-N	C(C(CN)O)N
G4	SUYWWIOIVQEMNS-UHFFFAOYSA-N	C(CO)(CC(CO)(CO)O)=O
G4	YUQDMPMTKDHFNM-UHFFFAOYSA-N	C(CN)(CC(CO)(CO)O)=O
G4	BXIDKVOKEHHOPM-UHFFFAOYSA-N	C(CO)(CC(CC(CO)=O)O)=O
G4	XZFDOIXMTIDWDO-UHFFFAOYSA-N	C(CO)(C(CO)CO)=O
G4	PLNCEPSXQNLXFQ-UHFFFAOYSA-N	C(C(C(CO)CO)=O)(O)=O
G4	TUZBBZXRKRCCHV-UHFFFAOYSA-N	C(CN)(C(CO)CO)=O
G4	DUEDDDYTTVKSHS-UHFFFAOYSA-N	C(C(C(CO)(CO)O)=O)=O
G4	WVGSTMCUPLPHKO-UHFFFAOYSA-N	C(CO)(C(C(CO)=O)O)=O
G4	KSJUAZMUTOCPNR-UHFFFAOYSA-N	C(CO)(C(C(CO)=O)N)=O
G4	WCIUPRYBQKMARP-UHFFFAOYSA-N	C(C(CO)(CCO)O)O
G4	QQQYJBCVIVEOLU-UHFFFAOYSA-N	C(C(CCO)(CCO)O)=O
G4	LENZDBCJOHFCAS-UHFFFAOYSA-N	C(C(CO)(CO)N)O
G4	UBXSGWANZATOLV-UHFFFAOYSA-N	C(C)(C(CO)(CO)O)=O
G4	CTTABNXYQFPQEN-UHFFFAOYSA-N	C(CCO)(C(CO)(CO)O)=O
G4	YCDYGMMOHMTTHN-UHFFFAOYSA-N	C(CC(CO)(CO)O)(O)=O
G4	ZRPDXDBGEYHEBJ-UHFFFAOYSA-N	C(C(CO)(CO)N)(O)=O
G4	SAJCPIWVRLJSDZ-UHFFFAOYSA-N	C(CO)(C(CO)(CO)N)=O
G4	GASJWWCJLLATJV-UHFFFAOYSA-N	C(C(C(CO)(CO)CO)=O)=O
G4	KAOCEWTZJVIHHP-UHFFFAOYSA-N	C(C(C(CO)=O)(CO)CO)=O
G4	CSKNGHWGXXZIEG-UHFFFAOYSA-N	C(CC(C(CO)(CO)O)=O)=O
G4	QRZQUAWHOKRZLJ-UHFFFAOYSA-N	C(C(C(CN)=O)(CO)CO)=O
G4	LNRVTEQEGXVMEF-UHFFFAOYSA-N	C(C(C(O)=O)(C)O)(O)=O
G4	ZBKZSRRGXJVTOH-UHFFFAOYSA-N	C(C(CO)=O)(C(CO)CO)=O
G4	UHLTZHHMZHKASI-UHFFFAOYSA-N	C(C(CN)=O)(C(CO)CO)=O
G4	IKPLJPCGABXILA-UHFFFAOYSA-N	C(CO)(C(C(CO)=O)CO)=O
G4	NYURUQPRMVWJQM-UHFFFAOYSA-N	C(CO)(CO)=C(C(CO)=O)N
G4	PNIGCVXVDFNVGI-UHFFFAOYSA-N	C(CO)(CO)=C(C(C=O)=O)CO
G4	LCRTUKCKNIJPHU-UHFFFAOYSA-N	C=C(C(C=O)=O)C(CO)(CO)O
G4	VWXLCCOTXNDIMK-UHFFFAOYSA-N	C(CO)(CO)=C(C=O)C(CO)=O
G4	UMAKYZYYOVNWPU-UHFFFAOYSA-N	C(C(CO)(CO)O)=C(C=O)C=O
G4	OFAHGTGUAHNSJB-UHFFFAOYSA-N	C(CO)(CO)=C(C=O)N
G4	CVGWKDMKSPCPJM-UHFFFAOYSA-N	C(CO)(CO)=C(C(O)=O)N
G4	DTCCTWLFXXLEKC-UHFFFAOYSA-N	C(N)=C(CO)CO
G4	GUAGQYKXTJFTJG-UHFFFAOYSA-N	C(C(CO)(CCN)O)O
G4	OHAGOTGIXZIQDZ-UHFFFAOYSA-N	C(C(CCC(CO)(CO)N)=O)=O
G4	AWDXYMQWZFSNJC-UHFFFAOYSA-N	C(CC(CO)(CO)N)=O
G4	PQSPWSBYHMIZOT-UHFFFAOYSA-N	C(C(CCC(CO)(CO)O)=O)=O
G4	FQRWTGKLDJSQOE-UHFFFAOYSA-N	C(CO)(CC(CN)(CN)O)=O
G4	ILINQMAOTITCFV-UHFFFAOYSA-N	C(C(CC(CN)(CN)O)=O)(O)=O
G4	IVFHGWWCMSWRPX-UHFFFAOYSA-N	C(CN)(CC(CN)(CN)O)=O
G4	CVQFMLJENGHGDP-UHFFFAOYSA-N	C(C(C(O)=O)C(CN)=O)(O)=O
G4	YUQDMPMTKDHFNM-UHFFFAOYSA-N	C(CN)(CC(CO)(CO)O)=O
G4	BOVYZACYMKXMLI-UHFFFAOYSA-N	C(C(C=O)C(CN)(CN)O)=O
G4	BIKUMGCSYSKDLJ-UHFFFAOYSA-N	C(C(CC(CN)(CN)O)=O)=O
G4	MQBQQRVYZGYNRE-UHFFFAOYSA-N	C(CC(CN)(CN)O)=O
G4	TUZBBZXRKRCCHV-UHFFFAOYSA-N	C(CN)(C(CO)CO)=O
G4	KSJUAZMUTOCPNR-UHFFFAOYSA-N	C(CO)(C(C(CO)=O)N)=O
G4	KEQGASIBECPIHE-UHFFFAOYSA-N	C1(CNCC(C1(CO)O)=O)=O
G4	GHMYJDJGGUXVCX-UHFFFAOYSA-N	C(CNC)(C(CO)(CO)O)=O
G4	XQBAXTXQHNFOPZ-UHFFFAOYSA-N	C(C(C=O)NC(CO)CO)=O
G4	ZFONMIMWPKCADE-UHFFFAOYSA-N	C(CNCCN)(CCO)=O
G4	WQJRZPUPWSRVOI-UHFFFAOYSA-N	C(CNCCO)(CNC)=O
G4	WIIUVDLZCKMXGD-UHFFFAOYSA-N	C(CNCCN)(CC(O)=O)=O
G4	AGZXKWPPJUZNNG-UHFFFAOYSA-N	C(CNC)(CNCC(O)=O)=O
G4	RGYYXBQHNWHEKE-UHFFFAOYSA-N	C(CNCCN)(CNC)=O
G4	KUGHCHAJOMTCTJ-UHFFFAOYSA-N	C=C(C(CNCCN)=O)N
G4	APBMWLDPXNUPIK-UHFFFAOYSA-N	C(CNCCN)(CCN)=O
G4	TXDZZZBQWUVXAO-UHFFFAOYSA-N	C(CN)(C(C(CN)=O)O)=O
G4	ZWSSCZDLKOZODK-UHFFFAOYSA-N	C(CNCC(CN)=O)(CN)=O
G4	VNDMBSKSAXCXPW-UHFFFAOYSA-N	C(CN)(C(C(CN)=O)(CO)O)=O
G4	GWOSOENLXWRQKS-UHFFFAOYSA-N	C(CNCCN)(CN)=O
G4	DQIRQGLXHDHYBJ-UHFFFAOYSA-N	C(CO)(CNC(CO)CO)=O
G4	DMDJTESCCNJRBN-UHFFFAOYSA-N	C(CNCCO)(CCO)=O
G4	ZYLQCUXZBJFNKZ-UHFFFAOYSA-N	C(CC(CNCCO)=O)(O)=O
G4	FCCAZMYLMGDKTM-UHFFFAOYSA-N	C=C(C(CNCCO)=O)N
G4	QHIUQQFSQOZXQG-UHFFFAOYSA-N	C(CNCCO)(CCN)=O
G4	AXHFQJMYZPYYBE-UHFFFAOYSA-N	C(CNCC(O)=O)(CCO)=O
G4	GDBZZSSJSMUALP-UHFFFAOYSA-N	C(CC(CNCC(O)=O)=O)(O)=O
G4	FTIGGUBBZYXJKP-UHFFFAOYSA-N	C(CNCC(C(N)=C)=O)(O)=O
G4	DOWJHHDFUXOLIJ-UHFFFAOYSA-N	C(CNCC(O)=O)(CCN)=O
G4	UFBYVAGQJOGITG-UHFFFAOYSA-N	C(CNC(CO)CO)(CN)=O
