Generation	Smiles	Inchi
G2	C(C(CO)O)O	PEDCQBHIVMGVHV-UHFFFAOYSA-N
G2	C(C(CO)(CO)O)=O	OUEKYUKJSLEOIU-UHFFFAOYSA-N
G3	C(C(C=O)C(CO)(CO)O)=O	HWDQZMAZCTUFGO-UHFFFAOYSA-N
G3	C(C(CC(CO)(CO)O)=O)=O	GBYNVYGBOCCFCK-UHFFFAOYSA-N
G3	C(CC(CO)(CO)O)=O	RLJYTLNHFAJLAE-UHFFFAOYSA-N
G3	C(C(CO)N)O	KJJPLEZQSCZCKE-UHFFFAOYSA-N
G3	C(C(CO)(CO)O)O	HXYJZJOQRLOUPP-UHFFFAOYSA-N
G3	C(C(CO)(CO)O)(O)=O	OJSKBWPAXWEHAA-UHFFFAOYSA-N
G3	C(C(CO)(CO)N)=O	YFWJYQZZYOHJPS-UHFFFAOYSA-N
G3	C(CO)(C(CO)(CO)O)=O	KNWXMEXZFWGIPP-UHFFFAOYSA-N
G3	C(CN)(C(CO)(CO)O)=O	SOHAKCGLYBHNOI-UHFFFAOYSA-N
G3	C(C(CO)(CN)O)O	RGYJIMPXWMLBNK-UHFFFAOYSA-N
G4	C(CO)(CC(CO)(CO)O)=O	SUYWWIOIVQEMNS-UHFFFAOYSA-N
G4	C(CN)(CC(CO)(CO)O)=O	YUQDMPMTKDHFNM-UHFFFAOYSA-N
G4	C(CO)(CC(CC(CO)=O)O)=O	BXIDKVOKEHHOPM-UHFFFAOYSA-N
G4	C(CO)(C(CO)CO)=O	XZFDOIXMTIDWDO-UHFFFAOYSA-N
G4	C(C(C(CO)CO)=O)(O)=O	PLNCEPSXQNLXFQ-UHFFFAOYSA-N
G4	C(CN)(C(CO)CO)=O	TUZBBZXRKRCCHV-UHFFFAOYSA-N
G4	C(C(C(CO)(CO)O)=O)=O	DUEDDDYTTVKSHS-UHFFFAOYSA-N
G4	C(CO)(C(C(CO)=O)O)=O	WVGSTMCUPLPHKO-UHFFFAOYSA-N
G4	C(CO)(C(C(CO)=O)N)=O	KSJUAZMUTOCPNR-UHFFFAOYSA-N
G4	C(C(CO)(CCO)O)O	WCIUPRYBQKMARP-UHFFFAOYSA-N
G4	C(C(CCO)(CCO)O)=O	QQQYJBCVIVEOLU-UHFFFAOYSA-N
G4	C(C(CO)(CO)N)O	LENZDBCJOHFCAS-UHFFFAOYSA-N
G4	C(C)(C(CO)(CO)O)=O	UBXSGWANZATOLV-UHFFFAOYSA-N
G4	C(CCO)(C(CO)(CO)O)=O	CTTABNXYQFPQEN-UHFFFAOYSA-N
G4	C(CC(CO)(CO)O)(O)=O	YCDYGMMOHMTTHN-UHFFFAOYSA-N
G4	C(C(CO)(CO)N)(O)=O	ZRPDXDBGEYHEBJ-UHFFFAOYSA-N
G4	C(CO)(C(CO)(CO)N)=O	SAJCPIWVRLJSDZ-UHFFFAOYSA-N
G4	C(C(C(CO)(CO)CO)=O)=O	GASJWWCJLLATJV-UHFFFAOYSA-N
G4	C(C(C(CO)=O)(CO)CO)=O	KAOCEWTZJVIHHP-UHFFFAOYSA-N
G4	C(CC(C(CO)(CO)O)=O)=O	CSKNGHWGXXZIEG-UHFFFAOYSA-N
G4	C(C(C(CN)=O)(CO)CO)=O	QRZQUAWHOKRZLJ-UHFFFAOYSA-N
G4	C(C(C(O)=O)(C)O)(O)=O	LNRVTEQEGXVMEF-UHFFFAOYSA-N
G4	C(C(CO)=O)(C(CO)CO)=O	ZBKZSRRGXJVTOH-UHFFFAOYSA-N
G4	C(C(CN)=O)(C(CO)CO)=O	UHLTZHHMZHKASI-UHFFFAOYSA-N
G4	C(CO)(C(C(CO)=O)CO)=O	IKPLJPCGABXILA-UHFFFAOYSA-N
G4	C(CO)(CO)=C(C(CO)=O)N	NYURUQPRMVWJQM-UHFFFAOYSA-N
G4	C(CO)(CO)=C(C(C=O)=O)CO	PNIGCVXVDFNVGI-UHFFFAOYSA-N
G4	C=C(C(C=O)=O)C(CO)(CO)O	LCRTUKCKNIJPHU-UHFFFAOYSA-N
G4	C(CO)(CO)=C(C=O)C(CO)=O	VWXLCCOTXNDIMK-UHFFFAOYSA-N
G4	C(C(CO)(CO)O)=C(C=O)C=O	UMAKYZYYOVNWPU-UHFFFAOYSA-N
G4	C(CO)(CO)=C(C=O)N	OFAHGTGUAHNSJB-UHFFFAOYSA-N
G4	C(CO)(CO)=C(C(O)=O)N	CVGWKDMKSPCPJM-UHFFFAOYSA-N
G4	C(N)=C(CO)CO	DTCCTWLFXXLEKC-UHFFFAOYSA-N
G4	C(C(CO)(CCN)O)O	GUAGQYKXTJFTJG-UHFFFAOYSA-N
G4	C(C(CCC(CO)(CO)N)=O)=O	OHAGOTGIXZIQDZ-UHFFFAOYSA-N
G4	C(CC(CO)(CO)N)=O	AWDXYMQWZFSNJC-UHFFFAOYSA-N
G4	C(C(CCC(CO)(CO)O)=O)=O	PQSPWSBYHMIZOT-UHFFFAOYSA-N
