Generation	Smiles	Inchi
G3	C(CNCC(CN)=O)(CO)=O	OATHWGIETBGFOU-UHFFFAOYSA-N
G3	C(CNCCO)(CN)=O	IXPGLJQOFOUUJH-UHFFFAOYSA-N
G3	C(CNCC(CN)=O)(O)=O	FFFDQOZJOWKGJX-UHFFFAOYSA-N
G3	C(CO)(CNCC(CO)=O)=O	BUFAGBTWFUCFMU-UHFFFAOYSA-N
G3	C(CO)(CNCCO)=O	WMAWUYGJPNBUQG-UHFFFAOYSA-N
G3	C(CNCC(CO)=O)(O)=O	WKMZZYMHPNDCQD-UHFFFAOYSA-N
G3	C(C(CO)N)O	KJJPLEZQSCZCKE-UHFFFAOYSA-N
G3	C(C(CO)(CO)N)=O	YFWJYQZZYOHJPS-UHFFFAOYSA-N
G3	C(CN)(C(CO)(CO)O)=O	SOHAKCGLYBHNOI-UHFFFAOYSA-N
G3	C(CO)(CNCCN)=O	ZXVHJBKDZQNQNW-UHFFFAOYSA-N
G3	C(C(CO)(CN)O)O	RGYJIMPXWMLBNK-UHFFFAOYSA-N
G3	C(C(CN)O)N	UYBWIEGTWASWSR-UHFFFAOYSA-N
G4	C(CO)(CC(CN)(CN)O)=O	FQRWTGKLDJSQOE-UHFFFAOYSA-N
G4	C(C(CC(CN)(CN)O)=O)(O)=O	ILINQMAOTITCFV-UHFFFAOYSA-N
G4	C(CN)(CC(CN)(CN)O)=O	IVFHGWWCMSWRPX-UHFFFAOYSA-N
G4	C(C(C(O)=O)C(CN)=O)(O)=O	CVQFMLJENGHGDP-UHFFFAOYSA-N
G4	C(CN)(CC(CO)(CO)O)=O	YUQDMPMTKDHFNM-UHFFFAOYSA-N
G4	C(C(C=O)C(CN)(CN)O)=O	BOVYZACYMKXMLI-UHFFFAOYSA-N
G4	C(C(CC(CN)(CN)O)=O)=O	BIKUMGCSYSKDLJ-UHFFFAOYSA-N
G4	C(CC(CN)(CN)O)=O	MQBQQRVYZGYNRE-UHFFFAOYSA-N
G4	C(CN)(C(CO)CO)=O	TUZBBZXRKRCCHV-UHFFFAOYSA-N
G4	C(CO)(C(C(CO)=O)N)=O	KSJUAZMUTOCPNR-UHFFFAOYSA-N
G4	C1(CNCC(C1(CO)O)=O)=O	KEQGASIBECPIHE-UHFFFAOYSA-N
G4	C(CNC)(C(CO)(CO)O)=O	GHMYJDJGGUXVCX-UHFFFAOYSA-N
G4	C(C(C=O)NC(CO)CO)=O	XQBAXTXQHNFOPZ-UHFFFAOYSA-N
G4	C(CNCCN)(CCO)=O	ZFONMIMWPKCADE-UHFFFAOYSA-N
G4	C(CNCCO)(CNC)=O	WQJRZPUPWSRVOI-UHFFFAOYSA-N
G4	C(CNCCN)(CC(O)=O)=O	WIIUVDLZCKMXGD-UHFFFAOYSA-N
G4	C(CNC)(CNCC(O)=O)=O	AGZXKWPPJUZNNG-UHFFFAOYSA-N
G4	C(CNCCN)(CNC)=O	RGYYXBQHNWHEKE-UHFFFAOYSA-N
G4	C=C(C(CNCCN)=O)N	KUGHCHAJOMTCTJ-UHFFFAOYSA-N
G4	C(CNCCN)(CCN)=O	APBMWLDPXNUPIK-UHFFFAOYSA-N
G4	C(CN)(C(C(CN)=O)O)=O	TXDZZZBQWUVXAO-UHFFFAOYSA-N
G4	C(CNCC(CN)=O)(CN)=O	ZWSSCZDLKOZODK-UHFFFAOYSA-N
G4	C(CN)(C(C(CN)=O)(CO)O)=O	VNDMBSKSAXCXPW-UHFFFAOYSA-N
G4	C(CNCCN)(CN)=O	GWOSOENLXWRQKS-UHFFFAOYSA-N
G4	C(CO)(CNC(CO)CO)=O	DQIRQGLXHDHYBJ-UHFFFAOYSA-N
G4	C(CNCCO)(CCO)=O	DMDJTESCCNJRBN-UHFFFAOYSA-N
G4	C(CC(CNCCO)=O)(O)=O	ZYLQCUXZBJFNKZ-UHFFFAOYSA-N
G4	C=C(C(CNCCO)=O)N	FCCAZMYLMGDKTM-UHFFFAOYSA-N
