Generation	Inchi	Smiles
G3	GBYNVYGBOCCFCK-UHFFFAOYSA-N	C(C(CC(CO)(CO)O)=O)=O
G3	SUYWWIOIVQEMNS-UHFFFAOYSA-N	C(CO)(CC(CO)(CO)O)=O
G3	RLJYTLNHFAJLAE-UHFFFAOYSA-N	C(CC(CO)(CO)O)=O
G3	BXIDKVOKEHHOPM-UHFFFAOYSA-N	C(CO)(CC(CC(CO)=O)O)=O
G3	XZFDOIXMTIDWDO-UHFFFAOYSA-N	C(CO)(C(CO)CO)=O
G3	PEDCQBHIVMGVHV-UHFFFAOYSA-N	C(C(CO)O)O
G3	OUEKYUKJSLEOIU-UHFFFAOYSA-N	C(C(CO)(CO)O)=O
G3	UBXSGWANZATOLV-UHFFFAOYSA-N	C(C)(C(CO)(CO)O)=O
G3	KNWXMEXZFWGIPP-UHFFFAOYSA-N	C(CO)(C(CO)(CO)O)=O
G3	SOHAKCGLYBHNOI-UHFFFAOYSA-N	C(CN)(C(CO)(CO)O)=O
G3	BUFAGBTWFUCFMU-UHFFFAOYSA-N	C(CO)(CNCC(CO)=O)=O
G3	SOHAKCGLYBHNOI-UHFFFAOYSA-N	C(CN)(C(CO)(CO)O)=O
G4	HWDQZMAZCTUFGO-UHFFFAOYSA-N	C(C(C=O)C(CO)(CO)O)=O
G4	YUQDMPMTKDHFNM-UHFFFAOYSA-N	C(CN)(CC(CO)(CO)O)=O
G4	HDOKWYQLJPEIOV-UHFFFAOYSA-N	C(C(C)=O)(CC(CO)(CO)O)=O
G4	HAJRMLGDMBOOTH-UHFFFAOYSA-N	C(CC(CC(CO)(CO)O)=O)=O
G4	IKPLJPCGABXILA-UHFFFAOYSA-N	C(CO)(C(C(CO)=O)CO)=O
G4	TUZBBZXRKRCCHV-UHFFFAOYSA-N	C(CN)(C(CO)CO)=O
G4	SOUWEJVDDMHVHZ-UHFFFAOYSA-N	C(C(CO)CO)(CC(CO)=O)=O
G4	CZXJSKZCQBIFEM-UHFFFAOYSA-N	C(C(CCO)=O)(C(CO)CO)=O
G4	GEXKJQRTOPMLHL-UHFFFAOYSA-N	C(CCO)(C(C(CCO)=O)O)=O
G4	PLNCEPSXQNLXFQ-UHFFFAOYSA-N	C(C(C(CO)CO)=O)(O)=O
G4	CTTABNXYQFPQEN-UHFFFAOYSA-N	C(CCO)(C(CO)(CO)O)=O
G4	BGNGXKCCCMYJBK-UHFFFAOYSA-N	C(C(CCO)(CCO)O)(O)=O
G4	DUEDDDYTTVKSHS-UHFFFAOYSA-N	C(C(C(CO)(CO)O)=O)=O
G4	WVGSTMCUPLPHKO-UHFFFAOYSA-N	C(CO)(C(C(CO)=O)O)=O
G4	KSJUAZMUTOCPNR-UHFFFAOYSA-N	C(CO)(C(C(CO)=O)N)=O
G4	IITRTOMJXOMVFG-UHFFFAOYSA-N	C(C)(C(CO)(CO)N)=O
G4	WCIUPRYBQKMARP-UHFFFAOYSA-N	C(C(CO)(CCO)O)O
G4	KJJPLEZQSCZCKE-UHFFFAOYSA-N	C(C(CO)N)O
G4	QQQYJBCVIVEOLU-UHFFFAOYSA-N	C(C(CCO)(CCO)O)=O
G4	JLQQVSKMDDAFPK-UHFFFAOYSA-N	C(C(CCO)(CCO)O)O
G4	BJFIBHHPKIVGJG-UHFFFAOYSA-N	C(COC(CO)CO)(CO)=O
G4	HXYJZJOQRLOUPP-UHFFFAOYSA-N	C(C(CO)(CO)O)O
G4	QZHMZVBDIASBOI-UHFFFAOYSA-N	C(C(CO)(CO)O)(CC(C)=O)=O
G4	QZESNSBYLPEPKX-UHFFFAOYSA-N	C(CCC=O)(C(CO)(CO)O)=O
G4	YCDYGMMOHMTTHN-UHFFFAOYSA-N	C(CC(CO)(CO)O)(O)=O
G4	OJSKBWPAXWEHAA-UHFFFAOYSA-N	C(C(CO)(CO)O)(O)=O
G4	SAJCPIWVRLJSDZ-UHFFFAOYSA-N	C(CO)(C(CO)(CO)N)=O
G4	KAOCEWTZJVIHHP-UHFFFAOYSA-N	C(C(C(CO)=O)(CO)CO)=O
