Generation	Smiles	Inchi
G3	C(CO)(CNCC(CO)=O)=O	BUFAGBTWFUCFMU-UHFFFAOYSA-N
G3	C(CN)(C(CO)(CO)O)=O	SOHAKCGLYBHNOI-UHFFFAOYSA-N
G4	C(C(C=O)C(CN)(CN)O)=O	BOVYZACYMKXMLI-UHFFFAOYSA-N
G4	C(C(CC(CN)(CN)O)=O)(O)=O	ILINQMAOTITCFV-UHFFFAOYSA-N
G4	C(CN)(CC(CN)(CN)O)=O	IVFHGWWCMSWRPX-UHFFFAOYSA-N
G4	C(CN)(CC(CO)(CO)O)=O	YUQDMPMTKDHFNM-UHFFFAOYSA-N
G4	C(C(CC(CN)(CN)O)=O)=O	BIKUMGCSYSKDLJ-UHFFFAOYSA-N
G4	C(CN)(C(CO)CO)=O	TUZBBZXRKRCCHV-UHFFFAOYSA-N
G4	C(CO)(CC(CN)(CN)O)=O	FQRWTGKLDJSQOE-UHFFFAOYSA-N
G4	C(CC(CN)(CN)O)=O	MQBQQRVYZGYNRE-UHFFFAOYSA-N
G4	C(CO)(C(C(CO)=O)N)=O	KSJUAZMUTOCPNR-UHFFFAOYSA-N
G4	C(CNCC(CN)=O)(CO)=O	OATHWGIETBGFOU-UHFFFAOYSA-N
G4	C(C)(C(CO)(CO)N)=O	IITRTOMJXOMVFG-UHFFFAOYSA-N
G4	C1(CNCC(C1(CO)O)=O)=O	KEQGASIBECPIHE-UHFFFAOYSA-N
G4	C(C(CO)=O)(CNCCO)=O	AIZJVUBKBFDLTJ-UHFFFAOYSA-N
G4	C(CNCC(C(CO)=O)=O)(O)=O	GHEJVLDIRJQPES-UHFFFAOYSA-N
G4	C(C(CNCCO)=O)(CN)=O	GGKOGYSMKJHQDL-UHFFFAOYSA-N
G4	C(CNCC(C(CN)=O)=O)(O)=O	SOMPMHUCNKPTQZ-UHFFFAOYSA-N
G4	C(CNCC(C(O)=O)=O)(CN)=O	AWXMXTRGJULXMP-UHFFFAOYSA-N
G4	C(CNCC(CN)=O)(CN)=O	ZWSSCZDLKOZODK-UHFFFAOYSA-N
G4	C(CNCCO)(CCO)=O	DMDJTESCCNJRBN-UHFFFAOYSA-N
G4	C(CNCC(O)=O)(CCO)=O	AXHFQJMYZPYYBE-UHFFFAOYSA-N
G4	C(C(CNCCO)=O)(O)=O	TUCXGJDGDPNYTK-UHFFFAOYSA-N
G4	C(CNCC(C(O)=O)=O)(O)=O	BQVBUOKWQLRMRS-UHFFFAOYSA-N
G4	C(CC(CNCCO)=O)(O)=O	ZYLQCUXZBJFNKZ-UHFFFAOYSA-N
G4	C(CC(CNCC(O)=O)=O)(O)=O	GDBZZSSJSMUALP-UHFFFAOYSA-N
G4	C(CNCCO)(CN)=O	IXPGLJQOFOUUJH-UHFFFAOYSA-N
G4	C(CNCC(CN)=O)(O)=O	FFFDQOZJOWKGJX-UHFFFAOYSA-N
G4	C=C(C(CNCCO)=O)N	FCCAZMYLMGDKTM-UHFFFAOYSA-N
G4	C(CNCC(C(N)=C)=O)(O)=O	FTIGGUBBZYXJKP-UHFFFAOYSA-N
G4	C(CN)(C(C(CN)=O)O)=O	TXDZZZBQWUVXAO-UHFFFAOYSA-N
G4	C(CN)(C(C(CN)=O)(CO)O)=O	VNDMBSKSAXCXPW-UHFFFAOYSA-N
G4	C(CO)(CNCCO)=O	WMAWUYGJPNBUQG-UHFFFAOYSA-N
G4	C(CNCC(CO)=O)(O)=O	WKMZZYMHPNDCQD-UHFFFAOYSA-N
G4	C(CO)(CNCC(C(O)=O)=O)=O	IQNLHOXYHAEYBN-UHFFFAOYSA-N
G4	C(C(CO)N)O	KJJPLEZQSCZCKE-UHFFFAOYSA-N
G4	C(CO)(CNC(CO)CO)=O	DQIRQGLXHDHYBJ-UHFFFAOYSA-N
G4	C(CNC(CO)CO)=O	PGWDSCVIBPONCE-UHFFFAOYSA-N
G4	C(CO)(CCNCCO)=O	HQTPVSKRJCEKMW-UHFFFAOYSA-N
G4	C(CNCCC(CO)=O)(O)=O	KJOAOJBEIQVCAW-UHFFFAOYSA-N
