Generation	Inchi	Smiles	Energy	Molecular Formula	Monoisotopic Mass	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G1	YTBSYETUWUMLBZ	C(C(C(CO)O)O)=O	53.0145	C4H8O4	120.04226	-2.2233	0.073	4	3	77.76	-3.2748
G2	RNZJRDIKDNXKIJ	C(C(C(C(CO)O)O)N)=O	87.6589	C5H11NO4	149.068809	-3.1885	0.126	5	4	103.78	-2.0669
G2	PYMYPHUHKUWMLA	C(C(C(C(CO)O)O)O)=O	79.1178	C5H10O5	150.052825	-2.7907	0.202	5	4	97.99	-2.8744
G2	JIDVIMQFVJVPPX	C(C(C(CN)O)O)=O	51.3108	C4H9NO3	119.058244	-2.6211	-0.003	4	3	83.55	-3.0054
G2	UQNPMNUVBRVOCQ	C(C(C(CO)O)N)=O	68.2186	C4H9NO3	119.058244	-2.6211	-0.003	4	3	83.55	-2.318
G2	UQPHVQVXLPRNCX	C(CO)(C(CO)O)=O	61.7703	C4H8O4	120.04226	-2.0422	0.237	4	3	77.76	1.2188
G2	WZDHWMRAASHPBX	C(CN)(C(CO)O)=O	72.9896	C4H9NO3	119.058244	-2.44	0.161	4	3	83.55	0.16273
G2	PEDCQBHIVMGVHV	C(C(CO)O)O	34.6111	C3H8O3	92.047345	-1.4436	0.159	3	3	60.69	-3.0756
G2	UNXHWFMMPAWVPI	C(C(C(CO)O)O)O	67.858	C4H10O4	122.05791	-2.011	0.288	4	4	80.92	-1.1346
G2	RBNPOMFGQQGHHO	C(C(CO)O)(O)=O	26.2205	C3H6O4	106.02661	-1.7932	0.177	4	3	77.76	-0.2455
G2	JPIJQSOTBSSVTP	C(C(C(CO)O)O)(O)=O	55.6728	C4H8O5	136.037175	-2.3606	0.306	5	4	97.99	0.99073
G2	MMZWUQKSIXGQLM	C(C(CO)(C(CN)O)O)=O	82.3655	C5H11NO4	149.068809	-3.1672	0.395	5	4	103.78	-2.6205
G2	OUEKYUKJSLEOIU	C(C(CO)(CO)O)=O	407.049	C4H8O4	120.04226	-2.202	0.342	4	3	77.76	-4.7871
G2	XUSNIIKGKKSRDZ	C(C(CO)(C(CO)O)O)=O	80.7766	C5H10O5	150.052825	-2.7694	0.471	5	4	97.99	-2.7515
G2	WITVYMTUWTVRND	C(C(C(CN)O)O)(O)=O	49.6353	C4H9NO4	135.053159	-4.4852	0.23	5	4	103.78	1.0647
G2	KXMAOQJMLAAVJY	C(C(C(CO)N)O)=O	60.4774	C4H9NO3	119.058244	-2.6211	-0.003	4	3	83.55	-5.6063
G2	FMAORJIQYMIRHF	C1C(C(C(O)O1)O)O	770.821	C4H8O4	120.04226	-1.5087	-0.007	4	3	69.92	-3.7555
G2	RNZJRDIKDNXKIJ	C(C(C(C(CO)O)O)N)=O	87.6589	C5H11NO4	149.068809	-3.1885	0.126	5	4	103.78	-2.0669
G2	FZHXIRIBWMQPQF	C(C(C(C(C(CO)O)O)O)N)=O	110.945	C6H13NO5	179.079374	-3.7559	0.255	6	5	124.01	-1.7276
G2	QSBOQJCOHPCHRB	C(C(C(CN)O)N)=O	72.1422	C4H10N2O2	118.074228	-3.0189	-0.079	4	3	89.34	-2.2797
G2	JIDVIMQFVJVPPX	C(C(C(CN)O)O)=O	51.3108	C4H9NO3	119.058244	-2.6211	-0.003	4	3	83.55	-3.0054
G2	UQNPMNUVBRVOCQ	C(C(C(CO)O)N)=O	68.2186	C4H9NO3	119.058244	-2.6211	-0.003	4	3	83.55	-2.318
G2	UAOKRFJFLAUQNR	C(CNCC=O)(C(CO)O)=O	107.486	C6H11NO4	161.068809	-2.8212	0.237	5	3	86.63	-0.47797
G2	WZDHWMRAASHPBX	C(CN)(C(CO)O)=O	72.9896	C4H9NO3	119.058244	-2.44	0.161	4	3	83.55	0.16273
G2	MMZWUQKSIXGQLM	C(C(CO)(C(CN)O)O)=O	82.3655	C5H11NO4	149.068809	-3.1672	0.395	5	4	103.78	-2.6205
G2	MGKXNCNVFOFGIA	C(C(C(CO)O)(C(CN)O)O)=O	113.188	C6H13NO5	179.079374	-3.7346	0.524	6	5	124.01	-2.5821
G2	WITVYMTUWTVRND	C(C(C(CN)O)O)(O)=O	49.6353	C4H9NO4	135.053159	-4.4852	0.23	5	4	103.78	1.0647
G2	GECVMGDGBBOZSR	C(C(C(CO)NCC=O)O)=O	96.9656	C6H11NO4	161.068809	-3.0023	0.073	5	3	86.63	-0.57747
G2	KXMAOQJMLAAVJY	C(C(C(CO)N)O)=O	60.4774	C4H9NO3	119.058244	-2.6211	-0.003	4	3	83.55	-5.6063
G3	TYEPXMQCSLBUQN	C(C(C=O)C(C(CO)N)O)=O	31.2095	C6H11NO4	161.068809	-3.0874	-0.141	5	3	100.62	-5.6063
G3	XGYVTXGBKAEKSN	C(C(CC(C(CO)N)O)=O)=O	63.0281	C6H11NO4	161.068809	-2.7653	-0.195	5	3	100.62	-5.0932
G3	REQIOPDLGNSWSP	C(CC(C(CO)N)O)=O	45.4698	C5H11NO3	133.073894	-2.1667	-0.273	4	3	83.55	-4.8734
G3	SKHQXBWWPZVTBL	C(CC(C(C(CN)O)O)O)=O	71.6713	C6H13NO4	163.084459	-2.7341	-0.144	5	4	103.78	-2.1929
G3	WCLOIEVAMMWGKD	C(CC(C(C(CO)O)N)O)=O	61.033	C6H13NO4	163.084459	-2.7341	-0.144	5	4	103.78	-1.5855
G3	XIIKTJZKWRJKSI	C(C(C(C(CO)=O)O)O)=O	80.4566	C5H8O5	148.037175	-2.8219	0.151	5	3	94.83	-1.1285
G3	YRBZBJHRIGQRSX	C(C(C(C(CN)=O)O)O)=O	91.0735	C5H9NO4	147.053159	-3.2197	0.075	5	3	100.62	-2.0469
G3	QWVSJAOISGILAV	C(C(C(C(CO)=O)N)O)=O	102.83	C5H9NO4	147.053159	-3.2197	0.075	5	3	100.62	-3.1158
G3	DPJVCISCLBZLDP	C(CC(C(C(CO)=O)O)O)=O	60.8729	C6H10O5	162.052825	-2.3675	-0.119	5	3	94.83	-0.51952
G3	HWDQZMAZCTUFGO	C(C(C=O)C(CO)(CO)O)=O	24.6572	C6H10O5	162.052825	-2.6683	0.204	5	3	94.83	-4.2201
G3	HCDKHGUYCIRFGC	C(C(C)(C(C(CO)=O)O)O)=O	86.0292	C6H10O5	162.052825	-2.4413	0.042	5	3	94.83	-0.52167
G3	KFHNTUHHTDAEOF	C(C)(C(C(C(CO)=O)O)O)=O	90.2161	C6H10O5	162.052825	-2.2815	-0.063	5	3	94.83	1.7739
G3	GBYNVYGBOCCFCK	C(C(CC(CO)(CO)O)=O)=O	62.7861	C6H10O5	162.052825	-2.3462	0.15	5	3	94.83	-7.593
G3	MRKRITSFTIHTAQ	C(CO)(C(C(C)O)O)=O	62.148	C5H10O4	134.05791	-1.6829	-0.141	4	3	77.76	0.76382
G3	RLJYTLNHFAJLAE	C(CC(CO)(CO)O)=O	40.1369	C5H10O4	134.05791	-1.7476	0.072	4	3	77.76	-7.1366
G3	IWASYLACXSGJPG	C(C(C(C)O)O)(C(CO)O)=O	75.7726	C6H12O5	164.068475	-2.2503	-0.012	5	4	97.99	-0.13089
G3	IDBTYBMNHBMAOU	C(CC(CO)(C(CO)O)O)=O	56.9489	C6H12O5	164.068475	-2.315	0.201	5	4	97.99	-5.2062
G3	RWAJAMVSHPQTTE	C(CC(C(C(CN)=O)O)O)=O	74.0406	C6H11NO4	161.068809	-2.7653	-0.195	5	3	100.62	-1.3709
G3	OEVVJWOUJIUREO	C(CC(C(C(CO)=O)N)O)=O	65.8143	C6H11NO4	161.068809	-2.7653	-0.195	5	3	100.62	-2.4713
G3	ZFLFRQNBEVKBDV	C(C(C=O)C(CO)(CN)O)=O	21.2322	C6H11NO4	161.068809	-3.0661	0.128	5	3	100.62	-2.678
G3	FHYSZSPWXQFGGH	C(C(C)(C(C(CN)=O)O)O)=O	102.815	C6H11NO4	161.068809	-2.8391	-0.034	5	3	100.62	-1.2608
G3	MSKONFCVYLNJPN	C(C(C)(C(C(CO)=O)N)O)=O	100.582	C6H11NO4	161.068809	-2.8391	-0.034	5	3	100.62	-7.6463
G3	SQOIZOFSPPKOGH	C(C)(C(C(C(CN)=O)O)O)=O	86.9095	C6H11NO4	161.068809	-2.6793	-0.139	5	3	100.62	0.94331
G3	QZRMXSVZXCRGAO	C(CO)(C(C(C(C)=O)O)N)=O	98.335	C6H11NO4	161.068809	-2.6793	-0.139	5	3	100.62	-0.23919
G3	OMPVMQXVAIVXEY	C(C(CC(CO)(CN)O)=O)=O	66.7208	C6H11NO4	161.068809	-2.744	0.074	5	3	100.62	-6.0464
G3	PPFTYFJBDQDNLS	C(CN)(C(C(C)O)O)=O	83.0668	C5H11NO3	133.073894	-2.0807	-0.217	4	3	83.55	-0.068344
G3	CXFDMCGOFSDJFK	C(CO)(C(C(C)O)N)=O	72.8433	C5H11NO3	133.073894	-2.0807	-0.217	4	3	83.55	-6.0617
G3	BCDIGRSIKYETOL	C(CC(CO)(CN)O)=O	37.6731	C5H11NO3	133.073894	-2.1454	-0.004	4	3	83.55	-5.6031
G3	VHAPTBUJKSFOAY	C(C(CO)O)(C(C(C)O)N)=O	99.2379	C6H13NO4	163.084459	-2.6481	-0.088	5	4	103.78	-6.4295
G3	LBTUWKWHCNBHBP	C(CC(CN)(C(CO)O)O)=O	62.4369	C6H13NO4	163.084459	-2.7128	0.125	5	4	103.78	-2.0457
G3	HQMRFNOKWQUHQC	C(CC(C(CO)(CO)O)O)=O	68.4619	C6H12O5	164.068475	-2.315	0.201	5	4	97.99	-3.4615
G3	VPCLNTDBLHAJNA	C(C(C=O)C(C(CN)O)O)=O	35.3365	C6H11NO4	161.068809	-3.0874	-0.141	5	3	100.62	-3.0054
G3	KEZKOUJRKCLMLA	C(C(CC(C(CN)O)O)=O)=O	74.0508	C6H11NO4	161.068809	-2.7653	-0.195	5	3	100.62	-2.389
G3	GRAYIZYZTZDMHO	C(CC(C(CN)O)O)=O	31.4326	C5H11NO3	133.073894	-2.1667	-0.273	4	3	83.55	-2.229
G3	MYNDUSHUEWHKOA	C(CC(C(C(CO)N)O)O)=O	63.6893	C6H13NO4	163.084459	-2.7341	-0.144	5	4	103.78	-4.6832
G3	AKTMIDGTSNJTSP	C(C(C=O)C(C(CO)O)O)=O	17.3953	C6H10O5	162.052825	-2.6896	-0.065	5	3	94.83	-3.2748
G3	ZGCHLOWZNKRZSN	C(C(CC(C(CO)O)O)=O)=O	61.872	C6H10O5	162.052825	-2.3675	-0.119	5	3	94.83	-2.6094
G3	ASJSAQIRZKANQN	C(CC(C(CO)O)O)=O	40.2086	C5H10O4	134.05791	-1.7689	-0.197	4	3	77.76	-2.4886
G3	VRYALKFFQXWPIH	C(CC(C(C(CO)O)O)O)=O	61.0894	C6H12O5	164.068475	-2.3363	-0.068	5	4	97.99	-2.1384
G3	ZSXYDPAMQLXZSJ	C(C(C(CO)(CO)O)N)=O	669.561	C5H11NO4	149.068809	-3.1672	0.395	5	4	103.78	-4.215
G3	NSKJHRGIUMZEHF	C(CO)(C(C(CN)O)O)=O	89.1955	C5H11NO4	149.068809	-3.0074	0.29	5	4	103.78	1.1992
G3	ODILWJGXAOWKPR	C(C(CCO)(C(C=O)N)O)=O	95.5203	C6H11NO4	161.068809	-2.9251	-0.09	5	3	100.62	-5.0759
G3	RBDNNFSBBBQPHT	C(C(C(C(CCO)=O)O)N)=O	72.485	C6H11NO4	161.068809	-2.7653	-0.195	5	3	100.62	-3.0129
G3	KAYFMIAIBMIIQD	C(C(C(CO)C(CN)O)=O)=O	25.9606	C6H11NO4	161.068809	-2.9063	0.023	5	3	100.62	-2.2367
G3	YBOLBHFYGABWMJ	C(CC(C(C(C=O)N)O)O)=O	83.1548	C6H11NO4	161.068809	-2.9464	-0.359	5	3	100.62	-1.3806
G3	AHGCTZMUBPZLOK	C(C(C(CC(C=O)O)O)N)=O	66.2086	C6H11NO4	161.068809	-2.9464	-0.359	5	3	100.62	-2.584
G3	RWMSZEVIXBQAJL	C(C(C(CN)O)C(C=O)O)=O	37.2965	C6H11NO4	161.068809	-3.0874	-0.141	5	3	100.62	-2.8904
G3	VNBYXOQOCGWZFJ	C(C(C(CC(CO)=O)O)N)=O	67.707	C6H11NO4	161.068809	-2.7653	-0.195	5	3	100.62	-3.0716
G3	WKIWQZKYQRMNFP	C(CC(CO)(C(C=O)N)O)=O	83.6549	C6H11NO4	161.068809	-2.9251	-0.09	5	3	100.62	-5.3134
G3	DCWPTWSYZMWKIL	C(C(C(CO)=O)C(CN)O)=O	17.317	C6H11NO4	161.068809	-2.9063	0.023	5	3	100.62	-1.5547
G3	VMCCARNNUOIRPT	C(CC(C(C(CN)O)O)=O)=O	40.6187	C6H11NO4	161.068809	-2.7653	-0.195	5	3	100.62	-1.6032
G3	URYGCMBOMHUVKQ	C(C(C(C(C(C)=O)O)O)N)=O	89.0235	C6H11NO4	161.068809	-2.8604	-0.303	5	3	100.62	-0.72993
G3	RFTGWPCIEOLYOI	C(C(C(C)(C(C=O)O)O)N)=O	91.0639	C6H11NO4	161.068809	-3.0202	-0.198	5	3	100.62	-2.3326
G3	ZMEILYOCLSHQDN	C(C(C(CC(CN)O)=O)O)=O	41.8047	C6H11NO4	161.068809	-2.7653	-0.195	5	3	100.62	-0.84811
G3	WXYXERHRDKEISL	C(C(CO)O)(C(CO)O)=O	72.9814	C5H10O5	150.052825	-2.6096	0.366	5	4	97.99	0.075465
G3	MTPLMYSUTMBRKU	C(CO)(C(CO)N)=O	73.0937	C4H9NO3	119.058244	-2.44	0.161	4	3	83.55	-4.7512
G3	YHKGTFSEJPIKDQ	C(C(CO)O)(C(CO)N)=O	89.9935	C5H11NO4	149.068809	-3.0074	0.29	5	4	103.78	-5.1851
G3	YECZZWUIAXEARY	C(C(C(C(CO)N)O)O)=O	83.2265	C5H11NO4	149.068809	-3.1885	0.126	5	4	103.78	-5.3553
G3	AVGPOAXYRRIZMM	C(C(C(CO)(CO)O)O)=O	80.7914	C5H10O5	150.052825	-2.7694	0.471	5	4	97.99	-4.2059
G3	ZAQJHHRNXZUBTE	C(CO)(C(C(CO)O)O)=O	93.3251	C5H10O5	150.052825	-2.6096	0.366	5	4	97.99	1.085
G3	CMOZXEKFRDIDCA	C(C(C(CO)(CN)O)O)=O	83.2039	C5H11NO4	149.068809	-3.1672	0.395	5	4	103.78	-2.6205
G3	ZGPHAZHLWWSPMV	C(CN)(C(C(CO)O)O)=O	87.2399	C5H11NO4	149.068809	-3.0074	0.29	5	4	103.78	0.077742
G3	HPQGIDPCWDOJIW	C(CO)(C(C(CO)O)N)=O	104.803	C5H11NO4	149.068809	-3.0074	0.29	5	4	103.78	-0.90713
G3	FAGPJBHKKUOQAR	C(C(CCO)(C(C=O)O)O)=O	69.7585	C6H10O5	162.052825	-2.5273	-0.014	5	3	94.83	-4.9991
G3	KTQQRSZBGCOSES	C(C(C(C=O)O)O)(CCO)=O	57.1446	C6H10O5	162.052825	-2.3675	-0.119	5	3	94.83	-3.6515
G3	JOEMRRCMXVASPX	C(C(C(CO)C(CO)O)=O)=O	30.5493	C6H10O5	162.052825	-2.5085	0.099	5	3	94.83	-2.373
G3	DRFVLWXFACEMHK	C(CC(C(C(C=O)O)O)O)=O	67.8191	C6H10O5	162.052825	-2.5486	-0.283	5	3	94.83	-2.4079
G3	ZAZMXMODCOTURY	C(C(C(CC(C=O)O)O)O)=O	53.0784	C6H10O5	162.052825	-2.5486	-0.283	5	3	94.83	-3.4916
G3	HIPAGLNATSXMFT	C(C(C(CO)O)C(C=O)O)=O	37.1439	C6H10O5	162.052825	-2.6896	-0.065	5	3	94.83	-3.2038
G3	ZNSXGNZNZVWMBM	C(C(C(CC(CO)=O)O)O)=O	50.5474	C6H10O5	162.052825	-2.3675	-0.119	5	3	94.83	-3.8216
G3	IEHDXMKHICIRFU	C(CC(CO)(C(C=O)O)O)=O	62.9686	C6H10O5	162.052825	-2.5273	-0.014	5	3	94.83	-5.3043
G3	SSUDYWNAIOLNKR	C(C(C(CO)=O)C(CO)O)=O	21.1855	C6H10O5	162.052825	-2.5085	0.099	5	3	94.83	-1.6738
G3	RXVDSZVTHMJWNV	C(CC(C(C(CO)O)O)=O)=O	39.1213	C6H10O5	162.052825	-2.3675	-0.119	5	3	94.83	-1.8329
G3	MKKWPESNDMZCAX	C(C(C(C(C(C)=O)O)O)O)=O	80.2334	C6H10O5	162.052825	-2.4626	-0.227	5	3	94.83	-1.4318
G3	LTIXNERYDWMFRC	C(C(C(C)(C(C=O)O)O)O)=O	76.4195	C6H10O5	162.052825	-2.6224	-0.122	5	3	94.83	-0.55603
G3	QBHBJCPWTMMDIG	C(C(C(CC(CO)O)=O)O)=O	41.0947	C6H10O5	162.052825	-2.3675	-0.119	5	3	94.83	-5.4242
G3	IKHXAQXDRKSBCU	C(C(C(C(CN)O)O)O)=O	86.463	C5H11NO4	149.068809	-3.1885	0.126	5	4	103.78	-2.9555
G3	UFYGCFHQAXXBCF	C(C(CCO)O)(O)=O	16.0805	C4H8O4	120.04226	-1.3388	-0.093	4	3	77.76	-2.4724
G3	VDSAQEDKJUSZPS	C(C(C(C(CO)O)O)=O)=O	75.1992	C5H8O5	148.037175	-2.8219	0.151	5	3	94.83	-2.2896
G3	HVTGQMWTDDUILK	C(CO)(C(CN)O)=O	58.5779	C4H9NO3	119.058244	-2.44	0.161	4	3	83.55	1.1617
G3	VMWHZZCFIPURJF	C(C(C(C(CO)N)O)O)O	77.3627	C5H13NO4	151.084459	-2.9762	0.341	5	5	106.94	-3.2053
G3	KJJPLEZQSCZCKE	C(C(CO)N)O	36.0222	C3H9NO2	91.063329	-1.8414	0.083	3	3	66.48	-6.3525
G3	HEBKCHPVOIAQTA	C(C(C(C(CO)O)O)O)O	70.2534	C5H12O5	152.068475	-2.5784	0.417	5	5	101.15	-0.73911
G3	WIFPJDJJFUSIFP	C(C(C(CN)O)O)O	64.5523	C4H11NO3	121.073894	-2.4088	0.212	4	4	86.71	-0.9671
G3	PMLGQXIKBPFHJZ	C(C(C(CO)O)N)O	59.477	C4H11NO3	121.073894	-2.4088	0.212	4	4	86.71	-3.4563
G3	GRJYCUXQJJMRKX	C(C(CO)(C(CN)O)O)O	85.6365	C5H13NO4	151.084459	-2.9549	0.61	5	5	106.94	-1.9107
G3	HXYJZJOQRLOUPP	C(C(CO)(CO)O)O	66.0123	C4H10O4	122.05791	-1.9897	0.557	4	4	80.92	-4.2829
G3	SDXWEZQDLHNYFR	C(C(CO)(C(CO)O)O)O	80.7753	C5H12O5	152.068475	-2.5571	0.686	5	5	101.15	-2.033
G3	KQIGMPWTAHJUMN	C(C(CN)O)O	34.1719	C3H9NO2	91.063329	-1.8414	0.083	3	3	66.48	-1.462
G3	MTCFGRXMJLQNBG	C(C(CO)N)(O)=O	40.1588	C3H7NO3	105.042594	-3.9178	0.101	4	3	83.55	-10.074
G3	JBNUARFQOCGDRK	C(C(C(CO)O)N)(O)=O	60.9022	C4H9NO4	135.053159	-4.4852	0.23	5	4	103.78	-5.6355
G3	OJSKBWPAXWEHAA	C(C(CO)(CO)O)(O)=O	57.205	C4H8O5	136.037175	-2.3393	0.575	5	4	97.99	-0.8415
G3	BMYNFMYTOJXKLE	C(C(CN)O)(O)=O	32.9706	C3H7NO3	105.042594	-3.9178	0.101	4	3	83.55	-0.22742
G3	MLDBXFQIDVIWHU	C(C(C(CO)N)O)(O)=O	59.8385	C4H9NO4	135.053159	-4.4852	0.23	5	4	103.78	-2.0875
G3	MKIUQSMSVAUTKI	C(C(CO)(C(C=O)O)N)=O	84.2675	C5H9NO4	147.053159	-3.3795	0.18	5	3	100.62	-3.815
G3	JFFLKTNXBRMQMK	C(C(CO)(C(CC=O)O)N)=O	78.6777	C6H11NO4	161.068809	-2.9251	-0.09	5	3	100.62	-3.1432
G3	ROKUUIAOJQBBFO	C(C(CO)(C(C=O)(C)O)N)=O	103.722	C6H11NO4	161.068809	-2.9989	0.071	5	3	100.62	-5.986
G3	FZBDPFQWGZJRMP	C(C(CO)(C(C(C)=O)O)N)=O	95.4804	C6H11NO4	161.068809	-2.8391	-0.034	5	3	100.62	-2.6494
G3	RJAZOPJVTUZQDS	C(C(CO)(C(C)O)N)=O	82.9422	C5H11NO3	133.073894	-2.2405	-0.112	4	3	83.55	-7.1831
