Generation	Smiles	Inchi	Energy	Molecular Formula	Monoisotopic Mass	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G1	C(C(C(CO)O)O)=O	YTBSYETUWUMLBZ	53.0145	C4H8O4	120.04226	-2.2233	0.073	4	3	77.76	-3.2748
G2	C(C(C(C(CO)O)O)O)=O	PYMYPHUHKUWMLA	79.1178	C5H10O5	150.052825	-2.7907	0.202	5	4	97.99	-2.8744
G2	C(CO)(C(CO)O)=O	UQPHVQVXLPRNCX	61.7703	C4H8O4	120.04226	-2.0422	0.237	4	3	77.76	1.2188
G2	C(C(CO)O)O	PEDCQBHIVMGVHV	34.6111	C3H8O3	92.047345	-1.4436	0.159	3	3	60.69	-3.0756
G2	C(C(C(CO)O)O)O	UNXHWFMMPAWVPI	67.858	C4H10O4	122.05791	-2.011	0.288	4	4	80.92	-1.1346
G2	C(C(CO)O)(O)=O	RBNPOMFGQQGHHO	26.2205	C3H6O4	106.02661	-1.7932	0.177	4	3	77.76	-0.2455
G2	C(C(C(CO)O)O)(O)=O	JPIJQSOTBSSVTP	55.6728	C4H8O5	136.037175	-2.3606	0.306	5	4	97.99	0.99073
G2	C(C(CO)(CO)O)=O	OUEKYUKJSLEOIU	407.049	C4H8O4	120.04226	-2.202	0.342	4	3	77.76	-4.7871
G2	C(C(CO)(C(CO)O)O)=O	XUSNIIKGKKSRDZ	80.7766	C5H10O5	150.052825	-2.7694	0.471	5	4	97.99	-2.7515
G2	C1C(C(C(O)O1)O)O	FMAORJIQYMIRHF	770.821	C4H8O4	120.04226	-1.5087	-0.007	4	3	69.92	-3.7555
G3	C(C(C(C(CO)=O)O)O)=O	XIIKTJZKWRJKSI	80.4566	C5H8O5	148.037175	-2.8219	0.151	5	3	94.83	-1.1285
G3	C(CC(C(C(CO)=O)O)O)=O	DPJVCISCLBZLDP	60.8729	C6H10O5	162.052825	-2.3675	-0.119	5	3	94.83	-0.51952
G3	C(C(C=O)C(CO)(CO)O)=O	HWDQZMAZCTUFGO	24.6572	C6H10O5	162.052825	-2.6683	0.204	5	3	94.83	-4.2201
G3	C(C(C)(C(C(CO)=O)O)O)=O	HCDKHGUYCIRFGC	86.0292	C6H10O5	162.052825	-2.4413	0.042	5	3	94.83	-0.52167
G3	C(C)(C(C(C(CO)=O)O)O)=O	KFHNTUHHTDAEOF	90.2161	C6H10O5	162.052825	-2.2815	-0.063	5	3	94.83	1.7739
G3	C(C(CC(CO)(CO)O)=O)=O	GBYNVYGBOCCFCK	62.7861	C6H10O5	162.052825	-2.3462	0.15	5	3	94.83	-7.593
G3	C(CO)(C(C(C)O)O)=O	MRKRITSFTIHTAQ	62.148	C5H10O4	134.05791	-1.6829	-0.141	4	3	77.76	0.76382
G3	C(CC(CO)(CO)O)=O	RLJYTLNHFAJLAE	40.1369	C5H10O4	134.05791	-1.7476	0.072	4	3	77.76	-7.1366
G3	C(C(C(C)O)O)(C(CO)O)=O	IWASYLACXSGJPG	75.7726	C6H12O5	164.068475	-2.2503	-0.012	5	4	97.99	-0.13089
G3	C(CC(CO)(C(CO)O)O)=O	IDBTYBMNHBMAOU	56.9489	C6H12O5	164.068475	-2.315	0.201	5	4	97.99	-5.2062
G3	C(CC(C(CO)(CO)O)O)=O	HQMRFNOKWQUHQC	68.4619	C6H12O5	164.068475	-2.315	0.201	5	4	97.99	-3.4615
G3	C(C(C=O)C(C(CO)O)O)=O	AKTMIDGTSNJTSP	17.3953	C6H10O5	162.052825	-2.6896	-0.065	5	3	94.83	-3.2748
G3	C(C(CC(C(CO)O)O)=O)=O	ZGCHLOWZNKRZSN	61.872	C6H10O5	162.052825	-2.3675	-0.119	5	3	94.83	-2.6094
G3	C(CC(C(CO)O)O)=O	ASJSAQIRZKANQN	40.2086	C5H10O4	134.05791	-1.7689	-0.197	4	3	77.76	-2.4886
G3	C(CC(C(C(CO)O)O)O)=O	VRYALKFFQXWPIH	61.0894	C6H12O5	164.068475	-2.3363	-0.068	5	4	97.99	-2.1384
G3	C(C(CO)O)(C(CO)O)=O	WXYXERHRDKEISL	72.9814	C5H10O5	150.052825	-2.6096	0.366	5	4	97.99	0.075465
G3	C(C(C(CO)(CO)O)O)=O	AVGPOAXYRRIZMM	80.7914	C5H10O5	150.052825	-2.7694	0.471	5	4	97.99	-4.2059
G3	C(CO)(C(C(CO)O)O)=O	ZAQJHHRNXZUBTE	93.3251	C5H10O5	150.052825	-2.6096	0.366	5	4	97.99	1.085
G3	C(C(CCO)(C(C=O)O)O)=O	FAGPJBHKKUOQAR	69.7585	C6H10O5	162.052825	-2.5273	-0.014	5	3	94.83	-4.9991
G3	C(C(C(C=O)O)O)(CCO)=O	KTQQRSZBGCOSES	57.1446	C6H10O5	162.052825	-2.3675	-0.119	5	3	94.83	-3.6515
G3	C(C(C(CO)C(CO)O)=O)=O	JOEMRRCMXVASPX	30.5493	C6H10O5	162.052825	-2.5085	0.099	5	3	94.83	-2.373
G3	C(CC(C(C(C=O)O)O)O)=O	DRFVLWXFACEMHK	67.8191	C6H10O5	162.052825	-2.5486	-0.283	5	3	94.83	-2.4079
G3	C(C(C(CC(C=O)O)O)O)=O	ZAZMXMODCOTURY	53.0784	C6H10O5	162.052825	-2.5486	-0.283	5	3	94.83	-3.4916
G3	C(C(C(CO)O)C(C=O)O)=O	HIPAGLNATSXMFT	37.1439	C6H10O5	162.052825	-2.6896	-0.065	5	3	94.83	-3.2038
G3	C(C(C(CC(CO)=O)O)O)=O	ZNSXGNZNZVWMBM	50.5474	C6H10O5	162.052825	-2.3675	-0.119	5	3	94.83	-3.8216
G3	C(CC(CO)(C(C=O)O)O)=O	IEHDXMKHICIRFU	62.9686	C6H10O5	162.052825	-2.5273	-0.014	5	3	94.83	-5.3043
G3	C(C(C(CO)=O)C(CO)O)=O	SSUDYWNAIOLNKR	21.1855	C6H10O5	162.052825	-2.5085	0.099	5	3	94.83	-1.6738
G3	C(CC(C(C(CO)O)O)=O)=O	RXVDSZVTHMJWNV	39.1213	C6H10O5	162.052825	-2.3675	-0.119	5	3	94.83	-1.8329
G3	C(C(C(C(C(C)=O)O)O)O)=O	MKKWPESNDMZCAX	80.2334	C6H10O5	162.052825	-2.4626	-0.227	5	3	94.83	-1.4318
G3	C(C(C(C)(C(C=O)O)O)O)=O	LTIXNERYDWMFRC	76.4195	C6H10O5	162.052825	-2.6224	-0.122	5	3	94.83	-0.55603
G3	C(C(C(CC(CO)O)=O)O)=O	QBHBJCPWTMMDIG	41.0947	C6H10O5	162.052825	-2.3675	-0.119	5	3	94.83	-5.4242
G3	C(C(CCO)O)(O)=O	UFYGCFHQAXXBCF	16.0805	C4H8O4	120.04226	-1.3388	-0.093	4	3	77.76	-2.4724
G3	C(C(C(C(CO)O)O)=O)=O	VDSAQEDKJUSZPS	75.1992	C5H8O5	148.037175	-2.8219	0.151	5	3	94.83	-2.2896
G3	C(C(C(C(CO)O)O)O)O	HEBKCHPVOIAQTA	70.2534	C5H12O5	152.068475	-2.5784	0.417	5	5	101.15	-0.73911
G3	C(C(CO)(CO)O)O	HXYJZJOQRLOUPP	66.0123	C4H10O4	122.05791	-1.9897	0.557	4	4	80.92	-4.2829
G3	C(C(CO)(C(CO)O)O)O	SDXWEZQDLHNYFR	80.7753	C5H12O5	152.068475	-2.5571	0.686	5	5	101.15	-2.033
G3	C(C(CO)(CO)O)(O)=O	OJSKBWPAXWEHAA	57.205	C4H8O5	136.037175	-2.3393	0.575	5	4	97.99	-0.8415
G3	C(CO)(C(CO)(C(C)O)O)=O	CLUAZGGJJOMMPW	88.276	C6H12O5	164.068475	-2.229	0.257	5	4	97.99	1.4137
G3	C(C(CO)(C(C)O)O)(O)=O	WKRKESUWTIYINN	58.2522	C5H10O5	150.052825	-1.98	0.197	5	4	97.99	0.77366
G3	C(C(CO)(C(C=O)O)O)=O	YAVWISVERGTOHY	71.6735	C5H8O5	148.037175	-2.9817	0.256	5	3	94.83	-2.7559
G3	C(C(CO)(C(CC=O)O)O)=O	KMZKNPYVLFCBJR	56.5187	C6H10O5	162.052825	-2.5273	-0.014	5	3	94.83	-2.1049
G3	C(C(CO)(C(C=O)(C)O)O)=O	LLKJMSOIEJAFOF	82.2598	C6H10O5	162.052825	-2.6011	0.147	5	3	94.83	-2.4059
G3	C(C(CO)(C(C(C)=O)O)O)=O	KSPZMTWVXVIPRP	70.8955	C6H10O5	162.052825	-2.4413	0.042	5	3	94.83	-1.4805
G3	C(C(CO)(C(C)O)O)=O	JQKDKERJPQSZLX	71.7534	C5H10O4	134.05791	-1.8427	-0.036	4	3	77.76	-3.2406
G3	C(C(C(CO)O)(C(C)O)O)=O	DXBKAMXGCDVWGR	90.5166	C6H12O5	164.068475	-2.4101	0.093	5	4	97.99	-2.8644
G3	C(CO)(C(CO)(CO)O)=O	KNWXMEXZFWGIPP	86.0623	C5H10O5	150.052825	-2.5883	0.635	5	4	97.99	0.20087
G3	C(C(C(C)=O)(C(CO)O)O)=O	UZMKAOBHDMJGHD	65.6341	C6H10O5	162.052825	-2.4413	0.042	5	3	94.83	-1.3297
G3	C(C(C(C=O)O)O)(O)=O	JYPFTOPPKDHQEW	43.989	C4H6O5	134.021525	-2.5729	0.091	5	3	94.83	-1.2721
G3	C(CC(C(C(O)=O)O)O)=O	WNQQMTOQQGYXCH	29.6651	C5H8O5	148.037175	-2.1185	-0.179	5	3	94.83	-0.6535
G3	C(C(C)(C(C(O)=O)O)O)=O	AZFXWNDHXWNFRE	20.6205	C5H8O5	148.037175	-2.1923	-0.018	5	3	94.83	-0.56246
G3	C(C(C(C(C)=O)O)O)(O)=O	HDGNQJMIIPXNJZ	39.1028	C5H8O5	148.037175	-2.0325	-0.123	5	3	94.83	1.8724
G3	C(C(C(C)O)O)(O)=O	LOUGYXZSURQALL	33.8389	C4H8O4	120.04226	-1.4339	-0.201	4	3	77.76	0.18323
G3	C(C(C(CO)O)(CC=O)O)=O	TXIVWMLJMZFCNJ	57.2663	C6H10O5	162.052825	-2.5273	-0.014	5	3	94.83	-3.3059
G3	C(CC(C=O)O)(C(CO)O)=O	LVYQXQPAYHNLQF	50.1139	C6H10O5	162.052825	-2.3675	-0.119	5	3	94.83	-1.9676
G3	C(C(CO)(CC(CO)=O)O)=O	RHBBDYUCVCIMPI	515.938	C6H10O5	162.052825	-2.3462	0.15	5	3	94.83	-5.3266
G3	C(C(C(CCO)=O)(CO)O)=O	XXCROCVPGJNKKK	52.3331	C6H10O5	162.052825	-2.3462	0.15	5	3	94.83	-3.3085
G3	C(C(C(C(CO)O)=O)CO)=O	VSCZDXPKQZQUMT	19.9061	C6H10O5	162.052825	-2.5085	0.099	5	3	94.83	-2.1903
