Generation	Inchi	Smiles	Energy	Molecular Formula	Monoisotopic Mass	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G1	YTBSYETUWUMLBZ	C(C(C(CO)O)O)=O	53.0145	C4H8O4	120.04226	-2.2233	0.073	4	3	77.76	-3.2748
G1	ZGCHLOWZNKRZSN	C(C(CC(C(CO)O)O)=O)=O	61.872	C6H10O5	162.052825	-2.3675	-0.119	5	3	94.83	-2.6094
G1	RXVDSZVTHMJWNV	C(CC(C(C(CO)O)O)=O)=O	39.1213	C6H10O5	162.052825	-2.3675	-0.119	5	3	94.83	-1.8329
G1	QBHBJCPWTMMDIG	C(C(C(CC(CO)O)=O)O)=O	41.0947	C6H10O5	162.052825	-2.3675	-0.119	5	3	94.83	-5.4242
G1	LVYQXQPAYHNLQF	C(CC(C=O)O)(C(CO)O)=O	50.1139	C6H10O5	162.052825	-2.3675	-0.119	5	3	94.83	-1.9676
G1	KTQQRSZBGCOSES	C(C(C(C=O)O)O)(CCO)=O	57.1446	C6H10O5	162.052825	-2.3675	-0.119	5	3	94.83	-3.6515
G1	ZNSXGNZNZVWMBM	C(C(C(CC(CO)=O)O)O)=O	50.5474	C6H10O5	162.052825	-2.3675	-0.119	5	3	94.83	-3.8216
G1	MKKWPESNDMZCAX	C(C(C(C(C(C)=O)O)O)O)=O	80.2334	C6H10O5	162.052825	-2.4626	-0.227	5	3	94.83	-1.4318
G1	DRFVLWXFACEMHK	C(CC(C(C(C=O)O)O)O)=O	67.8191	C6H10O5	162.052825	-2.5486	-0.283	5	3	94.83	-2.4079
G1	XBBIACPUMILHFE	C(CN)(C(C(C(CO)O)O)O)=O	112.411	C6H13NO5	179.079374	-3.5748	0.419	6	5	124.01	0.65397
G1	FOEXHEVNPRRHDY	C(C(C(C(C(CO)O)O)N)O)=O	112.291	C6H13NO5	179.079374	-3.7559	0.255	6	5	124.01	-2.0669
G2	LKUVPWZWJWOYKB	C1(C(C(C(C1CO)O)O)O)=O	53.457	C6H10O5	162.052825	-2.2121	0.012	5	4	97.99	0.4365
G2	GZYCZKBRQBKGJW	C1(C(C(C(C(C1)O)O)O)O)=O	615.844	C6H10O5	162.052825	-2.0648	-0.206	5	4	97.99	1.6461
G2	FWWLBYLLLIZJAL	C(C1C(C(C(C1O)O)O)O)=O	58.6087	C6H10O5	162.052825	-2.5681	-0.152	5	4	97.99	-2.9812
G2	UQPHVQVXLPRNCX	C(CO)(C(CO)O)=O	61.7703	C4H8O4	120.04226	-2.0422	0.237	4	3	77.76	1.2188
G2	ZJCIIXYSVSASQO	C(CC(C(C(CO)O)=O)O)=O	53.5581	C6H10O5	162.052825	-2.3675	-0.119	5	3	94.83	-1.2863
