Smiles	Canonical Code
C=O	e9e8c5b3d834323b
C(CO)=O	d5835cd62060064b
O	cbbb7a607b282df1
C(C(CO)O)=O	f055db82d1e2373c
C(C(C(CO)O)O)=O	959ab29b7cdeeb7c
CO	82e7a4acbeeba4c9
C(O)=O	db6746ce039d7c3e
C(CO)O	125710ecfc8c07f0
C(CO)(O)=O	ea08418141846b4e
C(C(C(C(CO)O)O)O)=O	7c53eb67418cefc9
C(C(C(C(C(CO)O)O)O)O)=O	1daa670b9600caf8
C(C=O)=O	e424cfc20f1e0de2
C(CC=O)=O	9ec9dac652e6f5cc
C(C(C)=O)=O	e58099cb02787c73
C(C(CCO)=O)=O	71806999eb78af3f
C(CC(C=O)O)=O	d40db75561bb261d
C(CC(CO)=O)=O	88a29de7236a8c79
C(C(C(C)=O)O)=O	f432f43f8830b809
C(C)=O	fa01e4ed3aeb3a7e
C(CO)(CO)=O	2fc24233f197793f
C(CO)(C(CO)O)=O	6c2886008dd1b935
C(C(CO)O)O	d488e3e9725e844f
C(C(C(CO)O)O)O	65a84f939d230704
C(C(CO)O)(O)=O	2982839dadae4baa
C(C(C(CO)O)O)(O)=O	718147ae49b8bdef
C(C(CO)(C(C(CO)O)O)O)=O	fb4abaa3084e6558
C(C(CO)(CO)O)=O	c044c9445e22124e
C(C(CO)(C(CO)O)O)=O	5d1a4c63cb96c1b3
C(C(C(CO)O)(C(CO)O)O)=O	70f6142c88b73f5b
C(C(C(C(CO)O)O)O)(O)=O	f13a01797a84109a
C(C(C(C(C(CO)O)O)O)O)(O)=O	85b1698d743eec3
C1C(C(C(O)O1)O)O	aa34c1bec6c57a5b
C(CC(C(C(C(CO)O)O)O)O)=O	1fb61dd518414448
C(C(C=O)C(C=O)O)=O	d5378a423e78c3ac
C(C(CC(C=O)=O)O)=O	6c399a56ad787281
C(C(C(C(C=O)=O)CO)O)=O	487522851bfcddae
C(C(C(C=O)C(C=O)O)O)=O	12de16c77feb31f0
C(C(C(CO)=O)C(C=O)O)=O	b7cad40ca70f6c2a
C(CC(C(C(C=O)O)O)=O)=O	dc51e94e4819b2c4
C(C(C(CC(C=O)O)=O)O)=O	97e9932170a5e61d
C(C(C(C(CO)=O)O)O)=O	b8b2a641325ca733
C(C(C(C=O)O)O)(C(CO)O)=O	b786ec3a95bd4fa9
C(C(C=O)C(CC=O)O)=O	b538f9ec22f2fbc7
C(C(C=O)C(C=O)(C)O)=O	63193f745cd328e
C(C(C=O)C(C(C)=O)O)=O	269e3bf90b9c1037
C(CC(CC(C=O)=O)O)=O	d7675ca283a3e30d
C(C(C=O)C(C=O)(CCO)O)=O	759e0883f063d036
C(C(C=O)C(C(CCO)=O)O)=O	eff4bdfcbb000d21
C(CC(C(C(C=O)=O)CO)O)=O	e0d8d3491121e1b6
C(C(C=O)C(C(CC=O)O)O)=O	dfbbc23c2485a436
C(C(C=O)C(CC(C=O)O)O)=O	d78743e588b41f45
C(CC(C(C=O)C(C=O)O)O)=O	5adcaa24b3d58ee0
C(C(C=O)C(CC(CO)=O)O)=O	a308c53b06887ec0
C(C(C=O)C(CO)(CC=O)O)=O	12c8399462917dbd
C(CC(C(C=O)C(CO)=O)O)=O	24adda20b755cc7a
C(CC(C(C(CC=O)=O)O)O)=O	368de8ce8c7bed3b
C(C(C=O)C(C(C(C)=O)O)O)=O	918e513695e2eb1d
C(C(C=O)C(C)(C(C=O)O)O)=O	ab6a1dc882959c13
C(C(C(CC(CC=O)O)=O)O)=O	a5482aa707455bd
C(C(C=O)C(C)O)=O	9bdb4b29e31ffe13
C(CC(CC=O)O)=O	8a51294f02c0edde
C(C(C=O)C(CO)(CO)O)=O	faa39363540be971
C(CC(C(C(CO)=O)O)O)=O	bb154446c0432099
C(C(C=O)C(CO)(C(CO)O)O)=O	dae5dbfe2bbc2a71
C(CC(C(C(C(CO)O)=O)O)O)=O	5974d632abc90d73
C(C(C=O)C(C(CO)(CO)O)O)=O	51374805343894fb
C(C(C)(CC(C=O)=O)O)=O	a57315990dd23f27
C(C)(C(CC(C=O)=O)O)=O	5add6d2ac169e994
C(C(CCO)(CC(C=O)=O)O)=O	5387ece03efe177b
C(C(CC(C=O)=O)O)(CCO)=O	b11226390ed8d699
C(C(C)(C(C(C=O)=O)CO)O)=O	f8d67287298ca8ba
C(C(C(C(C=O)=O)CO)O)(C)=O	81b9fbaf406ce17
C(CC(C(CC(C=O)=O)O)O)=O	a690c9d655bf9050
C(C(CC(CC(C=O)=O)O)O)=O	a001dfade66d2c01
C(C(C(C=O)C(C=O)(C)O)O)=O	12a0e347e5ed344a
C(C(C(C=O)C(C(C)=O)O)O)=O	b6c9c6352b9f959
C(CO)(CC(CC(C=O)=O)O)=O	d9bf5f63b082cae1
C(CC(CO)(CC(C=O)=O)O)=O	ac871c135bba7a18
C(C(C)(C(C=O)C(CO)=O)O)=O	4a6ed319a7e8b1dd
C(C(C(CO)=O)C(C(C)=O)O)=O	4df17d8206bdfc4c
C(C(C)(C(C(CC=O)=O)O)O)=O	ea9b1b97a8cea24c
C(CC(C(C(C(C)=O)O)O)=O)=O	3fd967eb18dbac12
C(C)(C(C(CC(C=O)=O)O)O)=O	d5a5bac6ccd7fb81
