Generation	Smiles	Canonical Code
G0	C(C(C(C(C(CO)O)O)O)O)=O	1daa670b9600caf8
G0	O	cbbb7a607b282df1
G1	C(CO)=O	d5835cd62060064b
G1	C(C(C(CO)O)O)=O	959ab29b7cdeeb7c
G1	C(CO)(C(C(C(CO)O)O)O)=O	c9f583b2eb711cf6
G1	C(C(C(C(C(CO)O)O)O)O)(O)=O	85b1698d743eec3
G1	C(C(C(C(C(CO)O)O)O)O)O	8f4c166326168791
G1	C(C(CC(C(CO)O)O)=O)=O	aabbc500a500b0d
G1	C(CC(C(C(CO)O)O)=O)=O	1ba88bb18740080b
G1	C(C(C(CC(CO)O)=O)O)=O	39663a2e586ea8e1
G1	C(CC(C=O)O)(C(CO)O)=O	734db4e9037cf269
G1	C(C(C(C=O)O)O)(CCO)=O	e63bafa0e543f68
G1	C(C(C(CC(CO)=O)O)O)=O	56078f5a84ee639d
G1	C(C(C(C(C(C)=O)O)O)O)=O	6585d57f65442def
G1	C(CC(C(C(C=O)O)O)O)=O	42bf1179a6149d6c
G1	C(C(C1C(C(C(O)O1)O)O)O)O	6b3f7795f2dc8ea0
G1	C(C1C(C(C(C(O)O1)O)O)O)O	6aeb1fd46af7f587
G1	C1C(C(C(C(C(O)O1)O)O)O)O	59e51233ba2e5c74
G2	C1(C(C(C(C1CO)O)O)O)=O	5756711b6cf11d84
G2	C1(C(C(C(C(C1)O)O)O)O)=O	3eab149e29437aa4
G2	C(C1C(C(C(C1O)O)O)O)=O	17cdb7b8f3f4ded3
G2	C(C(CC(C(CO)O)O)O)(O)=O	d8a6d7b1d8ff559e
G2	C(C(C(C(C(CO)O)O)O)=O)=O	603732891d1aaa95
G2	C(CO)(CO)=O	2fc24233f197793f
G2	C(C(CO)O)=O	f055db82d1e2373c
G2	C(C(C)=O)=O	e58099cb02787c73
G2	C(CC(CO)=O)=O	88a29de7236a8c79
G2	C(C(C(C)=O)O)=O	f432f43f8830b809
G2	C(C=O)=O	e424cfc20f1e0de2
G2	C(C)(C(CO)O)=O	bffa52b1f364b5d4
G2	C(C(CC(CO)=O)O)=O	d9f84ba384e13c95
G2	C=O	e9e8c5b3d834323b
G2	C(C(CCO)=O)=O	71806999eb78af3f
G2	C(CO)(CCO)=O	36dff7308fd5d721
G2	C(C(C(C(C)=O)O)O)=O	533115060f082bfd
G2	C(C(C=O)O)=O	a2559c9466560577
G2	C(C)(CO)=O	b7a3634cf6fb5e9f
G2	C(CC(C=O)O)=O	d40db75561bb261d
G2	C(C(C(C=O)O)O)=O	ae33b853f73cf8a5
G2	C(C)=O	fa01e4ed3aeb3a7e
G2	C(CO)(C(CO)O)=O	6c2886008dd1b935
G2	C(C(C(CO)O)O)(C(CO)O)=O	9d0ff8daf2dcc958
G2	C(CC(C(C(CO)O)=O)O)=O	9f51e77db3955e0d
G2	C(C(CO)=O)(CC(CO)O)=O	4949a894a055de0b
G2	C(C(C(CC(CO)O)O)=O)=O	e10382b4c899912c
G2	C(C(CO)O)(CC(CO)=O)=O	4331e87b9b4acec6
G2	C(C(CC(C(CO)=O)O)O)=O	ed2339bcdd74dc99
G2	C(CCO)(C(C(CO)=O)O)=O	d99ef86156d395d
G2	C(C(C(C(CCO)O)=O)O)=O	b2dea113c6e819c1
G2	C(CO)(C(CC(CO)=O)O)=O	20185389e3583c2a
G2	C(C(C(CC(C=O)O)O)O)=O	f0f706e890577e59
G2	C(C)(C(C(C(CO)=O)O)O)=O	7d1b9a58c0230295
G2	C(C(C(C=O)O)O)(C(C)O)=O	78fcfc2b84339ee5
G2	C(CC(C(C(CO)=O)O)O)=O	bb154446c0432099
G2	C(CO)O	125710ecfc8c07f0
G2	C(C(C(CO)O)O)O	65a84f939d230704
G2	C(CO)(CC(C(CO)O)O)=O	a502c3d64caa330a
G2	C(C(C(CO)O)O)(CCO)=O	9bd05f01bc4e908f
G2	C(C(CO)O)(CC(CO)O)=O	4864484119f66e25
G2	C(C)(C(C(C(CO)O)O)O)=O	9d54ba6c1a382843
G2	C(CC(C(C(CO)O)O)O)=O	2baa9f2e8166b2e2
G2	C(C(C(C(CCO)O)O)O)=O	d758cc6d927b0653
G2	C(CO)(O)=O	ea08418141846b4e
G2	C(C(C(CO)O)O)(O)=O	718147ae49b8bdef
G2	C(C(CC(C(CO)O)O)=O)(O)=O	9e2eb002db0da741
G2	C(CC(C(C(CO)O)O)=O)(O)=O	ffdc6ee263d2d4b0
G2	C(C(C(CC(CO)O)=O)O)(O)=O	f5479c5ac511fe51
G2	C(CC(C(O)=O)O)(C(CO)O)=O	e2a57449d96a74c1
G2	C(C(C(C(O)=O)O)O)(CCO)=O	fd30cbd05099e868
G2	C(C(C(CC(CO)=O)O)O)(O)=O	48f5951634094c71
G2	C(C(C(C(C(C)=O)O)O)O)(O)=O	f7a5b6ad940d1c8d
G2	C(CC(C(C(C(O)=O)O)O)O)=O	501c274c55219e02
G2	C(CC(C(C(C=O)O)O)O)(O)=O	5dc74e458cef15da
G2	C1(CC(C(C1(CO)O)O)O)=O	8829593a68391509
G2	C(C1(C(C(CC1O)O)O)O)=O	c5d661bfac351843
G2	C(C(C(CO)O)(C(CO)O)O)=O	70f6142c88b73f5b
G2	C(CCO)(CC(C=O)=O)=O	90778772076ab1ae
G2	C(CO)(CCC(C=O)=O)=O	ceb9cc04712d11e
G2	C(C)(C(CC(C=O)=O)O)=O	5add6d2ac169e994
G2	C(CC(CC(C=O)=O)O)=O	d7675ca283a3e30d
G2	C(CC(C(CCO)=O)=O)=O	d082bdd83e607093
G2	C(CC(CC(CO)=O)=O)=O	98e35733dab398ad
G2	C(CC(C(C(C)=O)O)=O)=O	ffe1b6d9344ebbde
G2	C(CC(C(CC=O)O)=O)=O	e509178714f66e18
G2	C(C(C=O)O)(CC(C)=O)=O	ca6f542c8c03a704
G2	C(C(C(CCC=O)=O)O)=O	1dc47815ffa34ef
G2	C(C(CC(C(C)=O)=O)O)=O	711564ab3f119854
G2	C(CC(CC(C=O)O)=O)=O	e5b94ba94eda3906
G2	C1(CC(C(C(CO)O)O1)O)=O	74ab7b163a0c2019
G2	C1(COC(C(CO)O)C1O)=O	bfee8c1913fef43e
G2	C1(C(O)OC(C(CO)O)C1)=O	a1e58acbf418ba25
G2	C1(C(C(CO)O)OC(C1)O)=O	2b86e7bfc072449a
G2	C(C)(C1C(C(C(O1)O)O)O)=O	e31dab6376c57a47
G2	C(CC1C(C(C(O)O1)O)O)=O	265fc7c27bb56c9c
G2	C1(CC(C(C(CO)O1)O)O)=O	6bf434b96704efba
G2	C1(COC(CO)C(C1O)O)=O	eb8ab0693ddde900
G2	C1(C(O)OC(CO)C(C1)O)=O	3c4119e3ec77e125
G2	C1(C(C(CO)OC(C1)O)O)=O	836c3dfe5ec11b0d
G2	C1(C(C(O)OC(CO)C1)O)=O	4384c626914466b0
G2	C1(C(CO)OC(C(C1)O)O)=O	413fd100d1f8cdea
G2	C1(CC(C(C(CO1)O)O)O)=O	3b6ba16f50fd7c4a
G2	C1(COCC(C(C1O)O)O)=O	5956d8f1261291c4
G2	C1(C(O)OCC(C(C1)O)O)=O	480589c4a9a491a6
G2	C1(C(C(COC(C1)O)O)O)=O	4907527a20b1d286
G2	C1(C(C(O)OCC(C1)O)O)=O	90072831434ae6a6
G2	C1(C(COC(C(C1)O)O)O)=O	d20179335a25573f
G2	C1(C(C(C(O)OCC1)O)O)=O	6e1a196ea04f2c94
G2	C1(COC(C(C(C1)O)O)O)=O	698d4f0f8e28e224
G2	C(C(CO)O)=CC(C=O)=O	70d956d4633c5cb6
G2	C(C(C(C=CCO)=O)O)=O	15e33ccbb4da92e0
G2	C(C=CC(C(CO)O)=O)=O	477797a50f984fbf
G2	C(C(C(C(C=C)=O)O)O)=O	925ffb95da376655
G2	C(C(C=CC(CO)=O)O)=O	73d810937a330f0a
G2	C(C(C(C=CC=O)O)O)=O	621736cd8110a18b
G2	C1C(C(C(O)O1)O)O	aa34c1bec6c57a5b
G2	C(C1(C(C(C(CO)O1)O)O)O)O	e138935207df508
G2	C(C1(CC(C(CO)O1)O)O)=O	d5b413a6ef96729
G2	C(CC1(C(C(CO1)O)O)O)=O	7e5081dac9f2b7bf
G2	C(C(C1(CC(CO1)O)O)O)=O	311cea28c7f849c2
G2	C(C1C(CC(CO)(O1)O)O)=O	a3d06d7f776832b3
G2	C(C1C(C(C(C)(O1)O)O)O)=O	528483f00afa3112
G2	C(C(C1C(CC(O)O1)O)O)=O	dd5f8e3364216882
G2	C1C(C(C(C(CO)(O)O1)O)O)O	1ed7db63df6fb7a2
G2	C(C1(CC(C(CO1)O)O)O)=O	bb202fa64bfc0235
G2	C(C1C(C(CC(O1)O)O)O)=O	969a9303c7238e8e
G2	C1(C(C(C(C(CO)O)O1)O)O)=O	70e72cb22707c2f6
G2	C1(C(C(C(C(CO)O1)O)O)O)=O	3ca703018b14db42
G2	C1(C(C(C(C(CO1)O)O)O)O)=O	a0c865baa161b348
G3	C1(C(C(C(C1)O)O)O)=O	6a319f83e9006a28
G3	C1(C(C(C(CC1O)O)O)O)=O	109174a894e92f23
G3	C1(C(C(C(C1)O)(CO)O)O)=O	f427b2b0b5ca1b5d
G3	C1(C(CC(CO)(C1O)O)O)=O	f812bbb1e87c38d9
G3	C1(C(C(C(CO)(C1)O)O)O)=O	f56b339628dfbcd9
G3	C1(C(C(C(C)(C1O)O)O)O)=O	bf10bb4ac14e0ae3
G3	C1(C(C(CC(C1O)O)O)O)=O	91e4fd193097b2c7
G3	C1(C(CO)C(C(C1)=O)O)=O	80e7fb2ec4b43520
G3	C1(CCC(C(C1O)O)=O)=O	a40c532ca089bbd8
G3	C(C1(CCC(C1O)=O)O)=O	12609ca901487afb
G3	C1(CC(C(CC1O)=O)O)=O	2db937f5ca02df0a
G3	C(C1(CC(C(C1)=O)O)O)=O	75ff07951c0fe269
G3	C(C1C(CC(C1O)=O)O)=O	451a73ce35c2d243
G3	C1(C(CC(C1CO)O)=O)=O	8f1abb2eedd546ea
G3	C1(CC(C(C(C1)=O)O)O)=O	12784deb09cae2ed
G3	C1(CC(CC(C1O)=O)O)=O	20b6940548f0a581
G3	C(C1C(C(CC1O)O)=O)=O	cc00911ae3dc061b
G3	C(C1C(C(C(C1)=O)O)O)=O	228623b7eee99515
G3	C1(C(CC(C(C1)O)O)=O)=O	493011f946f4825e
G3	C(C1C(CC(C1O)O)=O)=O	eb805679bb455ed8
G3	C1C(C(C(C(C=1)=O)O)O)O	e55e11a71b728484
G3	C1(C(C(C(C(C1CO)O)O)O)O)=O	7890f3ac3387b066
G3	C(CO)(C(C(CO)(CO)O)O)=O	dcc0ab3dc4e0faad
G3	C(C(C)(C(C(CO)=O)O)O)=O	227856ae9cd2ad72
G3	C(C(CC(CO)(CO)O)=O)=O	9b1cef6e29f94a84
G3	C(CO)(CC(C(C(CO)=O)O)O)=O	3f27c845cb7766a7
G3	C(CC(CO)(C(C(CO)=O)O)O)=O	bd7da21af0c30962
G3	C(C(C(CO)=O)C(CO)(CO)O)=O	a2cee1d0022e7f36
G3	C(CC(C(C(CO)(CO)O)O)=O)=O	c1c19b8b8a15fa33
G3	C(C)(C(C(C(C(CO)=O)O)O)O)=O	33e3d60bd8ae311a
G3	C(C(C(C)(C(C(CO)=O)O)O)O)=O	e34b76da61b58e3a
G3	C(C(C(CC(CO)(CO)O)=O)O)=O	e71932e26927dffc
G3	C(C(C(C(CO)=O)O)O)=O	b8b2a641325ca733
G3	C(CO)(C(C(C)(C(CO)O)O)O)=O	87b8c54b5d7b1bdd
G3	C(C(CO)O)(CC(CO)(CO)O)=O	8dca64ec4ded157f
G3	C(C(C(C(CCO)=O)O)O)(CO)=O	b52c7c99759ec721
G3	C(C(CCO)(C(C(CO)=O)O)O)=O	853ca124a1696d16
G3	C(C(C(CO)C(CO)(CO)O)=O)=O	11416d24a878582
G3	C(CO)(C(C(CO)(CCO)O)O)=O	49cb1ad9a1b161f5
G3	C(C(C(CO)(CO)O)O)(CCO)=O	ac45240b7d8bb668
G3	C(CO)(C(CO)C(CO)(CO)O)=O	531889d07f670d1e
G3	C(C(C(C(C(CO)=O)O)O)O)=O	51dc64790282135e
G3	C(CO)(C(C(CO)(C)O)O)=O	e734b22b7a25d176
G3	C(CO)(CC(CO)(CO)O)=O	3a11b76ffbb77d1b
G3	C(C)(C(C(CO)(CO)O)O)=O	fd261d61257276eb
G3	C(CC(C(C(C(CO)=O)O)O)O)=O	441958e5465c1cc1
G3	C(C(CC(C(C(CO)=O)O)O)O)=O	31973becb4b8247b
G3	C(C(C(CO)(CO)O)C(C=O)O)=O	372a173b08e19f90
G3	C(CO)(C(C(C)O)O)=O	8c360bd0f72ea8cf
G3	C(CC(CO)(CO)O)=O	82f4575d431795ec
G3	C(C(C(CO)=O)C(C(CO)O)O)=O	176bbe22e9b8d418
G3	C(CC(C(C(C(CO)O)O)O)=O)=O	7b61bfa376322222
G3	C(C(C(CC(C(CO)O)O)=O)O)=O	75e2d922ef4cc876
G3	C(C(CO)O)(CC(C(CO)O)O)=O	915b59cd394966e5
G3	C(C(C(CO)C(C(CO)O)O)=O)=O	bf78a8214f379497
