Generation	Inchi	Smiles	Pathway
G1	YTBSYETUWUMLBZ	C(C(C(CO)O)O)=O	['C(C(C(CO)O)O)=O', ['7_0', 'Aldol Condensation'], 'C(CO)=O']
G2	RNZJRDIKDNXKIJ	C(C(C(C(CO)O)O)N)=O	['C(C(C(C(CO)O)O)N)=O', ['19_0', 'Aldol Condensation'], 'C(C(CO)O)=O', ['5_0', 'Aldol Condensation'], 'C=O']
G2	PYMYPHUHKUWMLA	C(C(C(C(CO)O)O)O)=O	['C(C(C(C(CO)O)O)O)=O', ['27_0', 'Aldol Condensation'], 'C(CO)=O']
G2	JIDVIMQFVJVPPX	C(C(C(CN)O)O)=O	['C(C(C(CN)O)O)=O', ['31_0', 'Aldol Condensation'], 'C(CO)=O']
G2	UQNPMNUVBRVOCQ	C(C(C(CO)O)N)=O	['C(C(C(CO)O)N)=O', ['33_0', 'Aldol Condensation'], 'C(CO)=O']
G2	UQPHVQVXLPRNCX	C(CO)(C(CO)O)=O	['C(CO)(C(CO)O)=O', ['41_0', 'Keto-enol migration twice'], 'C(C(C(CO)O)O)=O', ['7_0', 'Aldol Condensation'], 'C(CO)=O']
G2	WZDHWMRAASHPBX	C(CN)(C(CO)O)=O	['C(CN)(C(CO)O)=O', ['49_0', 'Amadori/Heyns Rearrangement'], 'N']
G2	PEDCQBHIVMGVHV	C(C(CO)O)O	['C(C(CO)O)O', ['53_0', 'Cannizarro 2, HCHO (oxidation)'], 'C=O']
G2	UNXHWFMMPAWVPI	C(C(C(CO)O)O)O	['C(C(C(CO)O)O)O', ['55_0', 'Cannizarro 2, HCHO (oxidation)'], 'C=O']
G2	RBNPOMFGQQGHHO	C(C(CO)O)(O)=O	['C(C(CO)O)(O)=O', ['59_0', 'Cannizarro 2, HCHO (reduction)'], 'C=O']
G2	JPIJQSOTBSSVTP	C(C(C(CO)O)O)(O)=O	['C(C(C(CO)O)O)(O)=O', ['61_0', 'Cannizarro 2, HCHO (reduction)'], 'C=O']
G2	MMZWUQKSIXGQLM	C(C(CO)(C(CN)O)O)=O	['C(C(CO)(C(CN)O)O)=O', ['67_0', 'Knoevenagel C'], 'C(C(CO)O)=O', ['5_0', 'Aldol Condensation'], 'C=O']
G2	OUEKYUKJSLEOIU	C(C(CO)(CO)O)=O	['C(C(CO)(CO)O)=O', ['71_0', 'Knoevenagel C'], 'C=O']
G2	XUSNIIKGKKSRDZ	C(C(CO)(C(CO)O)O)=O	['C(C(CO)(C(CO)O)O)=O', ['73_0', 'Knoevenagel C'], 'C=O']
