Generation	Smiles	Inchi	Pathway
G1	C(C(C(CO)O)O)=O	YTBSYETUWUMLBZ	['C(C(C(CO)O)O)=O', ['6_0', 'Aldol Condensation'], 'C(CO)=O']
G2	C(C(C(C(CO)O)O)O)=O	PYMYPHUHKUWMLA	['C(C(C(C(CO)O)O)O)=O', ['16_0', 'Aldol Condensation'], 'C(CO)=O']
G2	C(CO)(C(CO)O)=O	UQPHVQVXLPRNCX	['C(CO)(C(CO)O)=O', ['26_0', 'Keto-enol migration twice'], 'C(C(C(CO)O)O)=O', ['6_0', 'Aldol Condensation'], 'C(CO)=O']
G2	C(C(CO)O)O	PEDCQBHIVMGVHV	['C(C(CO)O)O', ['28_0', 'Cannizarro 2, HCHO (oxidation)'], 'C=O']
G2	C(C(C(CO)O)O)O	UNXHWFMMPAWVPI	['C(C(C(CO)O)O)O', ['30_0', 'Cannizarro 2, HCHO (oxidation)'], 'C=O']
G2	C(C(CO)O)(O)=O	RBNPOMFGQQGHHO	['C(C(CO)O)(O)=O', ['32_0', 'Cannizarro 2, HCHO (reduction)'], 'C=O']
G2	C(C(C(CO)O)O)(O)=O	JPIJQSOTBSSVTP	['C(C(C(CO)O)O)(O)=O', ['34_0', 'Cannizarro 2, HCHO (reduction)'], 'C=O']
G2	C(C(CO)(CO)O)=O	OUEKYUKJSLEOIU	['C(C(CO)(CO)O)=O', ['38_0', 'Knoevenagel C'], 'C=O']
G2	C(C(CO)(C(CO)O)O)=O	XUSNIIKGKKSRDZ	['C(C(CO)(C(CO)O)O)=O', ['40_0', 'Knoevenagel C'], 'C=O']
G2	C1C(C(C(O)O1)O)O	FMAORJIQYMIRHF	['C1C(C(C(O)O1)O)O', ['65_0', 'Hemiacetal Formation for 5 membered rings'], 'C(C(C(CO)O)O)=O', ['6_0', 'Aldol Condensation'], 'C(CO)=O']
G3	C(C(C(C(CO)=O)O)O)=O	XIIKTJZKWRJKSI	['C(C(C(C(CO)=O)O)O)=O', ['69_0', 'Aldol Condensation'], 'C(C=O)=O', ['20_0', 'Benzilic Acid Rearrangement (inverse)'], 'C(CO)(O)=O', ['14_0', 'Cannizarro 2, HCHO (reduction)'], 'C=O']
G3	C(CC(C(C(CO)=O)O)O)=O	DPJVCISCLBZLDP	['C(CC(C(C(CO)=O)O)O)=O', ['90_0', 'Aldol Condensation'], 'C(CO)(CO)=O', ['24_0', 'Keto-enol migration twice'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G3	C(C(C=O)C(CO)(CO)O)=O	HWDQZMAZCTUFGO	['C(C(C=O)C(CO)(CO)O)=O', ['92_0', 'Aldol Condensation'], 'C(CO)(CO)=O', ['24_0', 'Keto-enol migration twice'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G3	C(C(C)(C(C(CO)=O)O)O)=O	HCDKHGUYCIRFGC	['C(C(C)(C(C(CO)=O)O)O)=O', ['94_0', 'Aldol Condensation'], 'C(CO)(CO)=O', ['24_0', 'Keto-enol migration twice'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
G3	C(C)(C(C(C(CO)=O)O)O)=O	KFHNTUHHTDAEOF	['C(C)(C(C(C(CO)=O)O)O)=O', ['96_0', 'Aldol Condensation'], 'C(CO)(CO)=O', ['24_0', 'Keto-enol migration twice'], 'C(C(CO)O)=O', ['4_0', 'Aldol Condensation'], 'C=O']
