Generation	Inchi	Smiles	Pathway
G1	YTBSYETUWUMLBZ	C(C(C(CO)O)O)=O	['C(C(C(CO)O)O)=O', ['5_0', 'Retro Aldol'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G1	ZGCHLOWZNKRZSN	C(C(CC(C(CO)O)O)=O)=O	['C(C(CC(C(CO)O)O)=O)=O', ['14_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G1	RXVDSZVTHMJWNV	C(CC(C(C(CO)O)O)=O)=O	['C(CC(C(C(CO)O)O)=O)=O', ['16_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G1	QBHBJCPWTMMDIG	C(C(C(CC(CO)O)=O)O)=O	['C(C(C(CC(CO)O)=O)O)=O', ['18_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G1	LVYQXQPAYHNLQF	C(CC(C=O)O)(C(CO)O)=O	['C(CC(C=O)O)(C(CO)O)=O', ['20_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G1	KTQQRSZBGCOSES	C(C(C(C=O)O)O)(CCO)=O	['C(C(C(C=O)O)O)(CCO)=O', ['22_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G1	ZNSXGNZNZVWMBM	C(C(C(CC(CO)=O)O)O)=O	['C(C(C(CC(CO)=O)O)O)=O', ['24_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G1	MKKWPESNDMZCAX	C(C(C(C(C(C)=O)O)O)O)=O	['C(C(C(C(C(C)=O)O)O)O)=O', ['26_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G1	DRFVLWXFACEMHK	C(CC(C(C(C=O)O)O)O)=O	['C(CC(C(C(C=O)O)O)O)=O', ['28_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G1	XBBIACPUMILHFE	C(CN)(C(C(C(CO)O)O)O)=O	['C(CN)(C(C(C(CO)O)O)O)=O', ['9_0', 'Amadori/Heyns Rearrangement'], 'N']
