Generation	Smiles	Inchi	Pathway
G1	C(C(C(CO)O)O)=O	YTBSYETUWUMLBZ	['C(C(C(CO)O)O)=O', ['4_0', 'Retro Aldol'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['40_0', 'Aldol Condensation'], 'C(CO)=O']
G1	C(C(CC(C(CO)O)O)=O)=O	ZGCHLOWZNKRZSN	['C(C(CC(C(CO)O)O)=O)=O', ['11_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['40_0', 'Aldol Condensation'], 'C(CO)=O']
G1	C(CC(C(C(CO)O)O)=O)=O	RXVDSZVTHMJWNV	['C(CC(C(C(CO)O)O)=O)=O', ['13_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['40_0', 'Aldol Condensation'], 'C(CO)=O']
G1	C(C(C(CC(CO)O)=O)O)=O	QBHBJCPWTMMDIG	['C(C(C(CC(CO)O)=O)O)=O', ['15_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['40_0', 'Aldol Condensation'], 'C(CO)=O']
G1	C(CC(C=O)O)(C(CO)O)=O	LVYQXQPAYHNLQF	['C(CC(C=O)O)(C(CO)O)=O', ['17_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['40_0', 'Aldol Condensation'], 'C(CO)=O']
G1	C(C(C(C=O)O)O)(CCO)=O	KTQQRSZBGCOSES	['C(C(C(C=O)O)O)(CCO)=O', ['19_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['40_0', 'Aldol Condensation'], 'C(CO)=O']
G1	C(C(C(CC(CO)=O)O)O)=O	ZNSXGNZNZVWMBM	['C(C(C(CC(CO)=O)O)O)=O', ['21_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['40_0', 'Aldol Condensation'], 'C(CO)=O']
G1	C(C(C(C(C(C)=O)O)O)O)=O	MKKWPESNDMZCAX	['C(C(C(C(C(C)=O)O)O)O)=O', ['23_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['40_0', 'Aldol Condensation'], 'C(CO)=O']
G1	C(CC(C(C(C=O)O)O)O)=O	DRFVLWXFACEMHK	['C(CC(C(C(C=O)O)O)O)=O', ['25_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['40_0', 'Aldol Condensation'], 'C(CO)=O']
G2	C1(C(C(C(C1CO)O)O)O)=O	LKUVPWZWJWOYKB	['C1(C(C(C(C1CO)O)O)O)=O', ['33_0', 'Aldol Condensation'], 'C(C(C(C=O)O)O)(CCO)=O', ['19_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['40_0', 'Aldol Condensation'], 'C(CO)=O']
G2	C1(C(C(C(C(C1)O)O)O)O)=O	GZYCZKBRQBKGJW	['C1(C(C(C(C(C1)O)O)O)O)=O', ['35_0', 'Aldol Condensation'], 'C(C(C(CC(CO)=O)O)O)=O', ['21_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['40_0', 'Aldol Condensation'], 'C(CO)=O']
G2	C(C1C(C(C(C1O)O)O)O)=O	FWWLBYLLLIZJAL	['C(C1C(C(C(C1O)O)O)O)=O', ['38_0', 'Aldol Condensation'], 'C(CC(C(C(C=O)O)O)O)=O', ['25_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['40_0', 'Aldol Condensation'], 'C(CO)=O']
G2	C(CO)(C(CO)O)=O	UQPHVQVXLPRNCX	['C(CO)(C(CO)O)=O', ['80_0', 'Keto-enol migration twice'], 'C(C(C(CO)O)O)=O', ['4_0', 'Retro Aldol'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['40_0', 'Aldol Condensation'], 'C(CO)=O']
G2	C(CC(C(C(CO)O)=O)O)=O	ZJCIIXYSVSASQO	['C(CC(C(C(CO)O)=O)O)=O', ['85_0', 'Keto-enol migration twice'], 'C(CC(C(C(CO)O)O)=O)=O', ['13_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['40_0', 'Aldol Condensation'], 'C(CO)=O']
G2	C(C(CO)=O)(CC(CO)O)=O	OKVIFNQBEGMUGM	['C(C(CO)=O)(CC(CO)O)=O', ['87_0', 'Keto-enol migration twice'], 'C(C(C(CC(CO)O)=O)O)=O', ['15_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['40_0', 'Aldol Condensation'], 'C(CO)=O']
G2	C(C(C(CC(CO)O)O)=O)=O	LZWSFTUENIWOJY	['C(C(C(CC(CO)O)O)=O)=O', ['89_0', 'Keto-enol migration twice'], 'C(C(C(CC(CO)O)=O)O)=O', ['15_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['40_0', 'Aldol Condensation'], 'C(CO)=O']
G2	C(C(CO)O)(CC(CO)=O)=O	JVFNKFJEKRIBEO	['C(C(CO)O)(CC(CO)=O)=O', ['91_0', 'Keto-enol migration twice'], 'C(CC(C=O)O)(C(CO)O)=O', ['17_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['40_0', 'Aldol Condensation'], 'C(CO)=O']
G2	C(C(CC(C(CO)=O)O)O)=O	IIVQAABKLUTFMY	['C(C(CC(C(CO)=O)O)O)=O', ['93_0', 'Keto-enol migration twice'], 'C(CC(C=O)O)(C(CO)O)=O', ['17_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['40_0', 'Aldol Condensation'], 'C(CO)=O']
G2	C(CCO)(C(C(CO)=O)O)=O	RWEGJCQFZKJRNT	['C(CCO)(C(C(CO)=O)O)=O', ['95_0', 'Keto-enol migration twice'], 'C(C(C(C=O)O)O)(CCO)=O', ['19_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['40_0', 'Aldol Condensation'], 'C(CO)=O']
G2	C(C(C(C(CCO)O)=O)O)=O	KQLFTMYZWPHWPS	['C(C(C(C(CCO)O)=O)O)=O', ['97_0', 'Keto-enol migration twice'], 'C(C(C(C=O)O)O)(CCO)=O', ['19_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['40_0', 'Aldol Condensation'], 'C(CO)=O']
