Generation	Smiles	Inchi	Pathway
G1	C(C(CO)O)(O)=O	RBNPOMFGQQGHHO	['C(C(CO)O)(O)=O', ['5_0', 'Hydration of C(=O)C'], 'C(C(C)=O)(O)=O', ['23_0', 'Retro Aldol'], 'C(C(C)(CC(C(O)=O)=O)O)(O)=O', ['150_0', 'Benzilic Acid Rearrangement'], 'O']
G2	C(C(CO)(C(C)O)O)(O)=O	WKRKESUWTIYINN	['C(C(CO)(C(C)O)O)(O)=O', ['25_0', 'Knoevenagel C'], 'C(C(CO)O)(O)=O', ['5_0', 'Hydration of C(=O)C'], 'C(C(C)=O)(O)=O', ['23_0', 'Retro Aldol'], 'C(C(C)(CC(C(O)=O)=O)O)(O)=O', ['150_0', 'Benzilic Acid Rearrangement'], 'O']
G3	C(C(C(CC(O)=O)O)C(C)O)=O	YTCZJXDURLPWNQ	['C(C(C(CC(O)=O)O)C(C)O)=O', ['55_0', 'Aldol Condensation'], 'C(CC(C)O)=O', ['10_0', 'Aldol Condensation'], 'C(C)=O', ['8_0', 'Alpha-Keto Acid Decarboxylation'], 'C(C(C)=O)(O)=O', ['23_0', 'Retro Aldol'], 'C(C(C)(CC(C(O)=O)=O)O)(O)=O', ['150_0', 'Benzilic Acid Rearrangement'], 'O']
G3	C(C(C=O)C(CC(C)O)O)(O)=O	IHSFWOVWMRACIR	['C(C(C=O)C(CC(C)O)O)(O)=O', ['57_0', 'Aldol Condensation'], 'C(CC(C)O)=O', ['10_0', 'Aldol Condensation'], 'C(C)=O', ['8_0', 'Alpha-Keto Acid Decarboxylation'], 'C(C(C)=O)(O)=O', ['23_0', 'Retro Aldol'], 'C(C(C)(CC(C(O)=O)=O)O)(O)=O', ['150_0', 'Benzilic Acid Rearrangement'], 'O']
G3	C(C(C(C)O)C(C(CO)=O)O)=O	CPUSMWJJBISCJI	['C(C(C(C)O)C(C(CO)=O)O)=O', ['59_0', 'Aldol Condensation'], 'C(CC(C)O)=O', ['10_0', 'Aldol Condensation'], 'C(C)=O', ['8_0', 'Alpha-Keto Acid Decarboxylation'], 'C(C(C)=O)(O)=O', ['23_0', 'Retro Aldol'], 'C(C(C)(CC(C(O)=O)=O)O)(O)=O', ['150_0', 'Benzilic Acid Rearrangement'], 'O']
G3	C(C(C(C)O)C(C=O)(CO)O)=O	FDSHEHPBHWGLQY	['C(C(C(C)O)C(C=O)(CO)O)=O', ['61_0', 'Aldol Condensation'], 'C(CC(C)O)=O', ['10_0', 'Aldol Condensation'], 'C(C)=O', ['8_0', 'Alpha-Keto Acid Decarboxylation'], 'C(C(C)=O)(O)=O', ['23_0', 'Retro Aldol'], 'C(C(C)(CC(C(O)=O)=O)O)(O)=O', ['150_0', 'Benzilic Acid Rearrangement'], 'O']
G3	C(C(C(C(CC(C)O)O)O)=O)=O	RLPBKLOISADAAA	['C(C(C(C(CC(C)O)O)O)=O)=O', ['63_0', 'Aldol Condensation'], 'C(CC(C)O)=O', ['10_0', 'Aldol Condensation'], 'C(C)=O', ['8_0', 'Alpha-Keto Acid Decarboxylation'], 'C(C(C)=O)(O)=O', ['23_0', 'Retro Aldol'], 'C(C(C)(CC(C(O)=O)=O)O)(O)=O', ['150_0', 'Benzilic Acid Rearrangement'], 'O']
G3	C(C(C(CO)C(C)O)=O)(O)=O	OTZRLOUETUNNPF	['C(C(C(CO)C(C)O)=O)(O)=O', ['77_0', 'Aldol Condensation'], 'C(C(CC(C)O)=O)(O)=O', ['14_0', 'Aldol Condensation'], 'C(C(C)=O)(O)=O', ['23_0', 'Retro Aldol'], 'C(C(C)(CC(C(O)=O)=O)O)(O)=O', ['150_0', 'Benzilic Acid Rearrangement'], 'O']
G3	C(C(CO)C(C(O)=O)(C)O)=O	BFZNNUQWZSQLIJ	['C(C(CO)C(C(O)=O)(C)O)=O', ['79_0', 'Aldol Condensation'], 'C(C(C)(CC=O)O)(O)=O', ['16_0', 'Aldol Condensation'], 'C(C(C)=O)(O)=O', ['23_0', 'Retro Aldol'], 'C(C(C)(CC(C(O)=O)=O)O)(O)=O', ['150_0', 'Benzilic Acid Rearrangement'], 'O']
G3	C(C(CC(C)O)(CC=O)O)(O)=O	VWVQXOPQCDMBFD	['C(C(CC(C)O)(CC=O)O)(O)=O', ['107_0', 'Aldol Condensation'], 'C(C)=O', ['8_0', 'Alpha-Keto Acid Decarboxylation'], 'C(C(C)=O)(O)=O', ['23_0', 'Retro Aldol'], 'C(C(C)(CC(C(O)=O)=O)O)(O)=O', ['150_0', 'Benzilic Acid Rearrangement'], 'O']
G3	C(C(C(C(C)O)C(C)O)=O)(O)=O	DKTZGQOJHCXEEP	['C(C(C(C(C)O)C(C)O)=O)(O)=O', ['109_0', 'Aldol Condensation'], 'C(C)=O', ['8_0', 'Alpha-Keto Acid Decarboxylation'], 'C(C(C)=O)(O)=O', ['23_0', 'Retro Aldol'], 'C(C(C)(CC(C(O)=O)=O)O)(O)=O', ['150_0', 'Benzilic Acid Rearrangement'], 'O']
G3	C(C(C)(CC(CC=O)O)O)(O)=O	DMMYGKQJPXLURW	['C(C(C)(CC(CC=O)O)O)(O)=O', ['111_0', 'Aldol Condensation'], 'C(C)=O', ['8_0', 'Alpha-Keto Acid Decarboxylation'], 'C(C(C)=O)(O)=O', ['23_0', 'Retro Aldol'], 'C(C(C)(CC(C(O)=O)=O)O)(O)=O', ['150_0', 'Benzilic Acid Rearrangement'], 'O']
G3	C(C(C(C)O)C(C(O)=O)(C)O)=O	MGQBJYDCWJLMCR	['C(C(C(C)O)C(C(O)=O)(C)O)=O', ['113_0', 'Aldol Condensation'], 'C(C)=O', ['8_0', 'Alpha-Keto Acid Decarboxylation'], 'C(C(C)=O)(O)=O', ['23_0', 'Retro Aldol'], 'C(C(C)(CC(C(O)=O)=O)O)(O)=O', ['150_0', 'Benzilic Acid Rearrangement'], 'O']
G3	C(C(CC(CC(C)O)O)=O)(O)=O	CLJFVEVVBOUFBJ	['C(C(CC(CC(C)O)O)=O)(O)=O', ['137_0', 'Aldol Condensation'], 'C(C(C)=O)(O)=O', ['23_0', 'Retro Aldol'], 'C(C(C)(CC(C(O)=O)=O)O)(O)=O', ['150_0', 'Benzilic Acid Rearrangement'], 'O']
G3	C(C(C)(CCO)O)(O)=O	WPTOKOVIJAZOHE	['C(C(C)(CCO)O)(O)=O', ['184_0', 'Cannizarro 2, HCHO (oxidation)'], 'O']
G3	C(C(C)(CC(O)=O)O)(O)=O	XFTRTWQBIOMVPK	['C(C(C)(CC(O)=O)O)(O)=O', ['196_0', 'Cannizarro 2, HCHO (reduction)'], 'O']
G3	C(C(CO)(CO)O)(O)=O	OJSKBWPAXWEHAA	['C(C(CO)(CO)O)(O)=O', ['210_0', 'Knoevenagel C'], 'C(C(CO)O)(O)=O', ['5_0', 'Hydration of C(=O)C'], 'C(C(C)=O)(O)=O', ['23_0', 'Retro Aldol'], 'C(C(C)(CC(C(O)=O)=O)O)(O)=O', ['150_0', 'Benzilic Acid Rearrangement'], 'O']
G3	C(C(C(CC(C)O)O)O)(O)=O	RADXXSNGCSTPSV	['C(C(C(CC(C)O)O)O)(O)=O', ['212_0', 'Knoevenagel H'], 'C(CC(C)O)=O', ['10_0', 'Aldol Condensation'], 'C(C)=O', ['8_0', 'Alpha-Keto Acid Decarboxylation'], 'C(C(C)=O)(O)=O', ['23_0', 'Retro Aldol'], 'C(C(C)(CC(C(O)=O)=O)O)(O)=O', ['150_0', 'Benzilic Acid Rearrangement'], 'O']
G3	C(C(C(C)O)O)(O)=O	LOUGYXZSURQALL	['C(C(C(C)O)O)(O)=O', ['221_0', 'Knoevenagel H'], 'C(C)=O', ['8_0', 'Alpha-Keto Acid Decarboxylation'], 'C(C(C)=O)(O)=O', ['23_0', 'Retro Aldol'], 'C(C(C)(CC(C(O)=O)=O)O)(O)=O', ['150_0', 'Benzilic Acid Rearrangement'], 'O']
G3	C(C(C=C)(CO)O)(O)=O	SLQLBHNBWFDOTA	['C(C(C=C)(CO)O)(O)=O', ['261_0', 'Elimination2'], 'C(C(CO)(C(C)O)O)(O)=O', ['25_0', 'Knoevenagel C'], 'C(C(CO)O)(O)=O', ['5_0', 'Hydration of C(=O)C'], 'C(C(C)=O)(O)=O', ['23_0', 'Retro Aldol'], 'C(C(C)(CC(C(O)=O)=O)O)(O)=O', ['150_0', 'Benzilic Acid Rearrangement'], 'O']
G3	CC(C(CO)O)O	YAXKTBLXMTYWDQ	['CC(C(CO)O)O', ['277_0', 'Hydration of C(=O)C'], 'O']
G3	C(C(C(C(C)O)O)O)(O)=O	CHUMGDDVFASTDV	['C(C(C(C(C)O)O)O)(O)=O', ['280_0', 'Hydration of C(=O)C'], 'O']
G3	C(C(C)(C(CO)O)O)(O)=O	UXJDESUVPBNUTB	['C(C(C)(C(CO)O)O)(O)=O', ['282_0', 'Hydration of C(=O)C'], 'O']
G4	C1(C(C(C(C1O)O)C(C)O)O)=O	BZNNDJKSFMVVFY	['C1(C(C(C(C1O)O)C(C)O)O)=O', ['332_0', 'Aldol Condensation'], 'C(C(C(C)O)C(C(CO)=O)O)=O', ['59_0', 'Aldol Condensation'], 'C(CC(C)O)=O', ['10_0', 'Aldol Condensation'], 'C(C)=O', ['8_0', 'Alpha-Keto Acid Decarboxylation'], 'C(C(C)=O)(O)=O', ['23_0', 'Retro Aldol'], 'C(C(C)(CC(C(O)=O)=O)O)(O)=O', ['150_0', 'Benzilic Acid Rearrangement'], 'O']
G4	C1(C(C(CC1O)O)O)=O	UYXNQXGILWQCMO	['C1(C(C(CC1O)O)O)=O', ['343_0', 'Aldol Condensation'], 'C(CC(C(CO)=O)O)=O', ['119_0', 'Aldol Condensation'], 'C(C)=O', ['8_0', 'Alpha-Keto Acid Decarboxylation'], 'C(C(C)=O)(O)=O', ['23_0', 'Retro Aldol'], 'C(C(C)(CC(C(O)=O)=O)O)(O)=O', ['150_0', 'Benzilic Acid Rearrangement'], 'O']
G4	C(C(CO)C(CCO)O)=O	LPRRSVCCPPMUTK	['C(C(CO)C(CCO)O)=O', ['380_0', 'Aldol Condensation'], 'C(CCO)=O', ['125_0', 'Aldol Condensation'], 'C(C)=O', ['8_0', 'Alpha-Keto Acid Decarboxylation'], 'C(C(C)=O)(O)=O', ['23_0', 'Retro Aldol'], 'C(C(C)(CC(C(O)=O)=O)O)(O)=O', ['150_0', 'Benzilic Acid Rearrangement'], 'O']
G4	C(C(CO)C(C(C=O)O)O)=O	LSXJNSZWMLDYSX	['C(C(CO)C(C(C=O)O)O)=O', ['398_0', 'Aldol Condensation'], 'C(CCO)=O', ['125_0', 'Aldol Condensation'], 'C(C)=O', ['8_0', 'Alpha-Keto Acid Decarboxylation'], 'C(C(C)=O)(O)=O', ['23_0', 'Retro Aldol'], 'C(C(C)(CC(C(O)=O)=O)O)(O)=O', ['150_0', 'Benzilic Acid Rearrangement'], 'O']
G4	C(C(CO)C(CO)(CO)O)=O	PQESEVRWNSLGOR	['C(C(CO)C(CO)(CO)O)=O', ['400_0', 'Aldol Condensation'], 'C(CCO)=O', ['125_0', 'Aldol Condensation'], 'C(C)=O', ['8_0', 'Alpha-Keto Acid Decarboxylation'], 'C(C(C)=O)(O)=O', ['23_0', 'Retro Aldol'], 'C(C(C)(CC(C(O)=O)=O)O)(O)=O', ['150_0', 'Benzilic Acid Rearrangement'], 'O']
G4	C(CO)(C(C(CCO)O)O)=O	XHRNJZRZXZGBMY	['C(CO)(C(C(CCO)O)O)=O', ['402_0', 'Aldol Condensation'], 'C(CCO)=O', ['125_0', 'Aldol Condensation'], 'C(C)=O', ['8_0', 'Alpha-Keto Acid Decarboxylation'], 'C(C(C)=O)(O)=O', ['23_0', 'Retro Aldol'], 'C(C(C)(CC(C(O)=O)=O)O)(O)=O', ['150_0', 'Benzilic Acid Rearrangement'], 'O']
