SMILES tag	Canonical Code
C1(=O)[C@@H]([C@](C[C@@H]1OC)(CO)O)O[H]	100005ef1f146e9e
C1(=O)[C@H](C[C@@]([C@H]1O)(CO)O[H])OC	100005ef1f146e9e
C1(=O)[C@H](C[C@@]([C@H]1O)(CO[H])O)OC	100005ef1f146e9e
C1[C@]2([C@@H]3[C@H]([C@]1([C@H]([C@H]2O)O3)O)O)N([H])[H]	10001cb9324cb696
C(C[C@H]([C@H](CO)O)O)[C@H](CO)N([H])[H]	10002b60a4e6126f
C1(=O)C[C@H]([C@@]([C@H]1O)(C)N([H])[H])CO	10003433c8077b4e
C1CO[C@@]([C@@H](C)O1)([C@@H](CO)O)N([H])[H]	10003436a4575c22
C(=C(\C[C@](C=O)(CO)O)/OC)/N([H])[H]	10003ef027364ffe
C1[C@H]([C@H](COCOC[C@H]1O)O)N([H])[H]	1000413dd5a8f1b7
C1(=O)[C@@H](C[C@H](C=O)[C@@H]([C@H]1O)O)N([H])[H]	10004d53febb65ae
C(=O)[C@H]([C@@H]([C@@H](CN([H])[H])[C@H](C)O)O)O	100056fe8c56d70d
C1[C@]2([C@@H]3CO[C@H]2[C@H]([C@]1(O3)N([H])[H])O)O	1000573eb276201a
C(=O)[C@H](C[C@@](C=O)(CO)N([H])[H])O	10005adb8a6aae78
C(=C(\C)/O[C@H](CO)[C@H](C=O)O)\O[H]	1000673be99c245b
C(=O)(CO)[C@H](COC[C@@H](C)O)N([H])[H]	100085a05c7e3617
C1[C@@H]([C@H]([C@H]([C@H]([C@@H]1OC)O)N([H])[H])O)O	100097e3238487a9
C1[C@H]([C@]2([C@@H]([C@@H]([C@H]1O2)O)O)OC)N([H])[H]	1000b7b1e629eee7
C1=C([C@](C=O)([C@@H](O[C@@H]1C)O)O)O[H]	1000ba5f73fc0d01
C(=O)([C@@H]1[C@@H]([C@H](O[C@H]1CC)O)N([H])[H])O	1000ea6f0c515deb
C1CO[C@@H](CO)O[C@@]1([C@@H](C)O)O[H]	1000f7ed09e19f86
C(=O)[C@@H](C[C@@H](C[C@H](OC)O[H])O)O	1000fc2f464b9a07
C=C(CN([H])[H])[C@H]([C@H](CC=O)O)O	1000fcb11e4eaff9
C1(=O)[C@H]2[C@H](CC[C@]1([C@H](O2)O)O[H])O	100109fb33166092
C1(=O)[C@H]2[C@H](CC[C@]1([C@H](O2)O[H])O)O	100109fb33166092
C1[C@@H]([C@H]([C@@H]([C@]1([C@@H](C)O)N([H])[H])O)O)O	10011c65771647f1
C(=O)([C@H](C)[C@H]([C@](C)(OC)O[H])O)O	10012c240e9bb760
C1C[C@@](C[C@H]1O)([C@H](CO)O)N([H])[H]	1001366c1808dc7
C(=O)([C@H](C(=O)O)C)[C@@H](CN([H])[H])O	100154ca9c87e28b
C(=C\[C@@H](CO)[C@@H](OC)N([H])[H])/CO	1001673d5507d855
C12=C([C@H](C[C@@H]2[C@H](OC1)O)O)N([H])[H]	10016e0059d19940
C1[C@H]2CO[C@H]([C@H]([C@H]([C@@H]2O)O)O1)O[H]	10017caa26300273
C1[C@H]2CO[C@H]([C@H]([C@H]([C@@H]2O)O[H])O1)O	10017caa26300273
C1[C@H]2CO[C@H]([C@H]([C@H]([C@@H]2O[H])O)O1)O	10017caa26300273
C\1(=C/N([H])[H])/[C@H]2[C@@H]([C@H]([C@@H]([C@H]1O)O2)O)O	10017ee738d61fb8
C(=O)([C@]1(C[C@@H](OC1)O)O)N([H])[H]	10019a3e8fbc9690
C(=C\[C@@H](CO)O[C@@H](CO)O[H])/C=O	10019c22f9125cb2
C(=C\[C@H](CO)O)\CCO[H]	1001a5814226c16b
