Generation	Smiles
G1	C(C(C(CO)O)O)=O
G2	C(C(C(C(CO)O)O)N)=O
G2	C(C(C(C(CO)O)O)O)=O
G2	C(C(C(CN)O)O)=O
G2	C(C(C(CO)O)N)=O
G2	C(CO)(C(CO)O)=O
G2	C(CN)(C(CO)O)=O
G2	C(C(CO)O)O
G2	C(C(C(CO)O)O)O
G2	C(C(CO)O)(O)=O
G2	C(C(C(CO)O)O)(O)=O
G2	C(C(CO)(C(CN)O)O)=O
G2	C(C(CO)(CO)O)=O
G2	C(C(CO)(C(CO)O)O)=O
G2	C(C(C(CN)O)O)(O)=O
G2	C(C(C(CO)N)O)=O
G2	C1C(C(C(O)O1)O)O
G2	C(C(C(C(CO)O)O)N)=O
G2	C(C(C(C(C(CO)O)O)O)N)=O
G2	C(C(C(CN)O)N)=O
G2	C(C(C(CN)O)O)=O
G2	C(C(C(CO)O)N)=O
G2	C(CNCC=O)(C(CO)O)=O
G2	C(CN)(C(CO)O)=O
G2	C(C(CO)(C(CN)O)O)=O
G2	C(C(C(CO)O)(C(CN)O)O)=O
G2	C(C(C(CN)O)O)(O)=O
G2	C(C(C(CO)NCC=O)O)=O
G2	C(C(C(CO)N)O)=O
G3	C(C(C=O)C(C(CO)N)O)=O
G3	C(C(CC(C(CO)N)O)=O)=O
G3	C(CC(C(CO)N)O)=O
G3	C(CC(C(C(CN)O)O)O)=O
G3	C(CC(C(C(CO)O)N)O)=O
G3	C(C(C(C(CO)=O)O)O)=O
G3	C(C(C(C(CN)=O)O)O)=O
G3	C(C(C(C(CO)=O)N)O)=O
G3	C(CC(C(C(CO)=O)O)O)=O
G3	C(C(C=O)C(CO)(CO)O)=O
G3	C(C(C)(C(C(CO)=O)O)O)=O
G3	C(C)(C(C(C(CO)=O)O)O)=O
G3	C(C(CC(CO)(CO)O)=O)=O
G3	C(CO)(C(C(C)O)O)=O
G3	C(CC(CO)(CO)O)=O
G3	C(C(C(C)O)O)(C(CO)O)=O
G3	C(CC(CO)(C(CO)O)O)=O
G3	C(CC(C(C(CN)=O)O)O)=O
G3	C(CC(C(C(CO)=O)N)O)=O
G3	C(C(C=O)C(CO)(CN)O)=O
G3	C(C(C)(C(C(CN)=O)O)O)=O
G3	C(C(C)(C(C(CO)=O)N)O)=O
G3	C(C)(C(C(C(CN)=O)O)O)=O
G3	C(CO)(C(C(C(C)=O)O)N)=O
G3	C(C(CC(CO)(CN)O)=O)=O
G3	C(CN)(C(C(C)O)O)=O
G3	C(CO)(C(C(C)O)N)=O
G3	C(CC(CO)(CN)O)=O
G3	C(C(CO)O)(C(C(C)O)N)=O
G3	C(CC(CN)(C(CO)O)O)=O
G3	C(CC(C(CO)(CO)O)O)=O
G3	C(C(C=O)C(C(CN)O)O)=O
G3	C(C(CC(C(CN)O)O)=O)=O
G3	C(CC(C(CN)O)O)=O
G3	C(CC(C(C(CO)N)O)O)=O
G3	C(C(C=O)C(C(CO)O)O)=O
G3	C(C(CC(C(CO)O)O)=O)=O
G3	C(CC(C(CO)O)O)=O
G3	C(CC(C(C(CO)O)O)O)=O
G3	C(C(C(CO)(CO)O)N)=O
G3	C(CO)(C(C(CN)O)O)=O
G3	C(C(CCO)(C(C=O)N)O)=O
G3	C(C(C(C(CCO)=O)O)N)=O
G3	C(C(C(CO)C(CN)O)=O)=O
G3	C(CC(C(C(C=O)N)O)O)=O
G3	C(C(C(CC(C=O)O)O)N)=O
G3	C(C(C(CN)O)C(C=O)O)=O
G3	C(C(C(CC(CO)=O)O)N)=O
G3	C(CC(CO)(C(C=O)N)O)=O
G3	C(C(C(CO)=O)C(CN)O)=O
G3	C(CC(C(C(CN)O)O)=O)=O
G3	C(C(C(C(C(C)=O)O)O)N)=O
G3	C(C(C(C)(C(C=O)O)O)N)=O
G3	C(C(C(CC(CN)O)=O)O)=O
G3	C(C(CO)O)(C(CO)O)=O
G3	C(CO)(C(CO)N)=O
G3	C(C(CO)O)(C(CO)N)=O
G3	C(C(C(C(CO)N)O)O)=O
G3	C(C(C(CO)(CO)O)O)=O
G3	C(CO)(C(C(CO)O)O)=O
G3	C(C(C(CO)(CN)O)O)=O
G3	C(CN)(C(C(CO)O)O)=O
G3	C(CO)(C(C(CO)O)N)=O
G3	C(C(CCO)(C(C=O)O)O)=O
G3	C(C(C(C=O)O)O)(CCO)=O
G3	C(C(C(CO)C(CO)O)=O)=O
G3	C(CC(C(C(C=O)O)O)O)=O
G3	C(C(C(CC(C=O)O)O)O)=O
G3	C(C(C(CO)O)C(C=O)O)=O
G3	C(C(C(CC(CO)=O)O)O)=O
G3	C(CC(CO)(C(C=O)O)O)=O
G3	C(C(C(CO)=O)C(CO)O)=O
G3	C(CC(C(C(CO)O)O)=O)=O
G3	C(C(C(C(C(C)=O)O)O)O)=O
G3	C(C(C(C)(C(C=O)O)O)O)=O
G3	C(C(C(CC(CO)O)=O)O)=O
G3	C(C(C(C(CN)O)O)O)=O
G3	C(C(CCO)O)(O)=O
G3	C(C(C(C(CO)O)O)=O)=O
G3	C(CO)(C(CN)O)=O
G3	C(C(C(C(CO)N)O)O)O
G3	C(C(CO)N)O
G3	C(C(C(C(CO)O)O)O)O
G3	C(C(C(CN)O)O)O
G3	C(C(C(CO)O)N)O
G3	C(C(CO)(C(CN)O)O)O
G3	C(C(CO)(CO)O)O
G3	C(C(CO)(C(CO)O)O)O
G3	C(C(CN)O)O
G3	C(C(CO)N)(O)=O
G3	C(C(C(CO)O)N)(O)=O
G3	C(C(CO)(CO)O)(O)=O
G3	C(C(CN)O)(O)=O
G3	C(C(C(CO)N)O)(O)=O
G3	C(C(CO)(C(C=O)O)N)=O
G3	C(C(CO)(C(CC=O)O)N)=O
G3	C(C(CO)(C(C=O)(C)O)N)=O
G3	C(C(CO)(C(C(C)=O)O)N)=O
G3	C(C(CO)(C(C)O)N)=O
G3	C(C(C(C)O)(C(CN)O)O)=O
G3	C(C(C(CO)O)(C(C)O)N)=O
G3	C(C(CN)(C(C=O)O)O)=O
G3	C(CO)(C(CO)(C(C)O)O)=O
G3	C(CN)(C(CO)(C(C)O)O)=O
G3	C(C(CO)(C(C)O)O)(O)=O
G3	C(C(C(CC=O)O)(CN)O)=O
G3	C(C(C)(C(C=O)(CN)O)O)=O
G3	C(C(CN)(C(C(C)=O)O)O)=O
G3	C(C(CN)(C(C)O)O)=O
G3	C(C(C(C)O)(C(CO)N)O)=O
G3	C(C(CO)(C(C=O)O)O)=O
G3	C(C(CO)(C(CC=O)O)O)=O
G3	C(C(CO)(C(C=O)(C)O)O)=O
G3	C(C(CO)(C(C(C)=O)O)O)=O
G3	C(C(CO)(C(C)O)O)=O
G3	C(C(C(CO)O)(C(C)O)O)=O
G3	C(C(C(C)=O)(C(CN)O)O)=O
G3	C(C(CO)(CO)N)=O
G3	C(C(CO)(C(CO)O)N)=O
G3	C(CO)(C(CO)(CO)O)=O
G3	C(CN)(C(CO)(CO)O)=O
G3	C(C(CO)(CN)O)=O
G3	C(C(CO)(C(CO)N)O)=O
G3	C(C(C(C)=O)(C(CO)O)O)=O
G3	C(C(CN)(C(CO)O)O)=O
G3	C(C(C(C=O)O)N)(O)=O
G3	C(CC(C(C(O)=O)N)O)=O
G3	C(C(C)(C(C(O)=O)N)O)=O
G3	C(C(C(C(C)=O)O)N)(O)=O
G3	C(C(C(C)O)N)(O)=O
G3	C(C(C(CN)O)(CC=O)O)=O
G3	C(C(C(C=O)O)O)(O)=O
G3	C(CC(C(C(O)=O)O)O)=O
G3	C(C(C)(C(C(O)=O)O)O)=O
G3	C(C(C(C(C)=O)O)O)(O)=O
G3	C(C(C(C)O)O)(O)=O
G3	C(C(C(CO)O)(CC=O)O)=O
G3	C(CC(C=O)N)(C(CO)O)=O
G3	C(C(C(CC(CO)O)=O)N)=O
G3	C(CC(C=O)O)(C(CO)O)=O
G3	C(C(CO)(CC(CO)=O)O)=O
G3	C(C(C(CCO)=O)(CO)O)=O
G3	C(C(C(C(CO)O)=O)CO)=O
G3	C(C(C(CN)=O)C(CO)O)=O
G3	C(C(CC(CO)=O)O)(O)=O
G3	C(C(C(CCO)=O)O)(O)=O
G3	C(CC(C(CO)O)=O)(O)=O
G3	C(C(CC(CO)O)=O)(O)=O
G3	C(C(CO)O)=C(C=O)N
G3	C(C(C(CO)O)O)=C(C=O)N
G3	C(C(C=CN)(CO)O)=O
G3	C(C(C=CN)(C(CO)O)O)=O
G3	C(C(C=CN)O)(O)=O
G3	C(C(C(C(CO)O)N)O)=O
G3	C(C1C(C(C(O)O1)N)O)O
G3	C(C1C(C(C(O)O1)O)O)O
G3	C1C(C(C(O)O1)N)O
G3	C1C(C(C(O)O1)(CO)O)O
G3	C1C(C(C(O)O1)O)N
G3	C1C(C(C(C(O)O1)N)O)O
G3	C1C(C(C(C(O)O1)O)O)O
G3	C(C(C(C(CN)O)O)O)O
G3	C(C(CO)(CN)O)O
G3	C(C(CN)(C(CO)O)O)O
G3	C1(C(C(C(CO)O1)O)O)=O
G3	C1(C(C(C(CO1)O)O)O)=O
G3	C1(CNCC(C1O)O)=O
G3	C(C1C(C(CN1)O)O)=O
G3	C(C1C(C(C(CO)N1)O)O)=O
G3	C(CC(C(C(CN)O)N)O)=O
G3	C(CO)(C(C(C(CO)N)O)O)=O
G3	C(CN)(C(C(C(CO)N)O)O)=O
G3	C(CO)(C(C(C(CO)N)O)N)=O
G3	C(C(C=O)C(C(CO)N)O)=O
G3	C(C(CC(C(CO)N)O)=O)=O
G3	C(CC(C(CO)N)O)=O
G3	C(CC(C(C(CN)O)O)O)=O
G3	C(CC(C(C(CO)O)N)O)=O
G3	C(C(C(C(CN)=O)O)O)=O
G3	C(C(C(C(CO)=O)N)O)=O
G3	C(C(C(C=O)O)N)(C(CO)O)=O
G3	C(CO)(C(C(CO)(CN)O)O)=O
G3	C(CN)(C(C(CO)(CO)O)O)=O
G3	C(CO)(C(C(CO)(CO)O)N)=O
G3	C(CO)(C(C(C(CN)O)O)O)=O
G3	C(CN)(C(C(CO)(CN)O)O)=O
G3	C(CO)(C(C(CO)(CN)O)N)=O
G3	C(CC(C(C(CN)=O)O)O)=O
G3	C(CC(C(C(CO)=O)N)O)=O
G3	C(C(C=O)C(CO)(CN)O)=O
G3	C(C(C)(C(C(CN)=O)O)O)=O
G3	C(C(C)(C(C(CO)=O)N)O)=O
G3	C(C)(C(C(C(CN)=O)O)O)=O
G3	C(CO)(C(C(C(C)=O)O)N)=O
G3	C(C(CC(CO)(CN)O)=O)=O
G3	C(CN)(C(C(C)O)O)=O
G3	C(CO)(C(C(C)O)N)=O
G3	C(CC(CO)(CN)O)=O
G3	C(CN)(C(C(C(CN)O)O)O)=O
G3	C(CO)(C(C(C(CN)O)O)N)=O
G3	C(C(CO)O)(C(C(C)O)N)=O
G3	C(CC(CN)(C(CO)O)O)=O
G3	C(C(C=O)C(C(CN)O)O)=O
G3	C(C(CC(C(CN)O)O)=O)=O
G3	C(CC(C(CN)O)O)=O
G3	C(CC(C(C(CO)N)O)O)=O
G3	C(CN)(C(C(C(CO)O)O)O)=O
G3	C(CO)(C(C(C(CO)O)O)N)=O
G3	C(C(C(C(C(CN)O)N)O)N)=O
G3	C(C(C(C(CO)N)O)N)=O
G3	C(C(C(C(C(CN)O)O)O)N)=O
G3	C(C(C(C(C(CO)O)N)O)N)=O
G3	C(C(C(CO)(CO)O)N)=O
G3	C(CO)(C(C(CN)O)O)=O
G3	C(C(C(CO)(C(CO)O)O)N)=O
G3	C(C(C(CN)O)O)(C(CO)O)=O
G3	C(C(C(CN)(CO)O)N)=O
G3	C(CN)(C(C(CN)O)O)=O
G3	C(CO)(C(C(CN)O)N)=O
G3	C(C(C(CN)(C(CO)O)O)N)=O
G3	C(C(CO)O)(C(C(CN)O)N)=O
G3	C(C(C(CNCC=O)O)N)=O
G3	C(C(C(CN)O)NCC=O)=O
G3	C(C(C(C(CO)(CO)O)O)N)=O
G3	C(C(CCO)(C(C=O)N)O)=O
G3	C(C(C(C(CCO)=O)O)N)=O
G3	C(C(C(CO)C(CN)O)=O)=O
G3	C(CC(C(C(C=O)N)O)O)=O
G3	C(C(C(CC(C=O)O)O)N)=O
G3	C(C(C(CN)O)C(C=O)O)=O
G3	C(C(C(CC(CO)=O)O)N)=O
G3	C(CC(CO)(C(C=O)N)O)=O
G3	C(C(C(CO)=O)C(CN)O)=O
G3	C(CC(C(C(CN)O)O)=O)=O
G3	C(C(C(C(C(C)=O)O)O)N)=O
G3	C(C(C(C)(C(C=O)O)O)N)=O
G3	C(C(C(CC(CN)O)=O)O)=O
G3	C(C(C(C(CN)O)O)N)=O
G3	C(C(C(C(C(CO)N)O)O)N)=O
G3	C(CNC(C(CO)=O)CO)=O
G3	C(C(CO)NCC(CO)=O)=O
G3	C(CO)(C(CO)N)=O
G3	C(C(CO)O)(C(CO)N)=O
G3	C(C(CO)NCC(C=O)O)=O
G3	C(C(C(C(C(CN)O)N)O)O)=O
G3	C(C(C(C(CO)N)O)O)=O
G3	C(C(C(C(C(CN)O)O)O)O)=O
G3	C(C(C(C(C(CO)O)N)O)O)=O
G3	C(C(C(CO)(CN)O)O)=O
G3	C(CN)(C(C(CO)O)O)=O
G3	C(CO)(C(C(CO)O)N)=O
G3	C(C(C(CN)(C(CO)O)O)O)=O
G3	C(C(CO)O)(C(C(CO)O)N)=O
G3	C(C(C(CNCC=O)O)O)=O
G3	C(C(C(CO)O)NCC=O)=O
G3	C(C(C(C(CN)O)O)O)=O
G3	C(C(C(C(C(CO)N)O)O)O)=O
G3	C(CO)(C(CN)O)=O
G3	C(CNCC(C(CO)=O)O)=O
G3	C(C(CO)NC(C=O)CO)=O
G3	C(C(CN)NC(C=O)CO)=O
G3	C(C(CO)NCC(CN)=O)=O
G3	C(CNCCO)(C(CN)O)=O
G3	C(CNCC(O)=O)(C(CN)O)=O
G3	C(C(CO)NCCO)=O
G3	C(C(CO)NCC(O)=O)=O
G3	C(C(C(CO)O)NCCO)=O
G3	C(CO)(C(CO)NCCO)=O
G3	C(C(C(CO)O)NCC(O)=O)=O
G3	C(CNC(C(CO)=O)CO)(O)=O
G3	C(C(CN)NCC(CO)=O)=O
G3	C(C(CN)NCCO)=O
G3	C(C(CN)NCC(O)=O)=O
G3	C(CNCC(CN)=O)(CO)=O
G3	C(C(CN)NCC(C=O)O)=O
G3	C(CO)(C(CN)NCCO)=O
G3	C(CNC(C(CO)=O)CN)(O)=O
G3	C(CNCCO)(CN)=O
G3	C(CNCCO)(C(CO)N)=O
G3	C(CNCC(CN)=O)(O)=O
G3	C(CNCC(O)=O)(C(CO)N)=O
G3	C(C(CNCC(CN)=O)O)=O
G3	C(CN)(C(CN)O)=O
G3	C(CO)(C(CNCC=O)N)=O
G3	C(CO)(C(CN)N)=O
G3	C(CNC(C(CN)=O)CO)=O
G3	C(CN)(C(CO)N)=O
G3	C(CO)(CNCC(CO)=O)=O
G3	C(CO)(CNCCO)=O
G3	C(CNCC(CO)=O)(O)=O
G3	C(C(CNCC(CO)=O)O)=O
G3	C(CNCCO)(C(CO)O)=O
G3	C(CNCC(O)=O)(C(CO)O)=O
G3	C(CNCC=O)(C(CN)O)=O
G3	C(CNC(C(CO)=O)CN)=O
G3	C(CNCC=O)(C(CO)N)=O
