Generation	Smiles
G1	C(C(C(CO)O)O)=O
G2	C(C(C(C(CO)O)O)O)=O
G2	C(CO)(C(CO)O)=O
G2	C(C(CO)O)O
G2	C(C(C(CO)O)O)O
G2	C(C(CO)O)(O)=O
G2	C(C(C(CO)O)O)(O)=O
G2	C(C(CO)(CO)O)=O
G2	C(C(CO)(C(CO)O)O)=O
G2	C1C(C(C(O)O1)O)O
G3	C(C(C(C(CO)=O)O)O)=O
G3	C(CC(C(C(CO)=O)O)O)=O
G3	C(C(C=O)C(CO)(CO)O)=O
G3	C(C(C)(C(C(CO)=O)O)O)=O
G3	C(C)(C(C(C(CO)=O)O)O)=O
G3	C(C(CC(CO)(CO)O)=O)=O
G3	C(CO)(C(C(C)O)O)=O
G3	C(CC(CO)(CO)O)=O
G3	C(C(C(C)O)O)(C(CO)O)=O
G3	C(CC(CO)(C(CO)O)O)=O
G3	C(CC(C(CO)(CO)O)O)=O
G3	C(C(C=O)C(C(CO)O)O)=O
G3	C(C(CC(C(CO)O)O)=O)=O
G3	C(CC(C(CO)O)O)=O
G3	C(CC(C(C(CO)O)O)O)=O
G3	C(C(CO)O)(C(CO)O)=O
G3	C(C(C(CO)(CO)O)O)=O
G3	C(CO)(C(C(CO)O)O)=O
G3	C(C(CCO)(C(C=O)O)O)=O
G3	C(C(C(C=O)O)O)(CCO)=O
G3	C(C(C(CO)C(CO)O)=O)=O
G3	C(CC(C(C(C=O)O)O)O)=O
G3	C(C(C(CC(C=O)O)O)O)=O
G3	C(C(C(CO)O)C(C=O)O)=O
G3	C(C(C(CC(CO)=O)O)O)=O
G3	C(CC(CO)(C(C=O)O)O)=O
G3	C(C(C(CO)=O)C(CO)O)=O
G3	C(CC(C(C(CO)O)O)=O)=O
G3	C(C(C(C(C(C)=O)O)O)O)=O
G3	C(C(C(C)(C(C=O)O)O)O)=O
G3	C(C(C(CC(CO)O)=O)O)=O
G3	C(C(CCO)O)(O)=O
G3	C(C(C(C(CO)O)O)=O)=O
G3	C(C(C(C(CO)O)O)O)O
G3	C(C(CO)(CO)O)O
G3	C(C(CO)(C(CO)O)O)O
G3	C(C(CO)(CO)O)(O)=O
G3	C(CO)(C(CO)(C(C)O)O)=O
G3	C(C(CO)(C(C)O)O)(O)=O
G3	C(C(CO)(C(C=O)O)O)=O
G3	C(C(CO)(C(CC=O)O)O)=O
G3	C(C(CO)(C(C=O)(C)O)O)=O
G3	C(C(CO)(C(C(C)=O)O)O)=O
G3	C(C(CO)(C(C)O)O)=O
G3	C(C(C(CO)O)(C(C)O)O)=O
G3	C(CO)(C(CO)(CO)O)=O
G3	C(C(C(C)=O)(C(CO)O)O)=O
G3	C(C(C(C=O)O)O)(O)=O
G3	C(CC(C(C(O)=O)O)O)=O
G3	C(C(C)(C(C(O)=O)O)O)=O
G3	C(C(C(C(C)=O)O)O)(O)=O
G3	C(C(C(C)O)O)(O)=O
G3	C(C(C(CO)O)(CC=O)O)=O
G3	C(CC(C=O)O)(C(CO)O)=O
G3	C(C(CO)(CC(CO)=O)O)=O
G3	C(C(C(CCO)=O)(CO)O)=O
G3	C(C(C(C(CO)O)=O)CO)=O
G3	C(C(CC(CO)=O)O)(O)=O
G3	C(C(C(CCO)=O)O)(O)=O
G3	C(CC(C(CO)O)=O)(O)=O
G3	C(C(CC(CO)O)=O)(O)=O
G3	C(C1C(C(C(O)O1)O)O)O
G3	C1C(C(C(O)O1)(CO)O)O
G3	C1C(C(C(C(O)O1)O)O)O
G3	C1(C(C(C(CO)O1)O)O)=O
G3	C1(C(C(C(CO1)O)O)O)=O
G4	C1(C(C(C(C1O)O)O)O)=O
G4	C(C1C(C(C(C1O)O)O)=O)=O
G4	C1(C(C(CC(C1O)O)O)O)=O
G4	C1(C(C(C(C)(C1O)O)O)O)=O
G4	C1(C(C(C(CO)(C1)O)O)O)=O
G4	C(C1C(C(C(C1O)=O)CO)O)=O
G4	C(C1C(C(C=O)C(C1O)O)O)=O
G4	C(C1C(CC(C(C1O)O)=O)O)=O
G4	C(C1C(C(C(CC1O)O)O)=O)=O
G4	C1(C(CO)C(C=O)(CC1O)O)=O
G4	C1(C(C(C(C(C1)O)=O)CO)O)=O
G4	C(C1(C(CO)C(C(C1)=O)O)O)=O
G4	C(C1C(C(CC1(C=O)O)O)O)=O
G4	C(C1C(C(CC(C1O)=O)O)O)=O
G4	C(C(C1C(C(CC1O)O)O)=O)=O
G4	C1(C(C(C(C1)O)C(C=O)O)O)=O
G4	C(C1(CC(CC(C1O)=O)O)O)=O
G4	C(CO)(C1C(CC(C1O)=O)O)=O
G4	C1(C(C(C(CC(C1)O)=O)O)O)=O
G4	C(C1C(CO)(CC(C1O)=O)O)=O
G4	C(C1C(C(C(C1(C)O)O)O)=O)=O
G4	C(C1C(C(C(C)(C1O)O)O)=O)=O
G4	C(CC1(C(C(C(C1)=O)O)O)O)=O
G4	C(C1(CC(C(C(C1)=O)O)O)O)=O
G4	C1(CC(C(CC(C1O)O)=O)O)=O
G4	C1(C(CC(C(C=O)O)(C1)O)O)=O
G4	C1(C(CC(C1CO)O)O)=O
G4	C(C1C(C(CC1O)O)O)=O
G4	C1(C(C(CC(C1)O)O)O)=O
G4	C1(C(C(C(C1)O)O)O)=O
G4	C1(C(C(C(C1CO)O)O)O)=O
G4	C(C1C(C(C(C1O)O)O)O)=O
G4	C1(C(C(C(C(C1)O)O)O)O)=O
G4	C(C1(C(CC(C1O)O)=O)O)=O
G4	C(C1(C(CC(CC1O)O)=O)O)=O
G4	C(C1(C(CC(C1(C)O)O)=O)O)=O
G4	C(C1(C(CC(C)(C1O)O)=O)O)=O
G4	C(C)(C1(C(CC(C1O)=O)O)O)=O
