Generation	Smiles
G1	C(C(CO)O)(O)=O
G2	C(C(CO)(C(C)O)O)(O)=O
G3	C(C(C(CC(O)=O)O)C(C)O)=O
G3	C(C(C=O)C(CC(C)O)O)(O)=O
G3	C(C(C(C)O)C(C(CO)=O)O)=O
G3	C(C(C(C)O)C(C=O)(CO)O)=O
G3	C(C(C(C(CC(C)O)O)O)=O)=O
G3	C(C(C(CO)C(C)O)=O)(O)=O
G3	C(C(CO)C(C(O)=O)(C)O)=O
G3	C(C(CC(C)O)(CC=O)O)(O)=O
G3	C(C(C(C(C)O)C(C)O)=O)(O)=O
G3	C(C(C)(CC(CC=O)O)O)(O)=O
G3	C(C(C(C)O)C(C(O)=O)(C)O)=O
G3	C(C(CC(CC(C)O)O)=O)(O)=O
G3	C(C(C)(CCO)O)(O)=O
G3	C(C(C)(CC(O)=O)O)(O)=O
G3	C(C(CO)(CO)O)(O)=O
G3	C(C(C(CC(C)O)O)O)(O)=O
G3	C(C(C(C)O)O)(O)=O
G3	C(C(C=C)(CO)O)(O)=O
G3	CC(C(CO)O)O
G3	C(C(C(C(C)O)O)O)(O)=O
G3	C(C(C)(C(CO)O)O)(O)=O
G4	C1(C(C(C(C1O)O)C(C)O)O)=O
G4	C1(C(C(CC1O)O)O)=O
G4	C(C(CO)C(CCO)O)=O
G4	C(C(CO)C(C(C=O)O)O)=O
G4	C(C(CO)C(CO)(CO)O)=O
G4	C(CO)(C(C(CCO)O)O)=O
G4	C(C(C(C(CO)=O)O)O)=O
G4	C(CO)(C(C(C=CC)O)O)=O
G4	C(CO)(C(C(CC=C)O)O)=O
G4	C(C(C=C)C(CO)(CO)O)=O
G4	C(C(C(C(C(O)=O)=O)O)O)=CC
G4	C(CC(C(C(C(O)=O)=O)O)O)=C
G4	C(C(C=C)C(C(O)=O)(CO)O)=O
G4	C(C(C=C)C(C(C(O)=O)O)O)=O
G4	C(CC(C(CO)C(C)O)O)=O
G4	C(C(CO)C(CC=O)O)(O)=O
G4	C(CC(C(C(CO)O)=O)O)=O
G4	C(C(C(CO)O)(CC=O)O)=O
G4	C(CC(CC(CC=O)O)O)(O)=O
G4	C(C(C(CC=O)O)C(C)O)(O)=O
G4	C(CC(CC(C(CO)=O)O)O)=O
G4	C(CC(C(CO)(CC=O)O)O)=O
G4	C(CC(C(C(C(C)O)O)=O)O)=O
