Generation	Smiles	Inchi
G6	C(C(C(N)=O)(CO)O)(N)=O	YMOURWROZSVBAE
G6	C(C(C(N)=O)(C(O)=O)N)(N)=O	UQECLWGQFAGXCD
G6	C(C(C(N)=O)(CO)N)(N)=O	SZHJNAYVNFZAJE
G6	C(C(CO)O)(N)=O	XLGVHAQDCFITCH
G6	C(C(C(C(C(N)=O)=O)O)N)(O)=O	CNDZVDBSKKPDSE
G6	C(C(C=O)(C(C(O)=O)N)O)(N)=O	RHURHMDUKBJYQO
G6	C(C(CO)N)(O)=O	MTCFGRXMJLQNBG
G6	C(C(C(C(N)=O)O)O)(N)=O	GRMNJXQBRPJVQV
G6	C(C(C(C(N)=O)O)N)(O)=O	VQTLPSCRBFYDNX
G6	C(C(C(C(N)=O)O)O)(O)=O	ZYPJGOCQEPYWIE
G6	C(C(C(C(O)=O)N)O)(O)=O	YYLQUHNPNCGKJQ
G6	C(NC(C(C(C(O)=O)N)O)=O)=O	OSWJMPGRRGYIRX
