Generation	Smiles	Inchi
G5	C1(C(C2C(C1C(C2O)O)O)O)=O	ZRGFOMLLEPZMQI
G5	C1(C(C2(C(C1C(C2)O)O)O)O)=O	GILZLRYCLWVRBJ
G5	C1(CC2(C(C1(C(C2)O)O)O)O)=O	RZHXQGFNMAVZKR
G5	C1(C(C(C(C1O)O)C(C)O)O)=O	BZNNDJKSFMVVFY
G5	C1(C(C(C(C(C1)O)CO)O)O)=O	CCIYDRHZDCOOEK
G5	C1(C(C(C(CO)C1O)O)O)=O	QJEBIWGZDFAUAU
G5	C1(CC(C(CO)C1(CO)O)O)=O	BKDLRFMYGPHOEB
G5	C1(C(C(C(CO)C1(C)O)O)O)=O	ZIMIGCWBQIBCAO
G5	C1(C(CC(CO)(C1O)O)O)=O	ZMGSZYMAJOOYKF
G5	C1(C(C(C)(C(CO)(C1)O)O)O)=O	DJFWXBXPMDXHQG
G5	C1(CC(CO)(CC1(CO)O)O)=O	XWJWARSAIREELI
G5	C1(C(C(CO)(C(C)(C1)O)O)O)=O	NMSVPVYXWNMUPC
G5	C1(C(C(CO)(CC1(C)O)O)O)=O	KAMPFXOIERZZLM
G5	C1(CC(C)(C(C1(CO)O)O)O)=O	CFLJAZOVLKVUFJ
G5	C1(C(C(C)(C(C1(C)O)O)O)O)=O	UVZUGPKPEYVZFZ
G5	C1(C(C(C(C(C)O)(C1)O)O)O)=O	KHWWRNUNAWFTDQ
G5	C1(C(C(C(C1)O)(C(C)O)O)O)=O	XULYTAWBUJLECU
G5	C1(CC(C=C)(C(C1O)O)O)=O	AOBUPMJEUOKHEL
G5	C1(C(C(C=C)(C(C1)O)O)O)=O	RMYYBLXDRVDZCI
G5	C(CO)(C1C(C=CC1O)O)=O	BJXAQZGYSJFDOB
G5	C1(CC(C=CC(C1O)O)O)=O	UFTLTWJOKLXULD
G5	C1C(C(C(C(O)=O)=O)C(C=1)O)O	RSARAQYKPQUGGH
G5	C1(C(C(CC1O)O)C(C=O)O)=O	HBZQZXJDBVYCMJ
G5	C1(C(C(C(C(C1)O)O)O)=O)=O	SHFQRUVRUBHHRE
G5	C1(C2C(C(C1C(O2)O)O)O)=O	LQVAXNFACYYZCG
G5	C1(C(C(C=C)(C(C1O)O)O)O)=O	OZZLKQAZRUJUMC
G5	C1(C(C(C=CC(C1O)O)O)O)=O	XBGHXGGWBOIKAT
G5	C(C1C(C(C(C1O)=O)O)O)=O	XKYAHSJLZUPUGK
G5	C(C1C(CC(C1(CO)O)=O)O)=O	ASBLQBFLSHZNIN
G5	C(C1C(C(C(C1(C)O)=O)O)O)=O	FHMYUZSWTSQIGG
G5	C1(C(C(C(CC(C1)O)O)O)=O)=O	FZRCODZLFTVUOJ
G5	C1(C(C(CC(C1CO)O)O)O)=O	GKRHACKDOLYSCH
G5	C1(C2C(CC(C1C(O2)O)O)O)=O	XAUAASUNHBOTOP
G5	C1(C(C(C(C1)O)C(C)O)O)=O	UCBJOPKCDXPLNR
G5	C1(C(C(C(C1)O)CO)O)=O	WBWHXYJILWTIES
G5	C1(C(C(C(C1)O)C(CO)O)O)=O	MBTQRXJLDNMBFI
G5	C(C1(CC(C(C1O)=O)O)O)=O	IEYLXHIGCCSIMV
G5	C1(C(C(C(CC1O)=O)O)O)=O	UERLNWAJHYJYLF
G5	C(C1(CC(C(C1)=O)(CO)O)O)=O	WMYXOTCEXRXZIU
G5	C1(CC(C(CC1(CO)O)=O)O)=O	HMFPOJIFLFIDNQ
G5	C(C1(CC(C(C1O)=O)(C)O)O)=O	VPRQCVRZWHYXBT
G5	C1(C(C(C(C(C)(C1)O)=O)O)O)=O	DJCMVXGHPQZMMY
G5	C1(C(C(C(C(C1)O)(C)O)O)=O)=O	ZMSZEDDGWSBLAD
G5	C1(C(C(C(C(C)(C1)O)O)O)=O)=O	NHYFGEBLTIYNCN
G5	C(CO)(C1(CC(C(C1)=O)O)O)=O	HKBJHDBSCWHNMM
G5	C1(C(C(C(C)(C1)O)O)O)=O	GXCKVNPQYMMLSY
G5	C1(C(C(C(C1)O)(C)O)O)=O	WITWJPRCSAPDOB
G5	C1(C(CC(CO)(C1)O)O)=O	RFTWLCJSZAMEGX
G5	C1(C(C(C)(C(C1CO)O)O)O)=O	KWXJFAZQJKBMFG
G5	C1(C(C(C(C)(C1CO)O)O)O)=O	GXODTHGOIRSZCQ
G5	C1(C(C(C(CCO)(C1)O)O)O)=O	DGUJHHJEQTUCMI
G5	C1(C(C(CO)C(CO)(C1)O)O)=O	WHXBUFBEZWEBJI
G5	C1(C(CC(C(CO)O)(C1)O)O)=O	OGIMEFKXTUNSGL
G5	C(C1C(CC(C1O)=O)O)(O)=O	XHRRRXVITVLCRM
G5	C(C1(CC(C(C1)=O)O)O)(O)=O	MCZBBTPWJZVJRY
G5	C1(C(C2C(C(CO2)O)(C1)O)O)=O	BWTRBNKZJXYDKE
G5	C1(C(C2COC(C2(C1)O)O)O)=O	PDERFTHEJVZTHP
G5	C1(C2C(C(C)(C1C(O2)O)O)O)=O	ZITWVDFLVXNAPO
G5	C1(C2C(C)(C(C1C(O2)O)O)O)=O	CNLVTKZPPCXCPM
G5	C1(C(C2C(O)OCC2(C1)O)O)=O	WSUXVRAXEUCNAI
G5	C1(C(C2C(CC(O)O2)(C1)O)O)=O	WMRBDUGJQDSPHF
G5	C1(C(C(CO)C(C1CO)O)O)=O	DADFZPXGJGNTEZ
G5	C1(C(C(C(C1)O)(CCO)O)O)=O	BLJXDZKIYZYCMM
G5	C1(C(CC(CO)(C1CO)O)O)=O	IMMBXJLKNZMQED
G5	C(C1C(C(CO)C(C1O)O)O)=O	BSYAGLPXBAPEHU
G5	C(CO)(C1C(C(CC1O)O)O)=O	VVXDOCTVPWXEKT
G5	C1(C(C(CC(C(C1)O)O)O)O)=O	YIIYTJROCKPNRE
G5	C(C1C(C(CC1(CO)O)O)O)=O	UCSMSJANAMMOML
G5	C1(C(C(C(CC(C1)O)O)O)O)=O	APAWFBZPZNDMGP
G5	C(C1C(C(C(C1(C)O)O)O)O)=O	RVLQRYXPGKHGPS
G5	C1(C(C(CO)(CC(C1)O)O)O)=O	SQMRVQOKNRCTJH
G5	C1(C(C(CC(CO)(C1)O)O)O)=O	YZMXCBDBLMCWHI
G5	C1(C(C(C)(C(C(C1)O)O)O)O)=O	DNVYPADLNRKKKZ
G5	C1(C(C(C(C(C)(C1)O)O)O)O)=O	DZDQCIVAYZUALQ
G5	C(C1C(CC(CC1O)O)O)=O	ONRSYDKFCGOVGT
G5	C1(C(CC(C1C(C)O)O)O)=O	CLIRMIOVTZRNDH
G5	C(C1C(CC(C1(C)O)O)O)=O	FBOGRAJMPONRME
G5	C(C1C(C(C)(CC1O)O)O)=O	ANBJXCJTTPSSDK
G5	C1(C(CC(CC(C1)O)O)O)=O	FXRBLRVRGRFKSK
G5	C(C1C(C(C(CC1O)O)O)O)=O	IGKANORQIPLGIK
G5	C(C1C(C(C)(C(C1O)O)O)O)=O	LAAYMDMAHPVLIK
G5	C1(C(C(C(C1C(C)O)O)O)O)=O	FLGFEDFPUSIHFO
G5	C1(C(CC(C1C(CO)O)O)O)=O	GZMKSHDWKPQAQK
G5	C1(C(C(CC1O)O)O)=O	UYXNQXGILWQCMO
G5	C1(CC(CC1(CO)O)O)=O	RJCFMBBIOTUYKM
G5	C1(C(C(CC1(C)O)O)O)=O	SVEAOOMTCZYAAS
G5	C1(CC(CC(C1(CO)O)O)O)=O	JZIHBICLKUFNKN
G5	C(C1C(CC(C1(CO)O)O)O)=O	YNVCAVVWIGVFIQ
G5	C(C1C(C(CO)(CC1O)O)O)=O	XLTABIJSJNUACS
G5	C1(C(CC(C(C(C1)O)O)O)O)=O	KHQKDDOTTORSAM
G5	C1(C(C(C(C1(C)O)O)O)O)=O	TYRPXPNVMPXQFO
G5	C1(C(C(C(C1O)O)O)=O)=O	GNCQJQATYLXYMY
G5	C1(C(C(CC(C1O)O)O)=O)=O	AMWPAUGSGLTTHG
G5	C1(C(C(C(C1(C)O)O)O)=O)=O	BTWKYUAUZJENJE
G5	C1(C(CO)(CC(C1O)=O)O)=O	GMQBSGSBFCSPCU
G5	C1(C(C(C(C)(C1O)O)O)=O)=O	AHYMNPHEZVYJLS
