Generation	Smiles	Inchi	Energy Change	Reaction IDs
G1	C(C(C(CO)O)O)=O	YTBSYETUWUMLBZ	[-16.39]	[['7_0']]
G2	C(C(C(C(CO)O)O)N)=O	RNZJRDIKDNXKIJ	[-30.029999999999998]	[['19_0', '5_0', '10_0']]
G2	C(C(C(C(C(CO)O)O)O)N)=O	FZHXIRIBWMQPQF	[-13.8]	[['21_0', '7_0', '10_0']]
G2	C(C(C(CN)O)N)=O	QSBOQJCOHPCHRB	[-18.77]	[['23_0', '10_0', '10_0']]
G2	C(C(C(C(CO)O)O)O)=O	PYMYPHUHKUWMLA	[-45.989999999999995]	[['27_0', '5_0']]
G2	C(C(C(CN)O)O)=O	JIDVIMQFVJVPPX	[-34.73]	[['31_0', '10_0']]
G2	C(C(C(CO)O)N)=O	UQNPMNUVBRVOCQ	[-28.0]	[['33_0', '10_0']]
G2	C(CO)(C(CO)O)=O	UQPHVQVXLPRNCX	[-18.39]	[['41_0', '7_0']]
G2	C(CNCC=O)(C(CO)O)=O	UAOKRFJFLAUQNR	[-30.67]	[['45_0', '7_0', '10_0']]
G2	C(CN)(C(CO)O)=O	WZDHWMRAASHPBX	[-36.730000000000004]	[['49_0', '7_0']]
G2	C(C(CO)O)O	PEDCQBHIVMGVHV	[-63.01]	[['53_0', '5_0']]
G2	C(C(C(CO)O)O)O	UNXHWFMMPAWVPI	[-41.34]	[['55_0', '7_0']]
G2	C(C(CO)O)(O)=O	RBNPOMFGQQGHHO	[-62.79]	[['59_0', '5_0']]
G2	C(C(C(CO)O)O)(O)=O	JPIJQSOTBSSVTP	[-46.56]	[['61_0', '7_0']]
G2	C(C(CO)(C(CN)O)O)=O	MMZWUQKSIXGQLM	[-61.68]	[['67_0', '5_0', '10_0']]
G2	C(C(C(CO)O)(C(CN)O)O)=O	MGKXNCNVFOFGIA	[-45.45]	[['69_0', '7_0', '10_0']]
G2	C(C(CO)(CO)O)=O	OUEKYUKJSLEOIU	[-59.56999999999999]	[['71_0', '5_0']]
G2	C(C(CO)(C(CO)O)O)=O	XUSNIIKGKKSRDZ	[-43.34]	[['73_0', '7_0']]
G2	C(C(C(CN)O)O)(O)=O	WITVYMTUWTVRND	[-64.9]	[['82_0', '10_0', '17_0']]
G2	C(C(C(CO)NCC=O)O)=O	GECVMGDGBBOZSR	[-21.939999999999998]	[['102_0', '7_0', '10_0']]
G2	C(C(C(CO)N)O)=O	KXMAOQJMLAAVJY	[-28.0]	[['106_0', '7_0']]
G2	C1C(C(C(O)O1)O)O	FMAORJIQYMIRHF	[-17.990000000000002]	[['108_0', '7_0']]
