"X
└── A
    ├── B
    │   └── F
    └── C
        └── H
"	8
"X
└── Z
"	8
"X
└── A
    ├── D
    └── E
"	0
"X
└── A
    ├── B
    │   └── G
    └── C
"	7
"X
└── A
    ├── B
    │   └── F
    └── C
        └── H
"	8
"X
└── Z
    └── J
"	14
"X
└── A
    ├── D
    │   └── I
    └── E
        └── K
"	2
"X
└── A
    ├── B
    │   └── G
    └── C
        └── H
"	3
"X
└── Z
    └── K
"	1
"X
└── A
    ├── D
    │   └── J
    └── E
"	9
"X
└── A
    ├── B
    │   └── F
    └── C
        └── H
"	8
"X
└── Z
    └── J
"	14
"X
└── A
    ├── D
    │   └── I
    └── E
        └── K
"	2
"X
└── A
    ├── B
    │   └── G
    └── C
        └── H
"	3
"X
└── Z
    └── K
"	1
"X
└── A
    ├── D
    │   └── J
    └── E
        └── K
"	6
