Generation	Smiles	Inchi	Path
G1	C(C(C(CO)O)O)=O	YTBSYETUWUMLBZ	"C(C(C(CO)O)O)=O
├── C(CO)=O
└── C(CO)=O
"
G2	C(C(C(C(CO)O)O)N)=O	RNZJRDIKDNXKIJ	"C(C(C(C(CO)O)O)N)=O
├── C(C(CO)O)=O
│   ├── C(CO)=O
│   └── C=O
└── C(CN)=O
    ├── C(CO)=O
    └── N
"
G2	C(C(C(C(C(CO)O)O)O)N)=O	FZHXIRIBWMQPQF	"C(C(C(C(C(CO)O)O)O)N)=O
├── C(C(C(CO)O)O)=O
│   ├── C(CO)=O
│   └── C(CO)=O
└── C(CN)=O
    ├── C(CO)=O
    └── N
"
G2	C(C(C(CN)O)N)=O	QSBOQJCOHPCHRB	"C(C(C(CN)O)N)=O
├── C(CN)=O
│   ├── C(CO)=O
│   └── N
└── C(CN)=O
    ├── C(CO)=O
    └── N
"
G2	C(C(C(C(CO)O)O)O)=O	PYMYPHUHKUWMLA	"C(C(C(C(CO)O)O)O)=O
├── C(C(CO)O)=O
│   ├── C(CO)=O
│   └── C=O
└── C(CO)=O
"
G2	C(C(C(CN)O)O)=O	JIDVIMQFVJVPPX	"C(C(C(CN)O)O)=O
├── C(CN)=O
│   ├── C(CO)=O
│   └── N
└── C(CO)=O
"
G2	C(C(C(CO)O)N)=O	UQNPMNUVBRVOCQ	"C(C(C(CO)O)N)=O
├── C(CN)=O
│   ├── C(CO)=O
│   └── N
└── C(CO)=O
"
G2	C(CO)(C(CO)O)=O	UQPHVQVXLPRNCX	"C(CO)(C(CO)O)=O
└── C(C(C(CO)O)O)=O
    ├── C(CO)=O
    └── C(CO)=O
"
G2	C(CNCC=O)(C(CO)O)=O	UAOKRFJFLAUQNR	"C(CNCC=O)(C(CO)O)=O
├── C(C(C(CO)O)O)=O
│   ├── C(CO)=O
│   └── C(CO)=O
└── C(CN)=O
    ├── C(CO)=O
    └── N
"
G2	C(CN)(C(CO)O)=O	WZDHWMRAASHPBX	"C(CN)(C(CO)O)=O
├── C(C(C(CO)O)O)=O
│   ├── C(CO)=O
│   └── C(CO)=O
└── N
"
G2	C(C(CO)O)O	PEDCQBHIVMGVHV	"C(C(CO)O)O
├── C(C(CO)O)=O
│   ├── C(CO)=O
│   └── C=O
├── C=O
└── O
"
G2	C(C(C(CO)O)O)O	UNXHWFMMPAWVPI	"C(C(C(CO)O)O)O
├── C(C(C(CO)O)O)=O
│   ├── C(CO)=O
│   └── C(CO)=O
├── C=O
└── O
"
