Generation	Smiles	Inchi	Path
G1	C(C(C(CO)O)O)=O	YTBSYETUWUMLBZ	"C(C(C(CO)O)O)=O
├── C(CO)=O
└── C(CO)=O
"
G2	C(C(C(C(CO)O)O)O)=O	PYMYPHUHKUWMLA	"C(C(C(C(CO)O)O)O)=O
├── C(C(CO)O)=O
│   ├── C(CO)=O
│   └── C=O
└── C(CO)=O
"
G2	C(CO)(C(CO)O)=O	UQPHVQVXLPRNCX	"C(CO)(C(CO)O)=O
└── C(C(C(CO)O)O)=O
    ├── C(CO)=O
    └── C(CO)=O
"
G2	C(C(CO)O)O	PEDCQBHIVMGVHV	"C(C(CO)O)O
├── C(C(CO)O)=O
│   ├── C(CO)=O
│   └── C=O
├── C=O
└── O
"
G2	C(C(C(CO)O)O)O	UNXHWFMMPAWVPI	"C(C(C(CO)O)O)O
├── C(C(C(CO)O)O)=O
│   ├── C(CO)=O
│   └── C(CO)=O
├── C=O
└── O
"
G2	C(C(CO)O)(O)=O	RBNPOMFGQQGHHO	"C(C(CO)O)(O)=O
├── C(C(CO)O)=O
│   ├── C(CO)=O
│   └── C=O
├── C=O
└── O
"
G2	C(C(C(CO)O)O)(O)=O	JPIJQSOTBSSVTP	"C(C(C(CO)O)O)(O)=O
├── C(C(C(CO)O)O)=O
│   ├── C(CO)=O
│   └── C(CO)=O
├── C=O
└── O
"
G2	C(C(CO)(CO)O)=O	OUEKYUKJSLEOIU	"C(C(CO)(CO)O)=O
├── C(C(CO)O)=O
│   ├── C(CO)=O
│   └── C=O
└── C=O
"
G2	C(C(CO)(C(CO)O)O)=O	XUSNIIKGKKSRDZ	"C(C(CO)(C(CO)O)O)=O
├── C(C(C(CO)O)O)=O
│   ├── C(CO)=O
│   └── C(CO)=O
└── C=O
"
G2	C1C(C(C(O)O1)O)O	FMAORJIQYMIRHF	"C1C(C(C(O)O1)O)O
└── C(C(C(CO)O)O)=O
    ├── C(CO)=O
    └── C(CO)=O
"
G3	C(C(C(C(CO)=O)O)O)=O	XIIKTJZKWRJKSI	"C(C(C(C(CO)=O)O)O)=O
├── C(C=O)=O
│   └── C(CO)(O)=O
│       ├── C(CO)=O
│       ├── C=O
│       └── O
└── C(CO)(CO)=O
    └── C(C(CO)O)=O
        ├── C(CO)=O
        └── C=O
"
G3	C(CC(C(C(CO)=O)O)O)=O	DPJVCISCLBZLDP	"C(CC(C(C(CO)=O)O)O)=O
├── C(CC=O)=O
│   └── C(C(CO)O)=O
│       ├── C(CO)=O
│       └── C=O
└── C(CO)(CO)=O
    └── C(C(CO)O)=O
        ├── C(CO)=O
        └── C=O
"
G3	C(C(C=O)C(CO)(CO)O)=O	HWDQZMAZCTUFGO	"C(C(C=O)C(CO)(CO)O)=O
├── C(CC=O)=O
│   └── C(C(CO)O)=O
│       ├── C(CO)=O
│       └── C=O
└── C(CO)(CO)=O
    └── C(C(CO)O)=O
        ├── C(CO)=O
        └── C=O
"
G3	C(C(C)(C(C(CO)=O)O)O)=O	HCDKHGUYCIRFGC	"C(C(C)(C(C(CO)=O)O)O)=O
├── C(C(C)=O)=O
│   └── C(C(CO)O)=O
│       ├── C(CO)=O
│       └── C=O
└── C(CO)(CO)=O
    └── C(C(CO)O)=O
        ├── C(CO)=O
        └── C=O
"
G3	C(C)(C(C(C(CO)=O)O)O)=O	KFHNTUHHTDAEOF	"C(C)(C(C(C(CO)=O)O)O)=O
├── C(C(C)=O)=O
│   └── C(C(CO)O)=O
│       ├── C(CO)=O
│       └── C=O
└── C(CO)(CO)=O
    └── C(C(CO)O)=O
        ├── C(CO)=O
        └── C=O
"
G3	C(C(CC(CO)(CO)O)=O)=O	GBYNVYGBOCCFCK	"C(C(CC(CO)(CO)O)=O)=O
├── C(C(C)=O)=O
│   └── C(C(CO)O)=O
│       ├── C(CO)=O
│       └── C=O
└── C(CO)(CO)=O
    └── C(C(CO)O)=O
        ├── C(CO)=O
        └── C=O
"
G3	C(CO)(C(C(C)O)O)=O	MRKRITSFTIHTAQ	"C(CO)(C(C(C)O)O)=O
├── C(C)=O
│   └── C(CO)O
│       ├── C(CO)=O
│       ├── C=O
│       └── O
└── C(CO)(CO)=O
    └── C(C(CO)O)=O
        ├── C(CO)=O
        └── C=O
"
G3	C(CC(CO)(CO)O)=O	RLJYTLNHFAJLAE	"C(CC(CO)(CO)O)=O
├── C(C)=O
│   └── C(CO)O
│       ├── C(CO)=O
│       ├── C=O
│       └── O
└── C(CO)(CO)=O
    └── C(C(CO)O)=O
        ├── C(CO)=O
        └── C=O
"
G3	C(C(C(C)O)O)(C(CO)O)=O	IWASYLACXSGJPG	"C(C(C(C)O)O)(C(CO)O)=O
├── C(C)=O
│   └── C(CO)O
│       ├── C(CO)=O
│       ├── C=O
│       └── O
└── C(CO)(C(CO)O)=O
    └── C(C(C(CO)O)O)=O
        ├── C(CO)=O
        └── C(CO)=O
"
G3	C(CC(CO)(C(CO)O)O)=O	IDBTYBMNHBMAOU	"C(CC(CO)(C(CO)O)O)=O
├── C(C)=O
│   └── C(CO)O
│       ├── C(CO)=O
│       ├── C=O
│       └── O
└── C(CO)(C(CO)O)=O
    └── C(C(C(CO)O)O)=O
        ├── C(CO)=O
        └── C(CO)=O
"
G3	C(CC(C(CO)(CO)O)O)=O	HQMRFNOKWQUHQC	"C(CC(C(CO)(CO)O)O)=O
├── C(C(CO)(CO)O)=O
│   ├── C(C(CO)O)=O
│   │   ├── C(CO)=O
│   │   └── C=O
│   └── C=O
└── C(C)=O
    └── C(CO)O
        ├── C(CO)=O
        ├── C=O
        └── O
"
G3	C(C(C=O)C(C(CO)O)O)=O	AKTMIDGTSNJTSP	"C(C(C=O)C(C(CO)O)O)=O
├── C(C(CO)O)=O
│   ├── C(CO)=O
│   └── C=O
└── C(CC=O)=O
    └── C(C(CO)O)=O
        ├── C(CO)=O
        └── C=O
"
G3	C(C(CC(C(CO)O)O)=O)=O	ZGCHLOWZNKRZSN	"C(C(CC(C(CO)O)O)=O)=O
├── C(C(C)=O)=O
│   └── C(C(CO)O)=O
│       ├── C(CO)=O
│       └── C=O
└── C(C(CO)O)=O
    ├── C(CO)=O
    └── C=O
"
G3	C(CC(C(CO)O)O)=O	ASJSAQIRZKANQN	"C(CC(C(CO)O)O)=O
├── C(C(CO)O)=O
│   ├── C(CO)=O
│   └── C=O
└── C(C)=O
    └── C(CO)O
        ├── C(CO)=O
        ├── C=O
        └── O
"
G3	C(CC(C(C(CO)O)O)O)=O	VRYALKFFQXWPIH	"C(CC(C(C(CO)O)O)O)=O
├── C(C(C(CO)O)O)=O
│   ├── C(CO)=O
│   └── C(CO)=O
└── C(C)=O
    └── C(CO)O
        ├── C(CO)=O
        ├── C=O
        └── O
"
G3	C(C(CO)O)(C(CO)O)=O	WXYXERHRDKEISL	"C(C(CO)O)(C(CO)O)=O
├── C(CO)(C(CO)O)=O
│   └── C(C(C(CO)O)O)=O
│       ├── C(CO)=O
│       └── C(CO)=O
└── C=O
"
G3	C(C(C(CO)(CO)O)O)=O	AVGPOAXYRRIZMM	"C(C(C(CO)(CO)O)O)=O
├── C(CO)(CO)=O
│   └── C(C(CO)O)=O
│       ├── C(CO)=O
│       └── C=O
└── C(CO)=O
"
G3	C(CO)(C(C(CO)O)O)=O	ZAQJHHRNXZUBTE	"C(CO)(C(C(CO)O)O)=O
├── C(CO)(CO)=O
│   └── C(C(CO)O)=O
│       ├── C(CO)=O
│       └── C=O
└── C(CO)=O
"
G3	C(C(CCO)(C(C=O)O)O)=O	FAGPJBHKKUOQAR	"C(C(CCO)(C(C=O)O)O)=O
├── C(C(CCO)=O)=O
│   └── C(C(C(CO)O)O)=O
│       ├── C(CO)=O
│       └── C(CO)=O
└── C(CO)=O
"
G3	C(C(C(C=O)O)O)(CCO)=O	KTQQRSZBGCOSES	"C(C(C(C=O)O)O)(CCO)=O
├── C(C(CCO)=O)=O
│   └── C(C(C(CO)O)O)=O
│       ├── C(CO)=O
│       └── C(CO)=O
└── C(CO)=O
"
G3	C(C(C(CO)C(CO)O)=O)=O	JOEMRRCMXVASPX	"C(C(C(CO)C(CO)O)=O)=O
├── C(C(CCO)=O)=O
│   └── C(C(C(CO)O)O)=O
│       ├── C(CO)=O
│       └── C(CO)=O
└── C(CO)=O
"
G3	C(CC(C(C(C=O)O)O)O)=O	DRFVLWXFACEMHK	"C(CC(C(C(C=O)O)O)O)=O
├── C(CC(C=O)O)=O
│   └── C(C(C(CO)O)O)=O
│       ├── C(CO)=O
│       └── C(CO)=O
└── C(CO)=O
"
G3	C(C(C(CC(C=O)O)O)O)=O	ZAZMXMODCOTURY	"C(C(C(CC(C=O)O)O)O)=O
├── C(CC(C=O)O)=O
│   └── C(C(C(CO)O)O)=O
│       ├── C(CO)=O
│       └── C(CO)=O
└── C(CO)=O
"
G3	C(C(C(CO)O)C(C=O)O)=O	HIPAGLNATSXMFT	"C(C(C(CO)O)C(C=O)O)=O
├── C(CC(C=O)O)=O
│   └── C(C(C(CO)O)O)=O
│       ├── C(CO)=O
│       └── C(CO)=O
└── C(CO)=O
"
G3	C(C(C(CC(CO)=O)O)O)=O	ZNSXGNZNZVWMBM	"C(C(C(CC(CO)=O)O)O)=O
├── C(CC(CO)=O)=O
│   └── C(C(C(CO)O)O)=O
│       ├── C(CO)=O
│       └── C(CO)=O
└── C(CO)=O
"
G3	C(CC(CO)(C(C=O)O)O)=O	IEHDXMKHICIRFU	"C(CC(CO)(C(C=O)O)O)=O
├── C(CC(CO)=O)=O
│   └── C(C(C(CO)O)O)=O
│       ├── C(CO)=O
│       └── C(CO)=O
└── C(CO)=O
"
G3	C(C(C(CO)=O)C(CO)O)=O	SSUDYWNAIOLNKR	"C(C(C(CO)=O)C(CO)O)=O
├── C(CC(CO)=O)=O
│   └── C(C(C(CO)O)O)=O
│       ├── C(CO)=O
│       └── C(CO)=O
└── C(CO)=O
"
G3	C(CC(C(C(CO)O)O)=O)=O	RXVDSZVTHMJWNV	"C(CC(C(C(CO)O)O)=O)=O
├── C(CC(CO)=O)=O
│   └── C(C(C(CO)O)O)=O
│       ├── C(CO)=O
│       └── C(CO)=O
└── C(CO)=O
"
G3	C(C(C(C(C(C)=O)O)O)O)=O	MKKWPESNDMZCAX	"C(C(C(C(C(C)=O)O)O)O)=O
├── C(C(C(C)=O)O)=O
│   └── C(C(C(CO)O)O)=O
│       ├── C(CO)=O
│       └── C(CO)=O
└── C(CO)=O
"
G3	C(C(C(C)(C(C=O)O)O)O)=O	LTIXNERYDWMFRC	"C(C(C(C)(C(C=O)O)O)O)=O
├── C(C(C(C)=O)O)=O
│   └── C(C(C(CO)O)O)=O
│       ├── C(CO)=O
│       └── C(CO)=O
└── C(CO)=O
"
G3	C(C(C(CC(CO)O)=O)O)=O	QBHBJCPWTMMDIG	"C(C(C(CC(CO)O)=O)O)=O
├── C(C(C(C)=O)O)=O
│   └── C(C(C(CO)O)O)=O
│       ├── C(CO)=O
│       └── C(CO)=O
└── C(CO)=O
"
G3	C(C(CCO)O)(O)=O	UFYGCFHQAXXBCF	"C(C(CCO)O)(O)=O
├── C(C(CCO)=O)=O
│   └── C(C(C(CO)O)O)=O
│       ├── C(CO)=O
│       └── C(CO)=O
└── O
"
G3	C(C(C(C(CO)O)O)=O)=O	VDSAQEDKJUSZPS	"C(C(C(C(CO)O)O)=O)=O
└── C(C(C(C(CO)O)O)O)(O)=O
    ├── C(C(CO)O)=O
    │   ├── C(CO)=O
    │   └── C=O
    └── C(CO)(O)=O
        ├── C(CO)=O
        ├── C=O
        └── O
"
G3	C(C(C(C(CO)O)O)O)O	HEBKCHPVOIAQTA	"C(C(C(C(CO)O)O)O)O
├── C(C(C(C(CO)O)O)O)=O
│   ├── C(C(CO)O)=O
│   │   ├── C(CO)=O
│   │   └── C=O
│   └── C(CO)=O
├── C=O
└── O
"
G3	C(C(CO)(CO)O)O	HXYJZJOQRLOUPP	"C(C(CO)(CO)O)O
├── C(C(CO)(CO)O)=O
│   ├── C(C(CO)O)=O
│   │   ├── C(CO)=O
│   │   └── C=O
│   └── C=O
├── C=O
└── O
"
G3	C(C(CO)(C(CO)O)O)O	SDXWEZQDLHNYFR	"C(C(CO)(C(CO)O)O)O
├── C(C(CO)(C(CO)O)O)=O
│   ├── C(C(C(CO)O)O)=O
│   │   ├── C(CO)=O
│   │   └── C(CO)=O
│   └── C=O
├── C=O
└── O
"
G3	C(C(CO)(CO)O)(O)=O	OJSKBWPAXWEHAA	"C(C(CO)(CO)O)(O)=O
├── C(C(CO)(CO)O)=O
│   ├── C(C(CO)O)=O
│   │   ├── C(CO)=O
│   │   └── C=O
│   └── C=O
├── C=O
└── O
"
G3	C(CO)(C(CO)(C(C)O)O)=O	CLUAZGGJJOMMPW	"C(CO)(C(CO)(C(C)O)O)=O
├── C(C)=O
│   └── C(CO)O
│       ├── C(CO)=O
│       ├── C=O
│       └── O
└── C(CO)(C(CO)O)=O
    └── C(C(C(CO)O)O)=O
        ├── C(CO)=O
        └── C(CO)=O
"
G3	C(C(CO)(C(C)O)O)(O)=O	WKRKESUWTIYINN	"C(C(CO)(C(C)O)O)(O)=O
├── C(C(CO)O)(O)=O
│   ├── C(C(CO)O)=O
│   │   ├── C(CO)=O
│   │   └── C=O
│   ├── C=O
│   └── O
└── C(C)=O
    └── C(CO)O
        ├── C(CO)=O
        ├── C=O
        └── O
"
G3	C(C(CO)(C(C=O)O)O)=O	YAVWISVERGTOHY	"C(C(CO)(C(C=O)O)O)=O
├── C(C(CO)O)=O
│   ├── C(CO)=O
│   └── C=O
└── C(C=O)=O
    └── C(CO)(O)=O
        ├── C(CO)=O
        ├── C=O
        └── O
"
G3	C(C(CO)(C(CC=O)O)O)=O	KMZKNPYVLFCBJR	"C(C(CO)(C(CC=O)O)O)=O
├── C(C(CO)O)=O
│   ├── C(CO)=O
│   └── C=O
└── C(CC=O)=O
    └── C(C(CO)O)=O
        ├── C(CO)=O
        └── C=O
"
G3	C(C(CO)(C(C=O)(C)O)O)=O	LLKJMSOIEJAFOF	"C(C(CO)(C(C=O)(C)O)O)=O
├── C(C(C)=O)=O
│   └── C(C(CO)O)=O
│       ├── C(CO)=O
│       └── C=O
└── C(C(CO)O)=O
    ├── C(CO)=O
    └── C=O
"
G3	C(C(CO)(C(C(C)=O)O)O)=O	KSPZMTWVXVIPRP	"C(C(CO)(C(C(C)=O)O)O)=O
├── C(C(C)=O)=O
│   └── C(C(CO)O)=O
│       ├── C(CO)=O
│       └── C=O
└── C(C(CO)O)=O
    ├── C(CO)=O
    └── C=O
"
