Generation	Smiles	Inchi	Path
G1	C(C(C(CO)O)O)=O	YTBSYETUWUMLBZ	"C(C(C(CO)O)O)=O
└── C(C(C(C(C(CO)O)O)O)O)=O
"
G1	C(CN)(C(C(C(CO)O)O)O)=O	XBBIACPUMILHFE	"C(CN)(C(C(C(CO)O)O)O)=O
├── C(C(C(C(C(CO)O)O)O)O)=O
└── N
"
G1	C(C(CC(C(CO)O)O)=O)=O	ZGCHLOWZNKRZSN	"C(C(CC(C(CO)O)O)=O)=O
└── C(C(C(C(C(CO)O)O)O)O)=O
"
G1	C(CC(C(C(CO)O)O)=O)=O	RXVDSZVTHMJWNV	"C(CC(C(C(CO)O)O)=O)=O
└── C(C(C(C(C(CO)O)O)O)O)=O
"
G1	C(C(C(CC(CO)O)=O)O)=O	QBHBJCPWTMMDIG	"C(C(C(CC(CO)O)=O)O)=O
└── C(C(C(C(C(CO)O)O)O)O)=O
"
G1	C(C(C(CO)O)O)=O	YTBSYETUWUMLBZ	"C(C(C(CO)O)O)=O
└── C(C(C(C(C(CO)O)O)O)O)=O
"
G1	C(CN)(C(C(C(CO)O)O)O)=O	XBBIACPUMILHFE	"C(CN)(C(C(C(CO)O)O)O)=O
├── C(C(C(C(C(CO)O)O)O)O)=O
└── N
"
G1	C(C(CC(C(CO)O)O)=O)=O	ZGCHLOWZNKRZSN	"C(C(CC(C(CO)O)O)=O)=O
└── C(C(C(C(C(CO)O)O)O)O)=O
"
G1	C(CC(C(C(CO)O)O)=O)=O	RXVDSZVTHMJWNV	"C(CC(C(C(CO)O)O)=O)=O
└── C(C(C(C(C(CO)O)O)O)O)=O
"
G1	C(C(C(CC(CO)O)=O)O)=O	QBHBJCPWTMMDIG	"C(C(C(CC(CO)O)=O)O)=O
└── C(C(C(C(C(CO)O)O)O)O)=O
"
G1	C(CC(C=O)O)(C(CO)O)=O	LVYQXQPAYHNLQF	"C(CC(C=O)O)(C(CO)O)=O
└── C(C(C(C(C(CO)O)O)O)O)=O
"
G1	C(C(C(C=O)O)O)(CCO)=O	KTQQRSZBGCOSES	"C(C(C(C=O)O)O)(CCO)=O
└── C(C(C(C(C(CO)O)O)O)O)=O
"
G1	C(C(C(CC(CO)=O)O)O)=O	ZNSXGNZNZVWMBM	"C(C(C(CC(CO)=O)O)O)=O
└── C(C(C(C(C(CO)O)O)O)O)=O
"
G1	C(C(C(C(C(C)=O)O)O)O)=O	MKKWPESNDMZCAX	"C(C(C(C(C(C)=O)O)O)O)=O
└── C(C(C(C(C(CO)O)O)O)O)=O
"
G1	C(CC(C(C(C=O)O)O)O)=O	DRFVLWXFACEMHK	"C(CC(C(C(C=O)O)O)O)=O
└── C(C(C(C(C(CO)O)O)O)O)=O
"
G1	C(C(C(C(C(CO)O)O)N)O)=O	FOEXHEVNPRRHDY	"C(C(C(C(C(CO)O)O)N)O)=O
├── C(C(C(C(C(CO)O)O)O)O)=O
└── N
"
G2	C1(C(C(C(C1CO)O)O)O)=O	LKUVPWZWJWOYKB	"C1(C(C(C(C1CO)O)O)O)=O
└── C(C(C(C=O)O)O)(CCO)=O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C1(C(C(C(C(C1)O)O)O)O)=O	GZYCZKBRQBKGJW	"C1(C(C(C(C(C1)O)O)O)O)=O
└── C(C(C(CC(CO)=O)O)O)=O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C(C1C(C(C(C1O)O)O)O)=O	FWWLBYLLLIZJAL	"C(C1C(C(C(C1O)O)O)O)=O
└── C(CC(C(C(C=O)O)O)O)=O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C(CO)(C(CO)O)=O	UQPHVQVXLPRNCX	"C(CO)(C(CO)O)=O
└── C(C(C(CO)O)O)=O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C(C(C(CO)O)O)(C(CN)O)=O	BPJVQNJYFQFSLO	"C(C(C(CO)O)O)(C(CN)O)=O
└── C(CN)(C(C(C(CO)O)O)O)=O
    ├── C(C(C(C(C(CO)O)O)O)O)=O
    └── N
"
G2	C(CC(C(C(CO)O)=O)O)=O	ZJCIIXYSVSASQO	"C(CC(C(C(CO)O)=O)O)=O
└── C(CC(C(C(CO)O)O)=O)=O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C(C(CO)=O)(CC(CO)O)=O	OKVIFNQBEGMUGM	"C(C(CO)=O)(CC(CO)O)=O
└── C(C(C(CC(CO)O)=O)O)=O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C(C(C(CC(CO)O)O)=O)=O	LZWSFTUENIWOJY	"C(C(C(CC(CO)O)O)=O)=O
└── C(C(C(CC(CO)O)=O)O)=O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C(C(CO)O)(CC(CO)=O)=O	JVFNKFJEKRIBEO	"C(C(CO)O)(CC(CO)=O)=O
└── C(CC(C=O)O)(C(CO)O)=O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C(C(CC(C(CO)=O)O)O)=O	IIVQAABKLUTFMY	"C(C(CC(C(CO)=O)O)O)=O
└── C(CC(C=O)O)(C(CO)O)=O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C(CCO)(C(C(CO)=O)O)=O	RWEGJCQFZKJRNT	"C(CCO)(C(C(CO)=O)O)=O
└── C(C(C(C=O)O)O)(CCO)=O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C(C(C(C(CCO)O)=O)O)=O	KQLFTMYZWPHWPS	"C(C(C(C(CCO)O)=O)O)=O
└── C(C(C(C=O)O)O)(CCO)=O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C(CO)(C(CC(CO)=O)O)=O	QORDBZPIKABGJM	"C(CO)(C(CC(CO)=O)O)=O
└── C(C(C(CC(CO)=O)O)O)=O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C(C(C(CC(C=O)O)O)O)=O	ZAZMXMODCOTURY	"C(C(C(CC(C=O)O)O)O)=O
└── C(C(C(CC(CO)=O)O)O)=O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
