Generation	Smiles	Inchi	Path
G1	C(C(CO)O)(O)=O	RBNPOMFGQQGHHO	"C(C(CO)O)(O)=O
├── C(C(C)=O)(O)=O
└── O
"
G2	C(C(CO)(C(C)O)O)(O)=O	WKRKESUWTIYINN	"C(C(CO)(C(C)O)O)(O)=O
├── C(C(CO)O)(O)=O
│   ├── C(C(C)=O)(O)=O
│   └── O
└── C(C)=O
    └── C(C(C)=O)(O)=O
"
G3	C(C(C(CC(O)=O)O)C(C)O)=O	YTCZJXDURLPWNQ	"C(C(C(CC(O)=O)O)C(C)O)=O
├── C(CC(C)O)=O
│   ├── C(C)=O
│   │   └── C(C(C)=O)(O)=O
│   └── C(C)=O
│       └── C(C(C)=O)(O)=O
└── C(CC(O)=O)=O
    ├── C(=O)=O
    │   └── C(C(C)=O)(O)=O
    └── C(C)=O
        └── C(C(C)=O)(O)=O
"
G3	C(C(C=O)C(CC(C)O)O)(O)=O	IHSFWOVWMRACIR	"C(C(C=O)C(CC(C)O)O)(O)=O
├── C(CC(C)O)=O
│   ├── C(C)=O
│   │   └── C(C(C)=O)(O)=O
│   └── C(C)=O
│       └── C(C(C)=O)(O)=O
└── C(CC(O)=O)=O
    ├── C(=O)=O
    │   └── C(C(C)=O)(O)=O
    └── C(C)=O
        └── C(C(C)=O)(O)=O
"
G3	C(C(C(C)O)C(C(CO)=O)O)=O	CPUSMWJJBISCJI	"C(C(C(C)O)C(C(CO)=O)O)=O
├── C(C(CO)=O)=O
│   └── C(C(CO)O)(O)=O
│       ├── C(C(C)=O)(O)=O
│       └── O
└── C(CC(C)O)=O
    ├── C(C)=O
    │   └── C(C(C)=O)(O)=O
    └── C(C)=O
        └── C(C(C)=O)(O)=O
"
G3	C(C(C(C)O)C(C=O)(CO)O)=O	FDSHEHPBHWGLQY	"C(C(C(C)O)C(C=O)(CO)O)=O
├── C(C(CO)=O)=O
│   └── C(C(CO)O)(O)=O
│       ├── C(C(C)=O)(O)=O
│       └── O
└── C(CC(C)O)=O
    ├── C(C)=O
    │   └── C(C(C)=O)(O)=O
    └── C(C)=O
        └── C(C(C)=O)(O)=O
"
G3	C(C(C(C(CC(C)O)O)O)=O)=O	RLPBKLOISADAAA	"C(C(C(C(CC(C)O)O)O)=O)=O
├── C(C(CO)=O)=O
│   └── C(C(CO)O)(O)=O
│       ├── C(C(C)=O)(O)=O
│       └── O
└── C(CC(C)O)=O
    ├── C(C)=O
    │   └── C(C(C)=O)(O)=O
    └── C(C)=O
        └── C(C(C)=O)(O)=O
"
G3	C(C(C(CO)C(C)O)=O)(O)=O	OTZRLOUETUNNPF	"C(C(C(CO)C(C)O)=O)(O)=O
├── C(C(CC(C)O)=O)(O)=O
│   ├── C(C(C)=O)(O)=O
│   └── C(C)=O
│       └── C(C(C)=O)(O)=O
└── C=O
    └── C(C(CO)O)(O)=O
        ├── C(C(C)=O)(O)=O
        └── O
"
G3	C(C(CO)C(C(O)=O)(C)O)=O	BFZNNUQWZSQLIJ	"C(C(CO)C(C(O)=O)(C)O)=O
├── C(C(C)(CC=O)O)(O)=O
│   ├── C(C(C)=O)(O)=O
│   └── C(C)=O
│       └── C(C(C)=O)(O)=O
└── C=O
    └── C(C(CO)O)(O)=O
        ├── C(C(C)=O)(O)=O
        └── O
"
G3	C(C(CC(C)O)(CC=O)O)(O)=O	VWVQXOPQCDMBFD	"C(C(CC(C)O)(CC=O)O)(O)=O
├── C(C(CC(C)O)=O)(O)=O
│   ├── C(C(C)=O)(O)=O
│   └── C(C)=O
│       └── C(C(C)=O)(O)=O
└── C(C)=O
    └── C(C(C)=O)(O)=O
"
G3	C(C(C(C(C)O)C(C)O)=O)(O)=O	DKTZGQOJHCXEEP	"C(C(C(C(C)O)C(C)O)=O)(O)=O
├── C(C(CC(C)O)=O)(O)=O
│   ├── C(C(C)=O)(O)=O
│   └── C(C)=O
│       └── C(C(C)=O)(O)=O
└── C(C)=O
    └── C(C(C)=O)(O)=O
"
G3	C(C(C)(CC(CC=O)O)O)(O)=O	DMMYGKQJPXLURW	"C(C(C)(CC(CC=O)O)O)(O)=O
├── C(C(C)(CC=O)O)(O)=O
│   ├── C(C(C)=O)(O)=O
│   └── C(C)=O
│       └── C(C(C)=O)(O)=O
└── C(C)=O
    └── C(C(C)=O)(O)=O
"
G3	C(C(C(C)O)C(C(O)=O)(C)O)=O	MGQBJYDCWJLMCR	"C(C(C(C)O)C(C(O)=O)(C)O)=O
├── C(C(C)(CC=O)O)(O)=O
│   ├── C(C(C)=O)(O)=O
│   └── C(C)=O
│       └── C(C(C)=O)(O)=O
└── C(C)=O
    └── C(C(C)=O)(O)=O
"
G3	C(C(CC(CC(C)O)O)=O)(O)=O	CLJFVEVVBOUFBJ	"C(C(CC(CC(C)O)O)=O)(O)=O
├── C(C(C)=O)(O)=O
└── C(CC(C)O)=O
    ├── C(C)=O
    │   └── C(C(C)=O)(O)=O
    └── C(C)=O
        └── C(C(C)=O)(O)=O
"
G3	C(C(C)(CCO)O)(O)=O	WPTOKOVIJAZOHE	"C(C(C)(CCO)O)(O)=O
├── C(C(C)(CC=O)O)(O)=O
│   ├── C(C(C)=O)(O)=O
│   └── C(C)=O
│       └── C(C(C)=O)(O)=O
├── C=O
│   └── C(C(CO)O)(O)=O
│       ├── C(C(C)=O)(O)=O
│       └── O
└── O
"
G3	C(C(C)(CC(O)=O)O)(O)=O	XFTRTWQBIOMVPK	"C(C(C)(CC(O)=O)O)(O)=O
├── C(C(C)(CC=O)O)(O)=O
│   ├── C(C(C)=O)(O)=O
│   └── C(C)=O
│       └── C(C(C)=O)(O)=O
├── C=O
│   └── C(C(CO)O)(O)=O
│       ├── C(C(C)=O)(O)=O
│       └── O
└── O
"
G3	C(C(CO)(CO)O)(O)=O	OJSKBWPAXWEHAA	"C(C(CO)(CO)O)(O)=O
├── C(C(CO)O)(O)=O
│   ├── C(C(C)=O)(O)=O
│   └── O
└── C=O
    └── C(C(CO)O)(O)=O
        ├── C(C(C)=O)(O)=O
        └── O
"
G3	C(C(C(CC(C)O)O)O)(O)=O	RADXXSNGCSTPSV	"C(C(C(CC(C)O)O)O)(O)=O
├── C(CC(C)O)=O
│   ├── C(C)=O
│   │   └── C(C(C)=O)(O)=O
│   └── C(C)=O
│       └── C(C(C)=O)(O)=O
└── C(CO)(O)=O
    └── C(C(CO)O)(O)=O
        ├── C(C(C)=O)(O)=O
        └── O
"
