Generation	Smiles	Inchi
G0	C=O	WSFSSNUMVMOOMR
G0	C(CO)=O	WGCNASOHLSPBMP
G0	O	XLYOFNOQVPJJNP
G1	C(C(CO)O)=O	MNQZXJOMYWMBOU
G1	C(C(C(CO)O)O)=O	YTBSYETUWUMLBZ
G1	CO	OKKJLVBELUTLKV
G1	C(O)=O	BDAGIHXWWSANSR
G1	C(CO)O	LYCAIKOWRPUZTN
G1	C(CO)(O)=O	AEMRFAOFKBGASW
G2	C(C(C(C(CO)O)O)O)=O	PYMYPHUHKUWMLA
G2	C(C(C(C(C(CO)O)O)O)O)=O	GZCGUPFRVQAUEE
G2	C(C=O)=O	LEQAOMBKQFMDFZ
G2	C(CO)(CO)=O	RXKJFZQQPQGTFL
G2	C(CO)(C(CO)O)=O	UQPHVQVXLPRNCX
G2	C(C(CO)O)O	PEDCQBHIVMGVHV
G2	C(C(C(CO)O)O)O	UNXHWFMMPAWVPI
G2	C(C(CO)O)(O)=O	RBNPOMFGQQGHHO
G2	C(C(C(CO)O)O)(O)=O	JPIJQSOTBSSVTP
G2	C(C(CO)(C(C(CO)O)O)O)=O	ZGVNGXVNRCEBDS
G2	C(C(CO)(CO)O)=O	OUEKYUKJSLEOIU
G2	C(C(CO)(C(CO)O)O)=O	XUSNIIKGKKSRDZ
G2	C(C(C(CO)O)(C(CO)O)O)=O	ODFAOSHENJLJAS
G2	C(C(C(C(CO)O)O)O)(O)=O	QXKAIJAYHKCRRA
G2	C(C(C(C(C(CO)O)O)O)O)(O)=O	RGHNJXZEOKUKBD
G2	C(CC=O)=O	WSMYVTOQOOLQHP
G2	C(C(C)=O)=O	AIJULSRZWUXGPQ
G2	C(C(CCO)=O)=O	CUSSNCHZLYDUPJ
G2	C(CC(C=O)O)=O	VTERBIYJBWDXDT
G2	C(CC(CO)=O)=O	KATSYVMPKZTIRW
G2	C(C(C(C)=O)O)=O	GTYVZUSWKGYETP
G2	C(C)=O	IKHGUXGNUITLKF
G2	C1C(C(C(O)O1)O)O	FMAORJIQYMIRHF
G3	C(CC(C(C(C(CO)O)O)O)O)=O	CWGOBHNFETWIJM
G3	C(C(C(C(CO)=O)O)O)=O	XIIKTJZKWRJKSI
G3	C(C(C(C=O)O)O)(C(CO)O)=O	QMBDQSXXSRHQLR
G3	C(C(C=O)C(C=O)O)=O	SUBIBWDCWFSPEI
G3	C(C(CC(C=O)=O)O)=O	XQZLUHMLOOGWMJ
G3	C(C(C(C(C=O)=O)CO)O)=O	JRLZIWXDZWQVTE
G3	C(C(C(C=O)C(C=O)O)O)=O	AHBQAENKEOZBGU
G3	C(C(C(CO)=O)C(C=O)O)=O	WJRCTJKBGSHYKP
G3	C(CC(C(C(C=O)O)O)=O)=O	LYFDFIIHZXDLKL
G3	C(C(C(CC(C=O)O)=O)O)=O	XUZMBYKHNVXXID
