Generation	Smiles	Inchi
G0	N	QGZKDVFQNNGYKY
G0	C=O	WSFSSNUMVMOOMR
G0	C(CO)=O	WGCNASOHLSPBMP
G0	O	XLYOFNOQVPJJNP
G1	C(C(CO)O)=O	MNQZXJOMYWMBOU
G1	C(C(C(CO)O)O)=O	YTBSYETUWUMLBZ
G1	C(CN)=O	LYIIBVSRGJSHAV
G1	CO	OKKJLVBELUTLKV
G1	C(O)=O	BDAGIHXWWSANSR
G1	C(CO)O	LYCAIKOWRPUZTN
G1	C(CO)(O)=O	AEMRFAOFKBGASW
G2	C(C(C(C(CO)O)O)N)=O	RNZJRDIKDNXKIJ
G2	C(C(C(C(C(CO)O)O)O)N)=O	FZHXIRIBWMQPQF
G2	C(C(C(CN)O)N)=O	QSBOQJCOHPCHRB
G2	C(C(CO)N)=O	UXPVGJOKPUABJV
G2	C(C(C(C(CO)O)O)O)=O	PYMYPHUHKUWMLA
G2	C(C(C(C(C(CO)O)O)O)O)=O	GZCGUPFRVQAUEE
G2	C(C(C(CN)O)O)=O	JIDVIMQFVJVPPX
G2	C(C(C(CO)O)N)=O	UQNPMNUVBRVOCQ
G2	C(C=O)=O	LEQAOMBKQFMDFZ
G2	C(CO)(CO)=O	RXKJFZQQPQGTFL
G2	C(CO)(C(CO)O)=O	UQPHVQVXLPRNCX
G2	C(CNCC(CO)=O)=O	XGLCPTHFFDUSBF
G2	C(CNCC=O)(C(CO)O)=O	UAOKRFJFLAUQNR
G2	C(CO)(CN)=O	WXOQUXSBHUDHSO
G2	C(CN)(C(CO)O)=O	WZDHWMRAASHPBX
G2	C(CNCC=O)=O	GTTKBWOPWPYBST
G2	C(C(CO)O)O	PEDCQBHIVMGVHV
G2	C(C(C(CO)O)O)O	UNXHWFMMPAWVPI
G2	C(CN)O	HZAXFHJVJLSVMW
G2	C(C(CO)O)(O)=O	RBNPOMFGQQGHHO
G2	C(C(C(CO)O)O)(O)=O	JPIJQSOTBSSVTP
G2	C(CN)(O)=O	DHMQDGOQFOQNFH
G2	C(C(CO)(C(C(CO)O)O)O)=O	ZGVNGXVNRCEBDS
G2	C(C(CO)(C(CN)O)O)=O	MMZWUQKSIXGQLM
G2	C(C(C(CO)O)(C(CN)O)O)=O	MGKXNCNVFOFGIA
G2	C(C(CO)(CO)O)=O	OUEKYUKJSLEOIU
G2	C(C(CO)(C(CO)O)O)=O	XUSNIIKGKKSRDZ
G2	C(C(C(CO)O)(C(CO)O)O)=O	ODFAOSHENJLJAS
G2	C(C(C(C(CO)O)O)O)(O)=O	QXKAIJAYHKCRRA
G2	C(C(C(C(C(CO)O)O)O)O)(O)=O	RGHNJXZEOKUKBD
G2	C(C(C(CN)O)O)(O)=O	WITVYMTUWTVRND
G2	C(CC=O)=O	WSMYVTOQOOLQHP
G2	C(C(C)=O)=O	AIJULSRZWUXGPQ
G2	C(C(CCO)=O)=O	CUSSNCHZLYDUPJ
G2	C(CC(C=O)O)=O	VTERBIYJBWDXDT
G2	C(CC(CO)=O)=O	KATSYVMPKZTIRW
G2	C(C(C(C)=O)O)=O	GTYVZUSWKGYETP
G2	C(C)=O	IKHGUXGNUITLKF
G2	C(C(CNCC=O)O)=O	WLVSTJDMLIRKJO
G2	C(C(C(CO)NCC=O)O)=O	GECVMGDGBBOZSR
G2	C(C(CN)O)=O	VVEOHAVMQFFHBK
G2	C(C(C(CO)N)O)=O	KXMAOQJMLAAVJY
G2	C1C(C(C(O)O1)O)O	FMAORJIQYMIRHF
G3	C1(CNCC(C1O)O)=O	PSUSVGBSODGBTL
G3	C(C1C(C(CN1)O)O)=O	OGYDNRAJWUFKAN
G3	C(C1C(C(C(CO)N1)O)O)=O	JOIYHICQTODJOT
G3	C(CC(C(C(C(CO)O)O)N)O)=O	NMQIOLHMPSBDTN
G3	C(C(C=O)C(C(C(CN)O)N)O)=O	TXGZMWCJIDPKMW
